Data.Type,Emission,Region,Sector,Start.Year,End.Year,Source.Comment
Emissions Trend,NOx,global,3B_Manure-management,1750,1970,"Estimates from Davidson (2009), The contribution of manure and fertilizer nitrogen to atmospheric nitrous oxide since 1860"
Emissions Trend,NH3,global,3B_Manure-management,1750,1970,"Estimates from Davidson (2009), The contribution of manure and fertilizer nitrogen to atmospheric nitrous oxide since 1860"
