"iso","units","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013"
"cmr","mass","1","1.5","2","2.5","3","6.3","8.5","10.7","8.8","11.5","9","7.3","9.3","9.8","6.1","4","14.6","16.8","14.2","18.4","22.7","16.9","24.5","26","26.9","20.7","24.6","22","18.2","9","6","9.4","10.2","15","15","18","18.9","16.6","26","21.9","25.6","13","19.4","27.1","19.4","17.6","19.4","19.8","19","19","21.4","22.5999996960163","20.5"
"can","mass","89.2","111","150.2","170.7","218.2","276.7","320.8","249.7","267.7","323.1","334.4","409.8","512.6","531.3","556.2","599","705.4","834.4","890.4","945.9","982.9","1069.8","1254.9","1338.5","1312.9","1150","1182.8","1160.3","1196.3","1157.7","1253.3","1317.3","1425.9","1448.4","1576.1","1670.4","1652.7","1625.8","1682.1","1591.9","1580.5","1644","1650","1539.5","1539.5","1758","1890.6","1816.8","1901","1990","2296.70000934601","2479.10001945496","2456.9999961853"
"chl","mass","29.4","24.3","34.3","31.2","31.8","36.4","36.9","32.5","43.6","42.9","48.1","52.7","59.3","52.1","38.6","47.5","40","50","50.7","51.3","48.3","48.3","65.4","86.2","104.5","136","142.7","152.5","156.9","164.1","157.4","174","195","195","215","225","220","215","235.3","235","236.5","241","267.6","277.5","259.5","254","267.4","256","260","267.50000590086","271","264.199999809265","193.899999976158"
"chn","mass","880","898","916","857","1329","1850","1632","2231","2498","2987","3208","3692","4225","3645","4785","5700","7675","9000","10360","11787","11287","12034","13459","14939","13594","13283","16524","18209.1","18542.5","19233","19629","20016","17668","18816","23435","24931","22665","22569","23860","22720","22694","26006","25078","26964","29761.3","31810","33111.8","33236.7","33600","32599.3","33800","34294","34250"
"col","mass","23","18","18","35.1","38.7","48.9","49.4","46.6","61.3","78.9","84.7","110.2","125.7","122.7","111.3","136.6","147.6","141.2","151","152","143","149.4","157.4","181","184.1","220.4","245","261.7","268.9","312.1","298.9","255.4","251.9","252.8","241.4","236","265.2","296.8","299.8","334.3","324.4","332.5","342.3","346.1","350.9","353.5","359","289.6","340.6","360.1","374.6","380.10000038147","349.5"
"cri","mass","6.2","8.8","10.8","12.8","14.8","16.7","15.7","29","40","37.4","26.8","25.9","34","33.9","31.1","28.5","40.5","40.9","39.4","39.7","42.7","49","54","50.6","49","52","55","59","63","55.6","62.4","65","60","70","70","89","100","104","80","73","48","44","44","68.6","63","65.5","65","61.2","65","67","96.3","69.5000007152557","52.6000003814697"
"civ","mass","1.7","1.7","2.4","3.4","5","4","4.5","3.6","4.5","7.8","6.5","8.8","7.9","7.8","10.9","12","17.5","15.9","16.6","19.7","13.3","12.8","10","11","8.2","8","4.5","8.2","10","13.5","16.2","18","30","34","36","41.5","60","50","40","40","30","56.4","40.2","40","41","41","40","38","39","39.5","45","48","64"
"cub","mass","41","48.8","63.6","76","90","144","170","172.7","175.6","158.8","122.9","103.1","130.4","139.8","156.3","187.2","223","225","280","267.4","315","276.7","248.7","294.4","293.6","328.4","306.4","304.7","366.7","283","240","192","120","72","100","100","133","107","72.3","78","54.1","35.8","12.7","16.6","45.1","64.9","50.8","49","50","52","62.5","56.7999992370605","61.199998497963"
"cyp","mass","8.1","8.6","10.7","5.4","9.6","8.6","7.4","13.7","11.3","14.8","14.2","16.6","19.6","7.4","17.6","15","8.2","7.7","9.1","8.2","9","11.6","10.5","10.2","10.1","11.3","11.9","12.2","12.9","12.6","12.3","16","14.5","14.4","12.9","13.7","10.7","10.8","10.9","7.8","7.8","8.1","9.1","9.3","8.4","9.9","8.5","7.7","6.1","4.2","3.99999997764826","4.10000000149012","4.00000000745058"
"dnk","mass","133.6","142.2","152.8","168.8","191.8","215.2","232.9","248","270.5","289.3","308.3","329.4","365.1","300.4","339.1","349.5","373.7","379.9","393.9","374.1","376","391.4","411.5","398.1","382.1","381.3","367","376.9","400.4","394.9","370","333","325","316","291","288","283","263","248","234","212","202","206","206","198","194.9","222.3","190","192","198","187","194","195"
"dom","mass","10.7","7.8","6","8","10","14.3","15","13","15","15.7","26","41.3","32","22","30.9","22","32","27.9","34.3","30","31.4","30.7","25","31.3","33","31","34.8","26.6","39.1","47","51","42.7","39.9","45.7","50","50","55.4","51.3","52.9","48.5","58.9","56.7","47.1","49.8","42.8","58.7","41.2","48.3","67.7","61.5","56.3","59.1000003814697","47.2999992370605"
"ecu","mass","4.6","6.2","7.8","5","4.9","6.7","26.9","36.5","21.4","18","8.6","20","28.7","22.1","13.5","49.5","58.3","40.4","43.3","40.7","34.8","33.2","47","43","43.2","31","27.7","32","45.8","36.9","44.7","42.7","49","48","56","65","90.6","88.1","69.8","71.6","100.6","125.8","127","141","62.9","126.2","128.4","131.8","134.3","131.8","143.9","147","165.300000548363"
"egy","mass","191.9","196.1","227.1","260.6","284.8","243.8","244.1","281.4","310.1","330.8","324.4","350","321.7","363","418","427.7","459.5","491","500.1","553.9","584.9","631.9","610","594","640","795.5","786.5","794.5","797","744.8","775","772","825","720.7","970","1002.6","915","1014","984.4","1084","1174","1151.3","1190.8","1372.9","1309","1239","1120","1139.1","1193.2","1158.7","1207","1086.80001211166","1113.50000572205"
"slv","mass","12.1","16.5","29.4","28.8","19.6","26.9","28.3","34","35","45","63","65","68","62.5","65","77.1","77.1","84.2","50.6","47.6","66.5","44.1","59.4","39.8","61.1","49.2","64.6","67.7","56.3","52.7","55.3","53.6","53","46","41","60","72.1","57","56.8","51","48.2","37.9","31.7","43.2","45.2","39","34.6","46.6","45.4","46.9","38.9","50","42.1000003814697"
"eth","mass","0.4646301496928","0.475906142423863","0.487732347035789","0.5","0.6","1.2","1.5","1.7","2","2.3","5.6","4.8","6.1","8","11","11","8.6","10","16","16","16","14.3","16.5","13","5","12.4","20.4","19.9","24","25.2","26.5","30.1","29.5","39.8","45.5","81","54.1","75.1","79.8","76.5","111.2","85.5","17","95","106","98","95","88","100","105","131","181.200000047684","211.999998569489"
"fin","mass","19","25.8","33.5","13.5","7.5","7.5","8.3","9.2","30.3","11.4","9.9","2.8","0.2","0.4","0.398701532515741","0.4","0.7","0.8","0.8","10.8","10.6","15.6","18.9","16","9","11","19.6","26.2","27.5","11.6","19.5","3","3","9","3","4","6","175","176","167","165","162","163","159","158","159","164","138","141","159","143","141","146"
"fra","mass","624.7","666.3","772.5","847.1","847.4","956.8","1101.8","1245.9","1229.8","1424.8","1475.1","1651.7","1833","1556","1709","1813","1831","2011","2221","2146","2193","2196","2320","2337","2408","2568.4","2557.1","2603.8","2660","2492.8","2569","2154","2222","2308.3","2391.7","2523.9","2513.1","2488.1","2571.4","2316.5","2392.3","2278","2330","2323","2204.4","2200.1","2402.7","2098.9","2068.8","2337.4","2020.00001525879","2139.5000038147","2190.90001296997"
"deu","mass","875.8","1046.5","1054.2","1181.7","1287.6","1321.3","1344","1443.4","1572","1642","1707.8","1846.9","1767","1872.2","1906.1","2078","2095.4","2138","2225.1","2302.5","2073.1","2171.5","2071.7","2148.7","2285.7","2287.2","2375.3","2413.1","2253","1787.3","1720","1680","1612","1787","1770","1758","1788.5","1903","2014","1848","1792","1788","1828","1778.7","1785.9","1599.1","1806.8","1550.5","1569","1786","1639.59997558594","1647.80004501343","1674.99996757507"
