"iso","sector","fuel","units","X1750","X1751","X1752","X1753","X1754","X1755","X1756","X1757","X1758","X1759","X1760","X1761","X1762","X1763","X1764","X1765","X1766","X1767","X1768","X1769","X1770","X1771","X1772","X1773","X1774","X1775","X1776","X1777","X1778","X1779","X1780","X1781","X1782","X1783","X1784","X1785","X1786","X1787","X1788","X1789","X1790","X1791","X1792","X1793","X1794","X1795","X1796","X1797","X1798","X1799","X1800","X1801","X1802","X1803","X1804","X1805","X1806","X1807","X1808","X1809","X1810","X1811","X1812","X1813","X1814","X1815","X1816","X1817","X1818","X1819","X1820","X1821","X1822","X1823","X1824","X1825","X1826","X1827","X1828","X1829","X1830","X1831","X1832","X1833","X1834","X1835","X1836","X1837","X1838","X1839","X1840","X1841","X1842","X1843","X1844","X1845","X1846","X1847","X1848","X1849","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975"
"arg","2C_Metal-production","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6","1.2","1.8","2.4","3","6","9","12","15","18","21.4","24.8","28.2","31.6","35","64.2","93.4","122.6","151.8","181","277.4","373.8","470.2","566.6","663","693.4","723.8","754.2","784.6","815","869.6","924.2","978.8","1033.4","1088"
"aus","2C_Metal-production","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.2","16.4","24.6","32.8","41","62.6","84.2","105.8","127.4","149","189.2","229.4","269.6","309.8","350","369.2","388.4","407.6","426.8","446","419.4","392.8","366.2","339.6","313","392.4","471.8","551.2","630.6","710","814.2","918.4","1022.6","1126.8","1231","1212","1193","1174","1155","1136","1131.8","1127.6","1123.4","1119.2","1115","1271.8","1428.6","1585.4","1742.2","1899","2058.8","2218.6","2378.4","2538.2","2698","2958.2","3218.4","3478.6","3738.8","3999","4353","4707","5061","5415","5769","6121.4","6473.8","6826.2","7178.6","7531"
"aut","2C_Metal-production","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73","76.0769230769231","79.1538461538462","82.2307692307692","85.3076923076923","88.3846153846154","91.4615384615385","94.5384615384615","97.6153846153846","100.692307692308","103.769230769231","106.846153846154","109.923076923077","113","114","115","130","134","151","156","146","141","155","159","172","182","197","213","228","244","232.5","221","225","230","250","237","202","191","178","215","263","278","279","292","313","371","332","303","273","259","293","286","320","380","435","522","540","499","485","512","586","617","666","617","631","663","742","779","817","888","958","996","1000","1030","992","971","988","1120","1222","1384","1467","1465","1505","1596","1760","1758","1353","1429","1477","1933","268.252804411857","60","100","226","321","342","267","380","332","433","458","459","297","145","95","88","133","193","248","388","551","581.8","679","646","784","961","928","102","58","279","613","838","883","1049","1173","1321","1354","1506","1737","1960","1818","1837","2232","2262","2118","2106","2204","2200","2195","2140","2474","2816","2964","2982.4","3000.8","3019.2","3037.6","3056"
"bel","2C_Metal-production","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90","93","95","100","115","135","150","132","100","95","90","96","98","107","135","189","248","162","149","145","168","179","230","285","294","322","302","324","319","320","312","357","392","450","471","482","423","436","534","565","609","656","607","533","542","491","471","465","453","608","625","727","783","751","713","702","756","827","832","788","684","753","745","819","829","959","1035","980","1025","1019","764","1069","1216","1283","1311","1363","1378","1270","1616","1852","2046","2301","2485","1454","68","128","8","1795.17600426145","251","1116","876","1613","2148","2844","2543","3368","3709","3857","4041","3365","3198","2749","2710","2953","3030","3161","3843","2426","3059","1790","1422","1269","1631","719","735","2161","2817","3929","3749","3696","4868","4790","4232","4625","5385","5770","5581","5519","5967","6553","6454","6740","6899","8044","8367","8230","8902","10371","11211","10845","10492.2","10139.4","9786.6","9433.8","9081"
"bgr","2C_Metal-production","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6","1.2","1","3","3","4","9","6","7","8","10","54","91","177","192","206","223","265","457","645","930","1028","1109","1134","1252","1313.6","1375.2","1436.8","1498.4","1560"
"bih","2C_Metal-production","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.154862707723396","0.160042062496754","0.165221417270111","0.170400772043468","0.175580126816826","0.180759481590184","0.19184330080517","0.202927120020155","0.214010939235141","0.225094758450126","0.236178577665112","0.232553029323762","0.228927480982411","0.22530193264106","0.22167638429971","0.21805083595836","0.226441390691199","0.234831945424038","0.243222500156878","0.251613054889718","0.260003609622557","0.248194680739301","0.236385751856046","0.22457682297279","0.212767894089535","0.200958965206279","0.282378422243463","0.363797879280644","0.44521733631783","0.526636793355011","1.699864236616","3.39972847323201","4.53297129764267","6.799456946464","4.24966059154001","0.849932118308001","5.38290341595067","6.51614624036133","8.21601047697735","8.78263188918268","9.91587471359334","10.7658068319013","2.83310706102667","8.78263188918267","9.34925330138801","5.949524828156","12.4656710685173","14.1655353051333","32.8640419079094","32.0141097896013","34.5639061445254","28.3310706102667","22.098235076008","15.8653995417493","9.63256400749067","3.399728473232","2.26648564882133","48.446130743556","51.845859216788","57.2287626327387","64.0282195792027","74.2426235480543","81.8191488289855","80.1605892205399","105.517514146715","153.1275503073","187.719943455334","214.623171630618","229.015624117734","266.509459065624","303.210149239875","313.553012492044","334.744806913623","324.368007918097","331.739259933045","365.190700090143","379.520821328125","393.224920790114","403.860737062081","405.565832620222","434.684001379462","487.613403454161","540.743810719695","593.927402695318","646.912061272586","699.479336865142"
"bra","2C_Metal-production","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.18987341772152","6.37974683544304","9.56962025316456","12.7594936708861","15.9493670886076","18.7594936708861","21.5696202531646","24.379746835443","27.1898734177215","30","31","32","33","34","35","40.8","46.6","52.4","58.2","64","88.4","112.8","137.2","161.6","186","200.8","215.6","230.4","245.2","260","353.8","447.6","541.4","635.2","729","800.6","872.2","943.8","1015.4","1087","1226.2","1365.4","1504.6","1643.8","1783","1944.4","2105.8","2267.2","2428.6","2590","2931.2","3272.4","3613.6","3954.8","4296","4915.4","5534.8","6154.2","6773.6","7393"
"can","2C_Metal-production","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","23.8","27.6","31.4","35.2","39","49.2","59.4","69.6","79.8","90","167.4","244.8","322.2","399.6","477","526.8","576.6","626.4","676.2","726","746.6","767.2","787.8","808.4","829","866.2","903.4","940.6","977.8","1015","933.2","851.4","769.6","687.8","606","649.8","693.6","737.4","781.2","825","793.4","761.8","730.2","698.6","667","798.2","929.4","1060.6","1191.8","1323","1412.2","1501.4","1590.6","1679.8","1769","1868.4","1967.8","2067.2","2166.6","2266","2430.6","2595.2","2759.8","2924.4","3089","3276.2","3463.4","3650.6","3837.8","4025","4536.4","5047.8","5559.2","6070.6","6582","6950.4","7318.8","7687.2","8055.6","8424","8601","8778","8955","9132","9309"
"che","2C_Metal-production","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","4","5","10","12","15","29","3","12","12","36","32","34","40","40","41","35","54","41","45","34","40","50","50","50","42","30","25","25","24","22","25","28","29.4","30.8","32.2","33.6","35"
"chl","2C_Metal-production","process","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4","2.8","4.2","5.6","7","8.4","9.8","11.2","12.6","14","33.2","52.4","71.6","90.8","110","139.2","168.4","197.6","226.8","256","258","260","262","264","266","274.6","283.2","291.8","300.4","309","343.4","377.8","412.2","446.6","481","472.6","464.2","455.8","447.4","439"
