"iso","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013"
"cmr","1","1.5","2","2.5","3","6.3","8.5","10.7","8.8","11.5","9","7.3","9.3","9.8","6.1","4","14.6","16.8","14.2","18.4","22.7","16.9","24.5","26","26.9","20.7","24.6","22","18.2","9","6","9.4","10.2","15","15","18","18.9","16.6","26","21.9","25.6","13","19.4","27.1","19.4","17.6","19.4","19.8","19","19","21.4","22.5999996960163","20.5"
"can","89.2","111","150.2","170.7","218.2","276.7","320.8","249.7","267.7","323.1","334.4","409.8","512.6","531.3","556.2","599","705.4","834.4","890.4","945.9","982.9","1069.8","1254.9","1338.5","1312.9","1150","1182.8","1160.3","1196.3","1157.7","1253.3","1317.3","1425.9","1448.4","1576.1","1670.4","1652.7","1625.8","1682.1","1591.9","1580.5","1644","1650","1539.5","1539.5","1758","1890.6","1816.8","1901","1990","2296.70000934601","2479.10001945496","2456.9999961853"
"chl","29.4","24.3","34.3","31.2","31.8","36.4","36.9","32.5","43.6","42.9","48.1","52.7","59.3","52.1","38.6","47.5","40","50","50.7","51.3","48.3","48.3","65.4","86.2","104.5","136","142.7","152.5","156.9","164.1","157.4","174","195","195","215","225","220","215","235.3","235","236.5","241","267.6","277.5","259.5","254","267.4","256","260","267.50000590086","271","264.199999809265","193.899999976158"
"chn","880","898","916","857","1329","1850","1632","2231","2498","2987","3208","3692","4225","3645","4785","5700","7675","9000","10360","11787","11287","12034","13459","14939","13594","13283","16524","18209.1","18542.5","19233","19629","20016","17668","18816","23435","24931","22665","22569","23860","22720","22694","26006","25078","26964","29761.3","31810","33111.8","33236.7","33600","32599.3","33800","34294","34250"
"col","23","18","18","35.1","38.7","48.9","49.4","46.6","61.3","78.9","84.7","110.2","125.7","122.7","111.3","136.6","147.6","141.2","151","152","143","149.4","157.4","181","184.1","220.4","245","261.7","268.9","312.1","298.9","255.4","251.9","252.8","241.4","236","265.2","296.8","299.8","334.3","324.4","332.5","342.3","346.1","350.9","353.5","359","289.6","340.6","360.1","374.6","380.10000038147","349.5"
"cri","6.2","8.8","10.8","12.8","14.8","16.7","15.7","29","40","37.4","26.8","25.9","34","33.9","31.1","28.5","40.5","40.9","39.4","39.7","42.7","49","54","50.6","49","52","55","59","63","55.6","62.4","65","60","70","70","89","100","104","80","73","48","44","44","68.6","63","65.5","65","61.2","65","67","96.3","69.5000007152557","52.6000003814697"
"civ","1.7","1.7","2.4","3.4","5","4","4.5","3.6","4.5","7.8","6.5","8.8","7.9","7.8","10.9","12","17.5","15.9","16.6","19.7","13.3","12.8","10","11","8.2","8","4.5","8.2","10","13.5","16.2","18","30","34","36","41.5","60","50","40","40","30","56.4","40.2","40","41","41","40","38","39","39.5","45","48","64"
"cub","41","48.8","63.6","76","90","144","170","172.7","175.6","158.8","122.9","103.1","130.4","139.8","156.3","187.2","223","225","280","267.4","315","276.7","248.7","294.4","293.6","328.4","306.4","304.7","366.7","283","240","192","120","72","100","100","133","107","72.3","78","54.1","35.8","12.7","16.6","45.1","64.9","50.8","49","50","52","62.5","56.7999992370605","61.199998497963"
"cyp","8.1","8.6","10.7","5.4","9.6","8.6","7.4","13.7","11.3","14.8","14.2","16.6","19.6","7.4","17.6","15","8.2","7.7","9.1","8.2","9","11.6","10.5","10.2","10.1","11.3","11.9","12.2","12.9","12.6","12.3","16","14.5","14.4","12.9","13.7","10.7","10.8","10.9","7.8","7.8","8.1","9.1","9.3","8.4","9.9","8.5","7.7","6.1","4.2","3.99999997764826","4.10000000149012","4.00000000745058"
"dnk","133.6","142.2","152.8","168.8","191.8","215.2","232.9","248","270.5","289.3","308.3","329.4","365.1","300.4","339.1","349.5","373.7","379.9","393.9","374.1","376","391.4","411.5","398.1","382.1","381.3","367","376.9","400.4","394.9","370","333","325","316","291","288","283","263","248","234","212","202","206","206","198","194.9","222.3","190","192","198","187","194","195"
"dom","10.7","7.8","6","8","10","14.3","15","13","15","15.7","26","41.3","32","22","30.9","22","32","27.9","34.3","30","31.4","30.7","25","31.3","33","31","34.8","26.6","39.1","47","51","42.7","39.9","45.7","50","50","55.4","51.3","52.9","48.5","58.9","56.7","47.1","49.8","42.8","58.7","41.2","48.3","67.7","61.5","56.3","59.1000003814697","47.2999992370605"
"ecu","4.6","6.2","7.8","5","4.9","6.7","26.9","36.5","21.4","18","8.6","20","28.7","22.1","13.5","49.5","58.3","40.4","43.3","40.7","34.8","33.2","47","43","43.2","31","27.7","32","45.8","36.9","44.7","42.7","49","48","56","65","90.6","88.1","69.8","71.6","100.6","125.8","127","141","62.9","126.2","128.4","131.8","134.3","131.8","143.9","147","165.300000548363"
"egy","191.9","196.1","227.1","260.6","284.8","243.8","244.1","281.4","310.1","330.8","324.4","350","321.7","363","418","427.7","459.5","491","500.1","553.9","584.9","631.9","610","594","640","795.5","786.5","794.5","797","744.8","775","772","825","720.7","970","1002.6","915","1014","984.4","1084","1174","1151.3","1190.8","1372.9","1309","1239","1120","1139.1","1193.2","1158.7","1207","1086.80001211166","1113.50000572205"
"slv","12.1","16.5","29.4","28.8","19.6","26.9","28.3","34","35","45","63","65","68","62.5","65","77.1","77.1","84.2","50.6","47.6","66.5","44.1","59.4","39.8","61.1","49.2","64.6","67.7","56.3","52.7","55.3","53.6","53","46","41","60","72.1","57","56.8","51","48.2","37.9","31.7","43.2","45.2","39","34.6","46.6","45.4","46.9","38.9","50","42.1000003814697"
"eth","0.4646301496928","0.475906142423863","0.487732347035789","0.5","0.6","1.2","1.5","1.7","2","2.3","5.6","4.8","6.1","8","11","11","8.6","10","16","16","16","14.3","16.5","13","5","12.4","20.4","19.9","24","25.2","26.5","30.1","29.5","39.8","45.5","81","54.1","75.1","79.8","76.5","111.2","85.5","17","95","106","98","95","88","100","105","131","181.200000047684","211.999998569489"
"fin","19","25.8","33.5","13.5","7.5","7.5","8.3","9.2","30.3","11.4","9.9","2.8","0.2","0.4","0.398701532515741","0.4","0.7","0.8","0.8","10.8","10.6","15.6","18.9","16","9","11","19.6","26.2","27.5","11.6","19.5","3","3","9","3","4","6","175","176","167","165","162","163","159","158","159","164","138","141","159","143","141","146"
"fra","624.7","666.3","772.5","847.1","847.4","956.8","1101.8","1245.9","1229.8","1424.8","1475.1","1651.7","1833","1556","1709","1813","1831","2011","2221","2146","2193","2196","2320","2337","2408","2568.4","2557.1","2603.8","2660","2492.8","2569","2154","2222","2308.3","2391.7","2523.9","2513.1","2488.1","2571.4","2316.5","2392.3","2278","2330","2323","2204.4","2200.1","2402.7","2098.9","2068.8","2337.4","2020.00001525879","2139.5000038147","2190.90001296997"
"deu","875.8","1046.5","1054.2","1181.7","1287.6","1321.3","1344","1443.4","1572","1642","1707.8","1846.9","1767","1872.2","1906.1","2078","2095.4","2138","2225.1","2302.5","2073.1","2171.5","2071.7","2148.7","2285.7","2287.2","2375.3","2413.1","2253","1787.3","1720","1680","1612","1787","1770","1758","1788.5","1903","2014","1848","1792","1788","1828","1778.7","1785.9","1599.1","1806.8","1550.5","1569","1786","1639.59997558594","1647.80004501343","1674.99996757507"
"grc","83.3","91.7","98.4","125.4","128.8","139.9","145.9","170.3","175.7","200.6","199.2","206.2","231.8","251.1","255.3","281.9","294.2","341.1","356","333.4","337.8","383.8","418","426.6","458.3","431.6","388.8","415.6","404.2","427.5","408.4","393","328","346","315","340","307","292","291","285","262","255","259","228","227","207","217","150","181","197","178","182","186"
"gtm","9","8.9","11.4","9.1","7.3","19.5","13.6","23.7","19.4","29","13.2","23.6","32","36.9","35.1","49.9","52","52","58.2","51.9","47","58.7","41.7","55.5","60","80","65.8","61.6","83.4","80","98.2","100","107","112","115","110","118.4","101","124","124.5","114","90.2","66.9","107.4","83.4","134.9","90.5","100.3","105.2","110.4","120.6","145.100000858307","187.399993419647"
"hun","92.4","135.4","134.4","169.1","180","185.3","236.6","304.6","347.9","391","393.5","421.8","492.7","551.3","535.8","522.4","582.1","570.1","570.1","536.8","562.9","646.5","625.4","625.9","558.4","593.4","613.8","646.3","572.8","358.6","264.5","148","225.3","243","246.5","318.4","285.8","282","320.6","320","336","330","333","354.4","325.7","341","318.5","232","253","258.7","292","323","329"
"isl","9","9.5","10","10","10.2","10.5","11.4","12","11.7","12.1","13.3","13.7","14.1","13.6","14.7","14.8","15","15.8","15.7","14.8","15.2","14.7","14.8","13.5","12.9","12.8","11.4","11.5","12.1","12.5","12","10.8","12","11.2","10.1","11.6","11.8","12.5","13.5","13","13","14","14","14","14","13","13","12.5","13","13","13","13.1","13.3000001907349"
"ind","310","360","407","434.4","547.4","838.7","1051.8","1253.9","1040.2","1310","1652.7","1742.2","1613","1846.2","1908.6","2351.7","2813.3","2986.3","3444.2","3522.3","3881.4","4043","4637.3","5333.3","5750","6528.7","5702.9","7157.5","7150.9","7565.5","8046.3","8426.8","8778.8","9507.1","9822.8","10316","10901.9","11353.8","11592.7","10910.6","11308.6","10469.2","11077.1","11714.9","12723.3","13774.1","14419.1","15090.1","15582.4","16558.2","17300.2","16820.9","16730.8001648188"
"idn","84.8","98.6","96","108.2","89.9","95.9","67.1","101.1","171.9","183.8","211.7","255.3","329","316.4","338.8","352.3","487","549","620.2","850.8","997","1082.4","1049.1","1285.8","1298.9","1366.2","1467.4","1585.4","1469.1","1609.9","1551.7","1697","1557.9","1649","1844","2084","1706.6","2120.9","1925.5","1964.4","1960","2221.7","2200","2351.7","2507.5","2350","2596","2737","3214.6","3044.9","2939.6","3062.99990272522","2819.99994659424"
"irn","8","7.7","12.7","15.5","17","32","46","49","55","70.2","87","107.6","152.7","194.2","183.3","194","238.4","175.3","286.9","298.8","409.9","492.8","596.6","489.5","467.4","529.4","529.4","527.5","726","558.1","658","834.4","555","609","633","685.2","830","878","847.8","862.5","865.2","883.7","940","1061.7","890.5","1100","983","1151","1050","1050","900","900","910"
"irq","1","1","2","2.3","2.5","4.8","6.4","8.3","10.2","12","13.5","15","13.3","20","33.1","44.3","69.8","66.4","74.2","64.5","63.2","64.7","54.3","109.8","120","131.5","148.5","164.6","138.5","130","95","130","226","238","225","240.5","242.7","251.2","254.7","250.5","297.1","507.2","45.2","2.6","119.9","139.4","106.7","138","150","121.8","130","140","150"
"irl","28.9","33.5","34.8","29.6","31.9","47.8","53.9","64","71.3","87.1","98.3","131.8","130.2","133","152.7","166.7","230.2","263.6","247.5","275.1","275.2","296","331.4","327.7","322.8","371.7","339.3","349","378.5","370","347.9","353","404","433","425","394","397","444","429","368","366","388","362","350","342.5","339.4","309.8","286","365","354","291","338","346"
"isr","21.3","19.2","21.5","22.9","23.9","24.7","28.3","27.9","29.9","31.1","33.4","35.6","30.3","32.6","37.4","36.5","38.2","37.7","35.7","40.8","51.7","45.5","47.1","55.5","52.8","49.8","52","46.5","48.4","49.6","41.3","43.4","44","50","50","65","61","61","44","44","44","47.1","47.9","56.2","46.2","45.9","43.3","44","46.3","41.9","44.6","43.6999999880791","44"
"ita","347.8","376.5","375","403.6","461.8","475.3","479.7","513.6","550.4","594.5","624.9","691.8","694.3","673.3","748","737","817.3","1070","1123.5","1028.5","982.1","1027.7","1038.8","1037.6","1065.4","1056","1076.1","987","827","857","906","909","918","882","875","876","855","845","868","828","819","789","753","685","641","701","708","609","592","572","568","585","594"
"jpn","695.2","697.3","757.2","735","787","852.7","899.9","755.2","739.7","688.2","674.2","732.8","871.2","704.9","650.1","736.1","716.1","722.9","776.9","614","643","683","701","697.2","680","693","669","640","641","612","576","572","600","580.4","527.5","511.7","495.2","476","479.5","487.4","484","480","477","474.6","471.2","469.4","444","420","350.5","405","351.6","372.5","367.999987795949"
"jor","0.4","0.6","1","1.4","1.8","0.6","2","2.1","1.5","1.4","1.4","1.5","1.8","2","1.9","4","1.4","3.2","6.2","5","2.9","7.1","8.8","7","10.7","6.1","7.3","14.2","12","8","14.8","9.7","6.3","4","6","5","10.9","14.8","13","9.4","10","10.6","10.9","4.7","10.7","4.6","6.5","7.8","8.2","10.2","10.2","10.5","11"
"ken","3.5","3.5","7.3","10.3","13","11.8","13","10.8","16","22","18.5","23.4","20.3","19.4","21.9","22.5","25.2","25.4","20.1","22.7","27","27.7","30","34.7","48.5","46.2","47.8","57.6","49.3","49.1","52.4","47.8","42.1","52","33","63","51","53","54.2","72.7","81.9","56.1","67.6","81.7","81.2","84.9","80","76","85","101.3","107.199998475611","90.2000007927418","109.399999856949"
"kor","72.0824455624957","74","83","92","105","121","130","132","152","205","216.6","224.9","244","251.9","264","385.8","442.8","535","540","550","564.1","564.1","582.8","597","623","605","602","634","644","655.4","659","652.5","636","300","84","72.4","149.3","128.3","152","165","171.1","154.2","154.2","170.8","159.7","170","175","160.6","160.5","180.9","180","185","191.299999833107"
"kor","216.9","200","199.3","173.2","201.2","239.7","277.6","285.9","320.1","355.6","370","372.6","411.3","449.4","480.5","369.9","387.9","446.6","443.8","447.3","431.9","308.6","367.4","401.8","426.1","435.4","448.9","460.1","505.7","505.4","473.5","486.6","477.3","475","478","456","507","451","428.3","411.5","375","340.7","365.3","386.7","354","267.7","325.5","301.7","290","280","271","270","270"
"lbn","7.9","5.9","10","11","10","11.5","12.5","13.4","16","19","29","33","38.6","19.1","7","17.7","13.7","14.4","16","14","16.9","21.3","17","17","11.9","10.6","10","11.3","14","11","12.4","14.2","18","10","25","22","22","23.4","22","24.2","30","22.1","27.8","27.3","10.2","12.7","14.9","10.8","27.9","20.8","19.9","24.8000003099442","26.0999999046326"
"lby","1.4","3.5","1.6","1.5","1.7","2.7","3.4","4.1","3.3","4.5","8","7","7","10.1","15","13.1","16.7","13.8","22.5","29.5","30.5","35.2","33.9","31.9","27.8","31.7","37.8","30.6","30","35","35","26.7","34.6","24.4","30","16.6","27.5","30","43.6","30.5","39.8","30.8","23.8","29.6","32","32","32","32","32","32","31.9","32.3999999761581","31.1999999880791"
"mys","25.7","26.5","23.8","31.2","39.5","43.5","41.5","42.5","54.6","60.8","72.1","76.8","113.1","69.9","78.6","84","96","109.5","135.7","139.4","128.7","138.1","161","216","215","198.9","208.6","237.1","273.1","262.1","254.7","294.9","301","287","286","255","344","417","362.4","359.3","339","363.2","385","549.5","499.2","542","567.8","531.7","602","542","560","600","600"
"mus","9.6","10.8","10.8","9.6","9.1","8.7","9.5","9.2","9.2","8.9","9.2","13.9","11.2","8.7","10","8.8","12.1","10.8","9.8","10.2","9.5","9.8","10.7","10.7","11","9.9","12.7","10.9","11.6","11.2","11.2","11.2","9.9","11.8","12.4","13.1","11.8","12.4","13.4","16.8","11.6","10.4","8.4","13.6","14","14.4","14.4","14.2","14.5","14.5","14.9","11","11"
"mex","155","128.4","139.2","167.8","246.2","277","295.3","359.8","404.4","406","435.1","507.2","525.9","654.4","732.2","830.4","794.2","752.2","827.7","878.4","1106.3","1180.6","1087.9","1193.2","1262.4","1257.2","1337.2","1269.6","1292.8","1346.3","1155.2","1230","1193","1182.4","1049","1207.4","1197","1336","1300","1342","1310","1121.8","1163.9","1151.2","1110.2","1063","1211.3","1049.2","1113.3","1165.7","1168","1201","1246"
"mar","8.6","15.8","14.9","11.8","18.2","25.3","26","37","34.3","37.1","44.2","50.9","62.5","62.2","63.2","82.2","76.1","80.7","100.8","114.8","82.4","91.1","110.9","104.8","128.3","140.1","132.9","158.9","144.1","164","140.6","131.4","171.7","134.8","144.9","124.5","174.1","176","202.9","207.6","211","216","237","239.2","236","231","231","195","200","205","200","215","224"
"mmr","4.5","5","5","6","5.1","6","30","23","26","14.9","27.2","31.8","36.5","38.1","42.5","42.9","49.9","67.9","72.3","66.8","92.6","114.7","115","127.4","134","115","92","66.8","64.1","57.8","63.1","55","60","110.6","115.2","130.9","135.5","135","125","165","76.5","127.3","127","59","49.1","52.2","53.2","56","58","60.2","63.9","80.1000000014901","90.4999997615814"
"npl","0.6","0.59046762006588","0.6","0.8","0.8","1.1","1.8","2.4","3.4","4.1","5.6","7.7","9","8.9","8.4","10.7","13","13.7","15","16.8","18","22.8","28.1","31.6","31.7","32.9","38.2","39.8","49.3","51.8","57","59.4","55.2","66.4","70","75","77.4","87.4","62","54","50.4","51","51","18.9","4","6.8","5","8","8.5","15","20","20","20"
"nld","242.9","294","289.7","293.7","310.8","337.4","343.4","339.2","387.4","405.3","373.7","377.4","410.5","435.4","452.7","429.8","446.7","443.2","486.2","482.7","477.4","456.6","478.3","505.1","495.6","504.2","458.1","435","409","392","392","388","370","395","390","390","375","350","345","300","296","288","275","269","263","261","268","247","235","235","201","201","195"
"nzl","6","3.4","4","5.9","6.6","6.9","4.9","7.9","9.8","7.9","9.9","28.6","32.4","19.6","11.6","20.1","20.2","24.9","22.3","21.4","21","30.1","33.1","40","32","27","36.8","20.5","22.2","45.8","64.5","90.3","105.7","125.6","155.5","140","138.9","153.5","180","230.7","269.1","323.3","348.3","378.8","310.8","303.1","328.7","295","329.2","368.1","367.5","369.5","405.000004291534"
"nic","3.4","3.2","9.7","10","15","12.7","15.9","16.1","17","16.3","17.3","17.5","35","22","16.5","22.9","36","35","17.8","30","26","30.4","51.4","38.1","44.9","55.1","38.5","58.6","21.9","31.8","26.2","26","21","10.8","25","25.8","20","21.9","20.3","14.2","11.2","11.4","18.6","19.6","10.3","30.2","43","37.5","36.7","49.8","23.1","49.0000014305115","31.6999994516373"
"nga","0.4","1.2","1.5","1.2","1.4","1.8","2.2","2.8","6.1","5.6","7","7.2","4.7","13.2","30.2","49.3","54.1","42.3","65.5","94.7","132.2","100.3","120.6","120.2","109.6","121","108.3","153.2","180.4","210","212","220","220","186","100","105","77.3","100","107","105.6","146.9","93.3","140.8","109.8","141.6","150","140.3","384.2","339.5","510.3","334.399999916554","241","415.099999785423"
"nor","49.9","54.7","55.8","58.7","59.9","63.1","67.4","68.9","76.8","78.3","78.3","80.2","91.2","87","91.7","94.6","102","102.6","110.7","102.5","107.6","109.1","110.6","110.8","106","109.8","111.2","110.1","110.4","110.8","111","109","109","110","112","112","112","106","106","103","101","101","104","106","104","106","109","79","82","98","95","97","103"
"pak","62.1","40.3","68","85","69.2","107.8","177.4","203.5","260.6","263.5","344","386.4","341.9","362.9","445.2","510.9","555.2","684.2","806.4","842.8","832.6","954.1","914.6","934.5","1128","1332.3","1279.3","1324.9","1467.6","1471.7","1462.6","1636.3","1659.2","1738.2","1991","1985.3","2087.6","2091.9","2218","2264.6","2285.2","2349.2","2527","2785","2926.6","2649.7","2925.3","3035","3476.3","3142.7","3208.60004556179","2853.00004303455","3179.19995236397"
"per","54.3","71","70","60.5","64.2","40.2","61.3","58.4","68","67.8","86.2","75.5","80.5","113.8","78.2","95.5","104.2","103.9","88.4","87.1","100.7","72","52.9","55.2","47.8","128","161.6","158.4","113.4","84.1","58.4","64.9","98.4","110.5","129.2","133.1","149.7","170.2","168","190.2","190.2","209.5","209.5","201.6","215","218.3","220.1","207.7","215.9","222.9","240.8","245.9","253"
"phl","35.8","48.1","52","52.6","58","66","64.3","70.1","99.4","107.6","122","114.5","148.5","175","132.8","153.2","177.2","210.2","226.4","209.8","209.9","232.8","244.1","180.7","205.9","298.4","371.9","372.1","374.7","400.6","302.7","362.6","401","402","397.4","482.5","548.1","409.3","480.4","488.18","507.7","481.3","492.2","501.5","501.6","470.5","522","450","460","433","449","470","617"
"pol","299.4","299.4","316.1","352.9","386.5","433.2","513.3","604.8","701.1","785","822.4","907.1","1073.4","1143","1227.9","1212.8","1250.3","1297","1312.6","1343.8","1213","1244.9","1321.5","1238.5","1336.6","1388.1","1335.4","1504.4","1478.6","671","569.3","683","758","836","852","910","1009.7","862","861.3","896.2","864.3","830.7","948.2","892","996","1056","1142","1050","1113","1090","1095","1204","1172"
"prt","70.2","79.5","86.9","88.5","83.5","94.1","98.1","104.4","106.8","110","123.6","125.5","132.3","105.5","138.9","138.1","154.7","139.6","155.8","136","141.9","138.7","121.6","123.2","137.2","149.8","149.5","156.5","145.4","150.2","141","127","129","128","125","132","121","131","120","113","103","96","95","88","83","80","78","71.2","68","72.8","72","76","79"
"qat","0.0625011409759452","0.068381883127552","0.0750269270323064","0.0821344465201755","0.0895048468658152","0.0970407647885695","0.104861470307242","0.113237146525652","0.12255237840239","0.133057876385145","0.145127272063432","0.15867415552567","0.172954914715851","0.186928979571967","0.2","0.3","0.3","0.4","0.6","0.7","0.8","0.6","0.6","0.6","0.5","0.5","0.5","0.6","1.1","1","1.5","1.5","2","6","6","1.2","1.2","0.5","0.8","0.5","0.9","1","1","1","1","1","1","1","1","1","1","1","1"
"rou","34.4","42.8","85.7","101.4","165","207.5","288.6","330","349.8","438","486","436","442","490","788","612","571","821","786","646.3","882","884","878","857","880","716","720","720","778","765.4","275","362","411","227.6","233","266","220","268","182","240","268.5","239.1","213","242","241.2","234.2","324.2","345","345","374","516","501","520"
"sau","2.52594365595261","2.61215031685914","2.70423405149232","2.8004765222813","2.9","5.1","1","1","1","1.2","1.5","1.5","4","4","5","5.7","6.4","4.7","7","16","41.5","59","113.3","138.6","169","181.5","236.7","238","262","273","284","292","250","196","153","181","210","173","181.1","208","225","224.3","235","238","194","206","221","140","130","125","127.5","122","110.299999952316"
"sen","2.5","2.6","3","2.3","3.2","5.4","5.3","3.4","3","3.8","5","5.2","7.4","9","10","10.8","12","10.3","8","6","6.3","3.4","8","8","7","7.5","7","8.4","6.2","6","9.8","9","13","12.9","5.2","8","7.1","7.6","14.4","16.2","15.9","21","10.9","11","11","11","12.4","10","10.7","35","42","42","38"
"zaf","38.1","70.7","85","93.1","98.5","97.9","131","143.9","150","180.5","208.4","230.5","231","253.1","290.5","316.2","343.3","379","400","466.2","528.3","475.9","367.9","409.1","379","372.9","328.2","380.8","375.2","377.6","358.1","363","411.5","375","386","405","406","415","413","415.9","393","477","421","428","347.2","429","440","424","414","395","419","425","416.5"
"esp","327.2","346","333","364","474","455.2","525.5","583","617.5","620.5","693.3","754.4","728.5","715.3","761.2","831.9","783.3","862.4","906.9","900.3","827.1","800.9","810","907.9","969.5","1063.5","1147.8","1121.2","1102.8","1063.5","998.7","812","936","929","1041","1119","1118","1199","1181","1114","1111","1075","1158","1023","951","937","977","732.1","813","967.4","818.300000190735","962.700008630753","1036.99999594688"
"lka","36.4","34","36.3","41.2","38.1","41.6","41.8","52.9","48","51","57","51.2","51.2","74.4","37.8","52.3","66.3","80.2","77.2","91.6","75.9","79.4","82.6","96.1","101.7","99.3","104.3","106","108.5","92.4","95.8","102.2","115.2","123.8","116","117.5","122.5","142.2","163.8","157.5","158.4","162","148","152","139","142.5","138","165.5","170","174.7","178.8","170.599994719028","179.899996608496"
"sdn","24.5","17.8","24.4","23.2","23.4","29","39","42","30.3","44","45.8","88","54.7","60.3","95","80","32","11.4","33.9","80.4","74.5","79","41.7","86","93.4","60","37.8","78.2","46.9","66.3","39.4","44.5","43.9","39.4","31.7","76.8","69","26.2","26.1","32.8","70","55.6","41.9","58.1","55.3","52.5","55.8","52.2","54.6","69.6","80.3","73","79.4000000357628"
"swe","111.6","117.1","129.7","149.1","161.1","164.3","181.4","190.9","205","225.5","233.8","232.9","263.5","235.3","256.5","259","258.1","255.5","256.2","243.8","247.9","249.2","257.9","253.5","245.9","240.8","241.2","222.5","234.3","211.5","185","205","221","216","196","209","208","196","197","191","187","182","177","164","170","175","197","158","176.1","177","160.1","162","163"
