iso,CO_1920
zaf,0.1154
lso,0.1154
gnq,0.0828
cog,0.0824
lbr,0.0828
gin,0.0828
mus,0.0792
moz,0.0791
sdn,0.0792
eth,0.0901
civ,0.0792
ago,0.0787
caf,0.0828
tun,0.1015
bfa,0.0828
sen,0.0828
gab,0.0828
cpv,0.0828
mli,0.0828
egy,0.0990
nam,0.0747
eri,0.0792
swz,0.0892
nga,0.0824
zwe,0.0929
bwa,0.0924
mar,0.1154
rwa,0.0866
dza,0.1154
tza,0.0802
cod,0.0792
uga,0.0792
tgo,0.0824
bdi,0.0842
mdg,0.0792
som,0.0792
mwi,0.0808
ken,0.0819
zmb,0.0845
cmr,0.0828
gha,0.0828
ben,0.0828
ner,0.0838
tcd,0.0828
dji,0.0792
sle,0.0828
reu,0.0792
gmb,0.0828
mrt,0.0828
lby,0.1061
gnb,0.0828
com,0.0792
esh,0.0809
ssd,0.0792
stp,0.0828
syc,0.0792
kor,0.1154
mng,0.1154
vnm,0.0706
brn,0.0791
idn,0.0789
khm,0.0791
npl,0.1154
chn,0.1154
lao,0.0676
ind,0.0869
mmr,0.0712
mys,0.0791
phl,0.0771
lka,0.0804
tha,0.0791
hkg,0.0676
mdv,0.0804
cok,0.0804
pyf,0.0804
nzl,0.1154
btn,0.0804
bgd,0.0804
fji,0.0408
fsm,0.0676
kir,0.0637
mac,0.0791
mne,0.1154
ncl,0.0408
plw,0.0408
png,0.0791
prk,0.1154
sgp,0.0791
slb,0.0408
tls,0.0676
ton,0.0676
twn,0.0408
vut,0.0408
wsm,0.0424
pol,0.1154
hun,0.1154
alb,0.1154
rou,0.1154
bgr,0.1154
bih,0.1154
cze,0.1154
hrv,0.1154
mkd,0.1154
scg,0.1154
srb,0.1154
srb (Kosovo),0.1154
svk,0.1154
svn,0.1154
lva,0.1154
rus,0.1154
ukr,0.1154
blr,0.1154
ltu,0.1154
mda,0.1154
est,0.1154
uzb,0.1154
geo,0.1154
aze,0.1154
arm,0.1154
kaz,0.1154
kgz,0.1154
csk,0.0770
tjk,0.1154
tkm,0.1154
guf,0.0655
cri,0.0825
gtm,0.0770
hnd,0.0790
pry,0.0797
slv,0.0770
pan,0.0770
nic,0.0770
chl,0.1154
cub,0.0770
ury,0.1040
bra,0.0807
hti,0.0523
jam,0.0770
per,0.1154
mex,0.0905
dom,0.0787
col,0.0721
ecu,0.0804
sur,0.0518
arg,0.1154
ven,0.0771
bol,0.1154
guy,0.0701
abw,0.0770
ant,0.0770
atg,0.0770
bhs,0.0770
blz,0.0770
bmu,0.0770
brb,0.0770
cuw,0.0728
cym,0.0770
dma,0.0770
flk,0.0518
glp,0.0706
grd,0.0770
kna,0.0770
lca,0.0588
mtq,0.0804
msr,0.0770
sxm,0.0728
tca,0.0706
tto,0.0770
vct,0.0770
vgb,0.0728
afg,0.1154
are,0.0554
bhr,0.0531
irn,0.1154
irq,0.1154
isr,0.0752
jor,0.1154
kwt,0.0763
lbn,0.0957
omn,0.0531
pak,0.1154
qat,0.0531
sau,0.0670
syr,0.1154
yem,0.0464
pse,0.0763
usa,0.1154
can,0.1154
aus,0.0926
jpn,0.1154
pri,0.0770
bel,0.1154
nld,0.1154
lux,0.1154
swe,0.1154
fra,0.1154
fin,0.1154
dnk,0.1154
deu,0.1154
nor,0.1154
aut,0.1154
irl,0.1154
ita,0.1154
che,0.1154
gbr,0.1154
lie,0.1154
isl,0.1154
mlt,0.1154
gib,0.1154
grc,0.1154
esp,0.1154
prt,0.1154
cyp,0.1154
tur,0.1154
