iso,sector,fuel,units,X1750,X1751,X1752,X1753,X1754,X1755,X1756,X1757,X1758,X1759,X1760,X1761,X1762,X1763,X1764,X1765,X1766,X1767,X1768,X1769,X1770,X1771,X1772,X1773,X1774,X1775,X1776,X1777,X1778,X1779,X1780,X1781,X1782,X1783,X1784,X1785,X1786,X1787,X1788,X1789,X1790,X1791,X1792,X1793,X1794,X1795,X1796,X1797,X1798,X1799,X1800,X1801,X1802,X1803,X1804,X1805,X1806,X1807,X1808,X1809,X1810,X1811,X1812,X1813,X1814,X1815,X1816,X1817,X1818,X1819,X1820,X1821,X1822,X1823,X1824,X1825,X1826,X1827,X1828,X1829,X1830,X1831,X1832,X1833,X1834,X1835,X1836,X1837,X1838,X1839,X1840,X1841,X1842,X1843,X1844,X1845,X1846,X1847,X1848,X1849,X1850,X1851,X1852,X1853,X1854,X1855,X1856,X1857,X1858,X1859,X1860
aus,2C_Metal-production,process,ktS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,1.33,2.65,1.99,3.32,2.65,3.32,1.33,0.66,0.66,2.65,2.65,2.65,2.65,3.32
aut,2C_Metal-production,process,ktS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.69,1.03,1.37,1.72,2.06,2.41,2.75,3.09,3.44,3.78,4.12,4.47,4.81,5.16,5.5,5.84,6.19,6.53,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87
bel,2C_Metal-production,process,ktS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.51,0.76,1.01,1.26,1.52,1.77,2.02,2.27,2.53,2.78,3.03,3.28,3.54,3.79,4.04,4.29,4.55,4.8,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05
chl,2C_Metal-production,process,ktS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48,8.48,10.6,9.54,9.54,10.6,12.72,8.48,15.9,13.78,15.9,20.14,22.26,25.44,26.5,24.38,36.04
cub,2C_Metal-production,process,ktS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.33,0.49,0.65,0.82,0.98,1.14,1.31,1.47,1.63,1.8,1.96,2.13,2.29,2.45,2.62,2.78,2.94,3.11,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27
deu,2C_Metal-production,process,ktS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.66,0.98,1.31,1.64,1.97,2.29,2.62,2.95,3.28,3.61,3.93,4.26,4.59,4.92,5.24,5.57,5.9,6.23,6.56,7.12,6.81,6.69,8.12,9.95,11.45,12.91,14.61,16.05,15.33,14.84,15.22,17.5,18.23,22.01,19.96,21.7,25.64,27.2,26.13,28.95,32.73,35.95
esp,2C_Metal-production,process,ktS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.81,1.21,1.62,2.02,2.42,2.83,3.23,3.64,4.04,4.45,4.85,5.25,5.66,6.06,6.47,6.87,7.27,7.68,8.08,8.37,8.66,8.94,9.23,9.52,9.81,10.09,10.38,10.67,10.95
fra,2C_Metal-production,process,ktS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.47,0.71,0.94,1.18,1.41,1.65,1.88,2.12,2.35,2.59,2.82,3.06,3.29,3.53,3.76,4,4.23,4.47,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
gbr,2C_Metal-production,process,ktS,12,14,15.38,16.5,17.75,18,20.38,21.63,19,21.25,20.13,21.63,20.5,22.75,27.25,21.38,27,23.5,30.13,33.88,39.13,4.25,4.38,4.25,4.63,4.63,4.5,4.38,3.88,4.75,3.63,4.5,4.38,5.5,5.63,5.63,6.13,6.15,6.18,6.2,6.23,6.25,6.28,6.3,6.33,6.35,6.38,6.63,7.13,6.25,6.63,6.75,6.63,7.13,6.88,7.88,8.75,8.5,8.63,8.63,7.25,7.75,8.5,8.75,8.13,8.25,8.5,8.25,8.63,8.63,9.5,10.75,11.5,10,9.88,10.38,12.05,14.47,14.64,15.06,17.24,19.53,20.08,19.63,20.3,22.35,22.15,21.82,23.37,25.29,24.09,23.51,24.06,25.98,27.03,29.82,27.95,29.48,30.4,30.36,31.47,32.12,31.47,30.59,31.59,43.72,49.43,39.34,35.82,36.26,36.54
jap,2C_Metal-production,process,ktS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.29,0.43,0.58,0.72,0.87,1.01,1.15,1.3,1.44,1.59,1.73,1.88,2.02,2.16,2.31,2.45,2.6,2.74,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88
