iso,agg_fuel,CEDS_sector,agg_sector,start_year,end_year,priority,override_normalization,method,keep_total_cols
nga,biomass,1A4b_Residential,1A4_Stationary_RCO,1900,2019,,,linear,NA
eth,biomass,1A4b_Residential,1A4_Stationary_RCO,1900,2019,,,linear,NA
