iso,fuel,X1850,X1851,X1852,X1853,X1854,X1855,X1856,X1857,X1858,X1859,X1860,X1861,X1862,X1863,X1864,X1865,X1866,X1867,X1868,X1869,X1870,X1871,X1872,X1873,X1874,X1875,X1876,X1877,X1878,X1879,X1880,X1881,X1882,X1883,X1884,X1885,X1886,X1887,X1888,X1889,X1890,X1891,X1892,X1893,X1894,X1895,X1896,X1897,X1898,X1899,X1900,X1901,X1902,X1903,X1904,X1905,X1906,X1907,X1908,X1909,X1910,X1911,X1912,X1913,X1914,X1915,X1916,X1917,X1918,X1919,X1920,X1921,X1922,X1923,X1924,X1925,X1926,X1927,X1928,X1929,X1930,X1931,X1932,X1933,X1934,X1935,X1936,X1937,X1938,X1939,X1940,X1941,X1942,X1943,X1944,X1945,X1946,X1947,X1948,X1949,X1950,X1951,X1952,X1953,X1954,X1955,X1956,X1957,X1958,X1959,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000
bhs,biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,53.6,45.2,36.8,28.4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blr,biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.7,53.4,46.1,38.8,31.5,24.2,32.8,41.4,50,58.6,67.2
blz,biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,238.4,248.8,259.2,269.6,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bol,biomass,4.7,5.02,5.34,5.66,5.98,6.3,6.7,7.1,7.5,7.9,8.3,8.84,9.38,9.92,10.46,11,11.72,12.44,13.16,13.88,14.6,15.54,16.48,17.42,18.36,19.3,20.56,21.82,23.08,24.34,25.6,27.26,28.92,30.58,32.24,33.9,36.1,38.3,40.5,42.7,44.9,47.9,50.9,53.9,56.9,59.9,63.92,67.94,71.96,75.98,80,88.36,96.72,105.08,113.44,121.8,129.74,137.68,145.62,153.56,161.5,161.58,161.66,161.74,161.82,161.9,167.58,173.26,178.94,184.62,190.3,202,213.7,225.4,237.1,248.8,257.04,265.28,273.52,281.76,290,291.26,292.52,293.78,295.04,296.3,301.76,307.22,312.68,318.14,323.6,328.94,334.28,339.62,344.96,350.3,352.06,353.82,355.58,357.34,359.1,319.5,279.9,240.3,200.7,161.1,140.72,120.34,99.96,79.58,59.2,60.22,61.24,62.26,63.28,64.3,154.08,243.86,333.64,423.42,513.2,586.98,660.76,734.54,808.32,882.1,750.74,619.38,488.02,356.66,225.3,248.24,271.18,294.12,317.06,340,361.2,382.4,403.6,424.8,446,508.5,571,633.5,696,758.5,862.26,966.02,1069.78,1173.54,1277.3
bra,biomass,1072.6,1091.78,1110.96,1130.14,1149.32,1168.5,1189.4,1210.3,1231.2,1252.1,1273,1295.76,1318.52,1341.28,1364.04,1386.8,1411.6,1436.4,1461.2,1486,1510.8,1549.16,1587.52,1625.88,1664.24,1702.6,1745.82,1789.04,1832.26,1875.48,1918.7,1967.46,2016.22,2064.98,2113.74,2162.5,2217.38,2272.26,2327.14,2382.02,2436.9,2491.06,2545.22,2599.38,2653.54,2707.7,2693.94,2680.18,2666.42,2652.66,2638.9,2732.52,2826.14,2919.76,3013.38,3107,3224.36,3341.72,3459.08,3576.44,3693.8,3806.7,3919.6,4032.5,4145.4,4258.3,4548.34,4838.38,5128.42,5418.46,5708.5,5876.96,6045.42,6213.88,6382.34,6550.8,6711.64,6872.48,7033.32,7194.16,7355,7602.6,7850.2,8097.8,8345.4,8593,8847.16,9101.32,9355.48,9609.64,9863.8,10239.3,10614.8,10990.3,11365.8,11741.3,12439.12,13136.94,13834.76,14532.58,15230.4,15733.84,16237.28,16740.72,17244.16,17747.6,18332.42,18917.24,19502.06,20086.88,20671.7,20529.52,20387.34,20245.16,20102.98,19960.8,23717.04,27473.28,31229.52,34985.76,38742,40855.32,42968.64,45081.96,47195.28,49308.6,46533.24,43757.88,40982.52,38207.16,35431.8,38572.6,41713.4,44854.2,47995,51135.8,50664.24,50192.68,49721.12,49249.56,48778,49669.98,50561.96,51453.94,52345.92,53237.9,54506.4,55774.9,57043.4,58311.9,59580.4
brb,biomass,45,46,47,48,49,50,52.66,55.32,57.98,60.64,63.3,64.64,65.98,67.32,68.66,70,67.66,65.32,62.98,60.64,58.3,65.98,73.66,81.34,89.02,96.7,93.36,90.02,86.68,83.34,80,82,84,86,88,90,97.34,104.68,112.02,119.36,126.7,112.7,98.7,84.7,70.7,56.7,62.02,67.34,72.66,77.98,83.3,84.3,85.3,86.3,87.3,88.3,81.3,74.3,67.3,60.3,53.3,62.98,72.66,82.34,92.02,101.7,93.02,84.34,75.66,66.98,58.3,64.98,71.66,78.34,85.02,91.7,87.7,83.7,79.7,75.7,71.7,93.02,114.34,135.66,156.98,178.3,167.98,157.66,147.34,137.02,126.7,138.02,149.34,160.66,171.98,183.3,199.64,215.98,232.32,248.66,265,270,275,280,285,290,284,278,272,266,260,274.34,288.68,303.02,317.36,331.7,422.1,512.5,602.9,693.3,783.7,727.22,670.74,614.26,557.78,501.3,445.04,388.78,332.52,276.26,220,209.34,198.68,188.02,177.36,166.7,156.7,146.7,136.7,126.7,116.7,107.7,98.7,89.7,80.7,71.7,63.2,54.7,46.2,37.7,29.2
can,biomass,1923,2006.2,2089.4,2172.6,2255.8,2339,2440,2541,2642,2743,2844,2926.6,3009.2,3091.8,3174.4,3257,3351.4,3445.8,3540.2,3634.6,3729,3828.6,3928.2,4027.8,4127.4,4227,4307,4387,4467,4547,4627,4772.4,4917.8,5063.2,5208.6,5354,5434.8,5515.6,5596.4,5677.2,5758,5614,5470,5326,5182,5038,5060.8,5083.6,5106.4,5129.2,5152,5196,5240,5284,5328,5372,5344.4,5316.8,5289.2,5261.6,5234,5082.6,4931.2,4779.8,4628.4,4477,4235.4,3993.8,3752.2,3510.6,3269,3234.6,3200.2,3165.8,3131.4,3097,3109.6,3122.2,3134.8,3147.4,3160,3014.4,2868.8,2723.2,2577.6,2432,2580.2,2728.4,2876.6,3024.8,3173,3374.6,3576.2,3777.8,3979.4,4181,4253.4,4325.8,4398.2,4470.6,4543,4760.2,4977.4,5194.6,5411.8,5629,5829.8,6030.6,6231.4,6432.2,6633,6451,6269,6087,5905,5723,7924.4,10125.8,12327.2,14528.6,16730,15912.6,15095.2,14277.8,13460.4,12643,13456,14269,15082,15895,16708,17119.4,17530.8,17942.2,18353.6,18765,18441,18117,17793,17469,17145,17816.2,18487.4,19158.6,19829.8,20501,21039.8,21578.6,22117.4,22656.2,23195
che,biomass,540.5,550.64,560.78,570.92,581.06,591.2,606.66,622.12,637.58,653.04,668.5,693.04,717.58,742.12,766.66,791.2,803.34,815.48,827.62,839.76,851.9,903.62,955.34,1007.06,1058.78,1110.5,1093.72,1076.94,1060.16,1043.38,1026.6,1042,1057.4,1072.8,1088.2,1103.6,1095,1086.4,1077.8,1069.2,1060.6,1043.12,1025.64,1008.16,990.68,973.2,947.54,921.88,896.22,870.56,844.9,803.34,761.78,720.22,678.66,637.1,611.9,586.7,561.5,536.3,511.1,477.48,443.86,410.24,376.62,343,319.22,295.44,271.66,247.88,224.1,217.18,210.26,203.34,196.42,189.5,184.24,178.98,173.72,168.46,163.2,155.4,147.6,139.8,132,124.2,122.64,121.08,119.52,117.96,116.4,119.68,122.96,126.24,129.52,132.8,136.66,140.52,144.38,148.24,152.1,158.88,165.66,172.44,179.22,186,193.94,201.88,209.82,217.76,225.7,231.44,237.18,242.92,248.66,254.4,273.44,292.48,311.52,330.56,349.6,343.64,337.68,331.72,325.76,319.8,326.94,334.08,341.22,348.36,355.5,359.46,363.42,367.38,371.34,375.3,361.72,348.14,334.56,320.98,307.4,314.48,321.56,328.64,335.72,342.8,373.14,403.48,433.82,464.16,494.5
chl,biomass,37.7,40.14,42.58,45.02,47.46,49.9,53.16,56.42,59.68,62.94,66.2,70.5,74.8,79.1,83.4,87.7,93.4,99.1,104.8,110.5,116.2,123.78,131.36,138.94,146.52,154.1,164.12,174.14,184.16,194.18,204.2,217.5,230.8,244.1,257.4,270.7,288.32,305.94,323.56,341.18,358.8,382.76,406.72,430.68,454.64,478.6,510.6,542.6,574.6,606.6,638.6,661.66,684.72,707.78,730.84,753.9,786.34,818.78,851.22,883.66,916.1,909.56,903.02,896.48,889.94,883.4,911.56,939.72,967.88,996.04,1024.2,1075.98,1127.76,1179.54,1231.32,1283.1,1403.16,1523.22,1643.28,1763.34,1883.4,1878.6,1873.8,1869,1864.2,1859.4,1937.72,2016.04,2094.36,2172.68,2251,2304.9,2358.8,2412.7,2466.6,2520.5,2655.18,2789.86,2924.54,3059.22,3193.9,2924.82,2655.74,2386.66,2117.58,1848.5,1591.26,1334.02,1076.78,819.54,562.3,572.38,582.46,592.54,602.62,612.7,629.08,645.46,661.84,678.22,694.6,724.38,754.16,783.94,813.72,843.5,995.2,1146.9,1298.6,1450.3,1602,1685.72,1769.44,1853.16,1936.88,2020.6,2026.08,2031.56,2037.04,2042.52,2048,2095.92,2143.84,2191.76,2239.68,2287.6,2515.16,2742.72,2970.28,3197.84,3425.4
chn,biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6,164.608,307.616,450.624,593.632,736.64,879.648,1022.656,1165.664,1308.672,1451.68,1594.688,1737.696,1880.704,2023.712,2166.72,2309.728,2452.736,2595.744,2738.752,2881.76,3024.768,3167.776,3310.784,3453.792,3596.8,3739.808,3882.816,4025.824,4168.832,4311.84,4454.848,4597.856,4740.864,4883.872,5026.88,5169.888,5312.896,5455.904,5598.912,5741.92,5884.928,6027.936,6170.944,6313.952,6456.96,6599.968,6742.976,6885.984,7028.992,7172,6474.4,5776.8,5079.2,4381.6,3684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
civ,biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cmr,biomass,100,100.4,100.8,101.2,101.6,102,102.4,102.8,103.2,103.6,104,104.4,104.8,105.2,105.6,106,106.4,106.8,107.2,107.6,108,110.2,112.4,114.6,116.8,119,121.4,123.8,126.2,128.6,131,133.6,136.2,138.8,141.4,144,147,150,153,156,159,162.2,165.4,168.6,171.8,175,178.6,182.2,185.8,189.4,193,197,201,205,209,213,217.2,221.4,225.6,229.8,234,240.6,247.2,253.8,260.4,267,277.2,287.4,297.6,307.8,318,329.8,341.6,353.4,365.2,377,389.4,401.8,414.2,426.6,439,452.2,465.4,478.6,491.8,505,519.2,533.4,547.6,561.8,576,591.8,607.6,623.4,639.2,655,673.4,691.8,710.2,728.6,747,775.8,804.6,833.4,862.2,891,918.2,945.4,972.6,999.8,1027,1051.2,1075.4,1099.6,1123.8,1148,1196.6,1245.2,1293.8,1342.4,1391,1427.4,1463.8,1500.2,1536.6,1573,1630,1687,1744,1801,1858,2058.8,2259.6,2460.4,2661.2,2862,2784.2,2706.4,2628.6,2550.8,2473,2412.8,2352.6,2292.4,2232.2,2172,2233.4,2294.8,2356.2,2417.6,2479
