iso,fuel,X1850,X1851,X1852,X1853,X1854,X1855,X1856,X1857,X1858,X1859,X1860,X1861,X1862,X1863,X1864,X1865,X1866,X1867,X1868,X1869,X1870,X1871,X1872,X1873,X1874,X1875,X1876,X1877,X1878,X1879,X1880,X1881,X1882,X1883,X1884,X1885,X1886,X1887,X1888,X1889,X1890,X1891,X1892,X1893,X1894,X1895,X1896,X1897,X1898,X1899,X1900,X1901,X1902,X1903,X1904,X1905,X1906,X1907,X1908,X1909,X1910,X1911,X1912,X1913,X1914,X1915,X1916,X1917,X1918,X1919,X1920,X1921,X1922,X1923,X1924,X1925,X1926,X1927,X1928,X1929,X1930,X1931,X1932,X1933,X1934,X1935,X1936,X1937,X1938,X1939,X1940,X1941,X1942,X1943,X1944,X1945,X1946,X1947,X1948,X1949,X1950,X1951,X1952,X1953,X1954,X1955,X1956,X1957,X1958,X1959,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000
ago,biomass,20,20.2,20.4,20.6,20.8,21,21,21,21,21,21,21,21,21,21,21,21.2,21.4,21.6,21.8,22,22.4,22.8,23.2,23.6,24,24.4,24.8,25.2,25.6,26,26.6,27.2,27.8,28.4,29,29.6,30.2,30.8,31.4,32,32.6,33.2,33.8,34.4,35,35.8,36.6,37.4,38.2,39,39.8,40.6,41.4,42.2,43,43.8,44.6,45.4,46.2,47,48.4,49.8,51.2,52.6,54,56,58,60,62,64,66.4,68.8,71.2,73.6,76,78.6,81.2,83.8,86.4,89,91.6,94.2,96.8,99.4,102,104.8,107.6,110.4,113.2,116,119.2,122.4,125.6,128.8,132,135.8,139.6,143.4,147.2,151,149.4,147.8,146.2,144.6,143,134.8,126.6,118.4,110.2,102,95.6,89.2,82.8,76.4,70,117.4,164.8,212.2,259.6,307,275,243,211,179,147,129,111,93,75,57,68.2,79.4,90.6,101.8,113,140.2,167.4,194.6,221.8,249,250.2,251.4,252.6,253.8,255,262.8,270.6,278.4,286.2,294
alb,biomass,72.3,72.9,73.5,74.1,74.7,75.3,75.92,76.54,77.16,77.78,78.4,79.04,79.68,80.32,80.96,81.6,82.42,83.24,84.06,84.88,85.7,87.88,90.06,92.24,94.42,96.6,99.04,101.48,103.92,106.36,108.8,111.58,114.36,117.14,119.92,122.7,125.82,128.94,132.06,135.18,138.3,141.72,145.14,148.56,151.98,155.4,159.24,163.08,166.92,170.76,174.6,178.64,182.68,186.72,190.76,194.8,199.3,203.8,208.3,212.8,217.3,221.5,225.7,229.9,234.1,238.3,241.66,245.02,248.38,251.74,255.1,258.2,261.3,264.4,267.5,270.6,273.02,275.44,277.86,280.28,282.7,284.68,286.66,288.64,290.62,292.6,293.98,295.36,296.74,298.12,299.5,295.22,290.94,286.66,282.38,278.1,267.6,257.1,246.6,236.1,225.6,220.76,215.92,211.08,206.24,201.4,195.88,190.36,184.84,179.32,173.8,165.5,157.2,148.9,140.6,132.3,126.92,121.54,116.16,110.78,105.4,93.08,80.76,68.44,56.12,43.8,57.78,71.76,85.74,99.72,113.7,108.96,104.22,99.48,94.74,90,90.82,91.64,92.46,93.28,94.1,81.36,68.62,55.88,43.14,30.4,30.48,30.56,30.64,30.72,30.8
arg,biomass,167,177.86,188.72,199.58,210.44,221.3,235.72,250.14,264.56,278.98,293.4,312.5,331.6,350.7,369.8,388.9,414.2,439.5,464.8,490.1,515.4,548.96,582.52,616.08,649.64,683.2,727.66,772.12,816.58,861.04,905.5,964.44,1023.38,1082.32,1141.26,1200.2,1278.32,1356.44,1434.56,1512.68,1590.8,1697.12,1803.44,1909.76,2016.08,2122.4,2264.24,2406.08,2547.92,2689.76,2831.6,3119.58,3407.56,3695.54,3983.52,4271.5,4431.44,4591.38,4751.32,4911.26,5071.2,4869.06,4666.92,4464.78,4262.64,4060.5,3944.7,3828.9,3713.1,3597.3,3481.5,3419.36,3357.22,3295.08,3232.94,3170.8,3063.06,2955.32,2847.58,2739.84,2632.1,2524.6,2417.1,2309.6,2202.1,2094.6,2073.66,2052.72,2031.78,2010.84,1989.9,1997.72,2005.54,2013.36,2021.18,2029,2107.48,2185.96,2264.44,2342.92,2421.4,2522.12,2622.84,2723.56,2824.28,2925,2958.1,2991.2,3024.3,3057.4,3090.5,3206.52,3322.54,3438.56,3554.58,3670.6,4457.58,5244.56,6031.54,6818.52,7605.5,7882.02,8158.54,8435.06,8711.58,8988.1,8253.38,7518.66,6783.94,6049.22,5314.5,5265.02,5215.54,5166.06,5116.58,5067.1,4843.04,4618.98,4394.92,4170.86,3946.8,4496.8,5046.8,5596.8,6146.8,6696.8,6916.5,7136.2,7355.9,7575.6,7795.3
atg,biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aus,biomass,1236.8,1432.72,1628.64,1824.56,2020.48,2216.4,2567.54,2918.68,3269.82,3620.96,3972.1,4155.1,4338.1,4521.1,4704.1,4887.1,5112.28,5337.46,5562.64,5787.82,6013,6415.6,6818.2,7220.8,7623.4,8026,8369.6,8713.2,9056.8,9400.4,9744,10220.9,10697.8,11174.7,11651.6,12128.5,12569.58,13010.66,13451.74,13892.82,14333.9,13964.64,13595.38,13226.12,12856.86,12487.6,13097.8,13708,14318.2,14928.4,15538.6,15702.04,15865.48,16028.92,16192.36,16355.8,16502.44,16649.08,16795.72,16942.36,17089,16141.26,15193.52,14245.78,13298.04,12350.3,11436.52,10522.74,9608.96,8695.18,7781.4,7351.98,6922.56,6493.14,6063.72,5634.3,5118.82,4603.34,4087.86,3572.38,3056.9,2944.24,2831.58,2718.92,2606.26,2493.6,2494.56,2495.52,2496.48,2497.44,2498.4,2533.62,2568.84,2604.06,2639.28,2674.5,2746.94,2819.38,2891.82,2964.26,3036.7,3139.2,3241.7,3344.2,3446.7,3549.2,3740.12,3931.04,4121.96,4312.88,4503.8,4623.64,4743.48,4863.32,4983.16,5103,6729.72,8356.44,9983.16,11609.88,13236.6,13593.28,13949.96,14306.64,14663.32,15020,13200.84,11381.68,9562.52,7743.36,5924.2,5932.82,5941.44,5950.06,5958.68,5967.3,6191.32,6415.34,6639.36,6863.38,7087.4,7352.98,7618.56,7884.14,8149.72,8415.3,9226.22,10037.14,10848.06,11658.98,12469.9
aut,biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.6,88.28,85.96,83.64,81.32,79,77.96,76.92,75.88,74.84,73.8,65.88,57.96,50.04,42.12,34.2,34.58,34.96,35.34,35.72,36.1,31.34,26.58,21.82,17.06,12.3,14.52,16.74,18.96,21.18,23.4,25.76,28.12,30.48,32.84,35.2,37.7,40.2,42.7,45.2,47.7,49.84,51.98,54.12,56.26,58.4,58.46,58.52,58.58,58.64,58.7,71.84,84.98,98.12,111.26,124.4,226.34,328.28,430.22,532.16,634.1,700.84,767.58,834.32,901.06,967.8,1099.48,1231.16,1362.84,1494.52,1626.2,1589.2,1552.2,1515.2,1478.2,1441.2,1497.62,1554.04,1610.46,1666.88,1723.3
bel,biomass,2245.7,2306.2,2366.7,2427.2,2487.7,2548.2,2587.44,2626.68,2665.92,2705.16,2744.4,2746.1,2747.8,2749.5,2751.2,2752.9,2973.92,3194.94,3415.96,3636.98,3858,3738.1,3618.2,3498.3,3378.4,3258.5,3132.66,3006.82,2880.98,2755.14,2629.3,2543.74,2458.18,2372.62,2287.06,2201.5,2118.94,2036.38,1953.82,1871.26,1788.7,1716.3,1643.9,1571.5,1499.1,1426.7,1354.52,1282.34,1210.16,1137.98,1065.8,1021.8,977.8,933.8,889.8,845.8,806.6,767.4,728.2,689,649.8,619.24,588.68,558.12,527.56,497,465.7,434.4,403.1,371.8,340.5,342.72,344.94,347.16,349.38,351.6,351,350.4,349.8,349.2,348.6,315.72,282.84,249.96,217.08,184.2,182.8,181.4,180,178.6,177.2,171.76,166.32,160.88,155.44,150,161.5,173,184.5,196,207.5,212.56,217.62,222.68,227.74,232.8,235.92,239.04,242.16,245.28,248.4,262.74,277.08,291.42,305.76,320.1,347.6,375.1,402.6,430.1,457.6,454.02,450.44,446.86,443.28,439.7,438.46,437.22,435.98,434.74,433.5,426.74,419.98,413.22,406.46,399.7,402.28,404.86,407.44,410.02,412.6,411.4,410.2,409,407.8,406.6,433.3,460,486.7,513.4,540.1
ben,biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6.6,6.2,5.8,5.4,5,4.6,4.2,3.8,3.4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.2,3.4,3.6,3.8,4,4,4,4,4,4,6,8,10,12,14
bgd,biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bgr,biomass,115.5,117.04,118.58,120.12,121.66,123.2,124.86,126.52,128.18,129.84,131.5,133.26,135.02,136.78,138.54,140.3,142.42,144.54,146.66,148.78,150.9,155.64,160.38,165.12,169.86,174.6,180.08,185.56,191.04,196.52,202,208.36,214.72,221.08,227.44,233.8,241.16,248.52,255.88,263.24,270.6,277.12,283.64,290.16,296.68,303.2,310.52,317.84,325.16,332.48,339.8,350.66,361.52,372.38,383.24,394.1,406.7,419.3,431.9,444.5,457.1,459.62,462.14,464.66,467.18,469.7,454.98,440.26,425.54,410.82,396.1,387.88,379.66,371.44,363.22,355,387.92,420.84,453.76,486.68,519.6,518.1,516.6,515.1,513.6,512.1,549.46,586.82,624.18,661.54,698.9,645.48,592.06,538.64,485.22,431.8,450.72,469.64,488.56,507.48,526.4,531.28,536.16,541.04,545.92,550.8,525.86,500.92,475.98,451.04,426.1,386.46,346.82,307.18,267.54,227.9,202.92,177.94,152.96,127.98,103,89.02,75.04,61.06,47.08,33.1,30.86,28.62,26.38,24.14,21.9,22.76,23.62,24.48,25.34,26.2,29.92,33.64,37.36,41.08,44.8,39.48,34.16,28.84,23.52,18.2,26.7,35.2,43.7,52.2,60.7
