iso,fuel,X1950,X1951,X1952,X1953,X1954,X1955,X1956,X1957,X1958,X1959,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976
afg,natural_gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.155267,159.7858824,,99.72850679,202.8733032,137.6923077,152.6244344,183.6199095,218.2352941,137.8733032
afg,hard_coal,8,10,12,14,16,23,23,29,34,41,48,66,112,99,113,144,162,151,125,137,164,135,72,117,115,150,160
ago,natural_gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.98642534,37.98642534,50.29411765,57.42081448,60.04524887,57.39819005,49.97737557
alb,brown_coal,40,69,71,105,149,195,224,236,256,288,290,288,301,252,292,331,394,434,502,593,605,675,740,811,850,895,900
alb,natural_gas,0,4.43438914,4.43438914,8.800904977,13.25791855,17.60180995,22.05882353,26.5158371,30.85972851,35.31674208,37.9638009,37.9638009,37.9638009,37.9638009,37.9638009,37.9638009,47.62443439,58.23529412,67.05882353,77.66968326,86.47058824,111.199095,127.9638009,167.7149321,196.8325792,254.5248869,309.1855204
are,natural_gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.678733,529.5022624,520.9782805,201.4027149,509.7285068,601.040724,749.9547511,824.9773756,700.0226244,774.9547511
arg,natural_gas,0,652.5339367,705.9728507,548.7330317,555.8371041,565.2941176,600.6334842,669.8868778,680.8597285,676.8778281,1087.330317,1853.076923,2348.393891,2681.711738,2974.223729,3333.525638,3610.212308,3775.413566,4203.836443,4188.117086,4729.004525,5068.687783,5733.733032,6524.886878,6862.669683,7230.452489,7573.122172
arg,hard_coal,1473,2242,1852,1266,1519,1252,1449,1279,1489,1505,1577,1452,831,976,1023,1031,1054,1218,990,1069,1409,1276,1212,1230,1445,1531,1452
arm,diesel_oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm,natural_gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm,heavy_oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm,light_oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm,brown_coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm,hard_coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
