sector,fuel,em,method,start_year,end_year,file_name,domain,domain_extension,converge_year,converge_value
11A_Volcanoes,process,all,constant,1750,1969,,,,,
11B_Forest-fires,process,all,constant,1750,1969,,,,,
11C_Other-natural,process,all,constant,1750,1969,,,,,
1A1a_Electricity-autoproducer,all-comb,BC,constant,1750,1849,,,,,
1A1a_Electricity-autoproducer,all-comb,BC,EF-trend,1850,1959,B.BC_SPEW_comb_EF,EXT_IN,extension-data/,,
1A1a_Electricity-autoproducer,all-comb,OC,constant,1750,1849,,,,,
1A1a_Electricity-autoproducer,all-comb,OC,EF-trend,1850,1959,B.OC_SPEW_comb_EF,EXT_IN,extension-data/,,
1A1a_Electricity-public,all-comb,BC,constant,1750,1849,,,,,
1A1a_Electricity-public,all-comb,BC,EF-trend,1850,1959,B.BC_SPEW_comb_EF,EXT_IN,extension-data/,,
1A1a_Electricity-public,all-comb,OC,constant,1750,1849,,,,,
1A1a_Electricity-public,all-comb,OC,EF-trend,1850,1959,B.OC_SPEW_comb_EF,EXT_IN,extension-data/,,
1A1a_Heat-production,all-comb,BC,constant,1750,1849,,,,,
1A1a_Heat-production,all-comb,BC,EF-trend,1850,1959,B.BC_SPEW_comb_EF,EXT_IN,extension-data/,,
1A1a_Heat-production,all-comb,OC,constant,1750,1849,,,,,
1A1a_Heat-production,all-comb,OC,EF-trend,1850,1959,B.OC_SPEW_comb_EF,EXT_IN,extension-data/,,
1A1a_Electricity-public,hard_coal,SO2,EF-trend,1750,1969,U.1A1_Electricity-SO2-EF,EXT_IN,extension-data/,,
1A1a_Heat-production,hard_coal,SO2,EF-trend,1750,1969,U.1A1_Electricity-SO2-EF,EXT_IN,extension-data/,,
1A1bc_Other-transformation,process,all,Emissions-trend,1750,1969,E.CO2_CDIAC_Total_CO2,MED_OUT,,,
1A1bc_Other-transformation,process,BC,Emissions-trend,1750,1849,A.Pig_Iron_Production,EXT_IN,extension-data/,,
1A1bc_Other-transformation,process,BC,Emissions-trend,1850,1969,CD.BC_SPEW_NC_em.csv,DEFAULT_EF_IN,non-combustion-emissions/,,
1A1bc_Other-transformation,process,OC,Emissions-trend,1850,1969,CD.OC_SPEW_NC_em.csv,DEFAULT_EF_IN,non-combustion-emissions/,,
1A1bc_Other-transformation,process,OC,Emissions-trend,1750,1849,A.Pig_Iron_Production,EXT_IN,extension-data/,,
1A2a_Ind-Comb-Iron-steel,all-comb,BC,constant,1750,1849,,,,,
1A2a_Ind-Comb-Iron-steel,all-comb,BC,EF-trend,1850,1959,B.BC_SPEW_comb_EF,EXT_IN,extension-data/,,
1A2a_Ind-Comb-Iron-steel,all-comb,OC,constant,1750,1849,,,,,
1A2a_Ind-Comb-Iron-steel,all-comb,OC,EF-trend,1850,1959,B.OC_SPEW_comb_EF,EXT_IN,extension-data/,,
1A2a_Ind-Comb-Iron-steel,biomass,CO,EF-converge,1750,1969,,,,1900,0.072629497
1A2a_Ind-Comb-Iron-steel,biomass,NMVOC,EF-converge,1750,1969,,,,1900,0.000410807
1A2a_Ind-Comb-Iron-steel,biomass,NOx,EF-converge,1750,1969,,,,1900,0.001167479
