"Source","Data.Type","Emission","Region","Sector","Start.Year","End.Year","Source.Comment"
"160227_SPEW_BCOCemission.xlsx","Emissions","BC","All","All",1850,2010,"SPEW database. Bond et al. 2007. ver. 02-27-2016"
"160227_SPEW_BCOCemission.xlsx","Emissions","OC","All","All",1850,2010,"SPEW database. Bond et al. 2007. ver. 02-27-2016"
