sector,fuel,driver_data_source,extra_driver_info,ext_start_year,ext_end_year,Notes
1A1a_Electricity-autoproducer,biomass,,,,,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A1a_Electricity-public,biomass,,,,,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A1a_Heat-production,biomass,,,,,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A2a_Ind-Comb-Iron-steel,biomass,,,,,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2b_Ind-Comb-Non-ferrous-metals,biomass,,,,,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2c_Ind-Comb-Chemicals,biomass,,,,,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2d_Ind-Comb-Pulp-paper,biomass,,,,,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2e_Ind-Comb-Food-tobacco,biomass,,,,,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2f_Ind-Comb-Non-metalic-minerals,biomass,,,,,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2g_Ind-Comb-Construction,biomass,,,,,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2g_Ind-Comb-machinery,biomass,,,,,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2g_Ind-Comb-mining-quarying,biomass,,,,,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2g_Ind-Comb-other,biomass,,,,,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2g_Ind-Comb-textile-leather,biomass,,,,,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2g_Ind-Comb-transpequip,biomass,,,,,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A2g_Ind-Comb-wood-products,biomass,,,,,replaced with H1.2.add_industrial_biomass.R Does not use extention activity driver file to select
1A3ai_International-aviation,biomass,,,,,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A3aii_Domestic-aviation,biomass,,,,,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A3b_Road,biomass,,,,,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A3c_Rail,biomass,,,,,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A3dii_Domestic-navigation,biomass,,,,,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A3eii_Other-transp,biomass,,,,,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A4a_Commercial-institutional,biomass,,,,,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A4b_Residential,biomass,,,,,replaced wih A8É.
1A4c_Agriculture-forestry-fishing,biomass,,,,,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A5_Other-unspecified,biomass,,,,,replaced with H1.2.add_other_biomass.R Does not use extention activity driver file to select
1A1a_Electricity-autoproducer,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A1a_Electricity-public,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A1a_Heat-production,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A2a_Ind-Comb-Iron-steel,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A2b_Ind-Comb-Non-ferrous-metals,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A2c_Ind-Comb-Chemicals,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A2d_Ind-Comb-Pulp-paper,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A2e_Ind-Comb-Food-tobacco,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A2f_Ind-Comb-Non-metalic-minerals,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A2f_Ind-Comb-Non-metalic-minerals,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A2g_Ind-Comb-Construction,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A2g_Ind-Comb-machinery,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A2g_Ind-Comb-mining-quarying,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A2g_Ind-Comb-other,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A2g_Ind-Comb-textile-leather,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A2g_Ind-Comb-transpequip,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A2g_Ind-Comb-wood-products,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A3ai_International-aviation,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A3aii_Domestic-aviation,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A3b_Road,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A3c_Rail,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A3dii_Domestic-navigation,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A3eii_Other-transp,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A4a_Commercial-institutional,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A4b_Residential,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
1A4c_Agriculture-forestry-fishing,brown_coal,,,,,*Extended with H.1.add_total_coal. Does not use extention activity driver file to select activities to extend
