# WebDab output on Tue Jan 12 23:09:32 2016
# Format: ISO2;YEAR;SECTOR;POLLUTANT;UNIT;NUMBER/FLAG
KZ;1980;SNAP NATIONAL;NOx;Gg;88.99962
KZ;1980;S1;NOx;Gg;0
KZ;1980;S2;NOx;Gg;5.12787
KZ;1980;S3;NOx;Gg;5.07984
KZ;1980;S4;NOx;Gg;0
KZ;1980;S5;NOx;Gg;4.13038
KZ;1980;S6;NOx;Gg;0
KZ;1980;S7;NOx;Gg;47.83566
KZ;1980;S8;NOx;Gg;26.82587
KZ;1980;S9;NOx;Gg;0
KZ;1980;S10;NOx;Gg;0
KZ;1980;S11;NOx;Gg;0
CZ;1980;SNAP NATIONAL;NOx;Gg;937.00008
CZ;1980;S1;NOx;Gg;315.61873
CZ;1980;S2;NOx;Gg;38.78929
CZ;1980;S3;NOx;Gg;136.37522
CZ;1980;S4;NOx;Gg;9.8211
CZ;1980;S5;NOx;Gg;0
CZ;1980;S6;NOx;Gg;0
CZ;1980;S7;NOx;Gg;293.51004
CZ;1980;S8;NOx;Gg;136.09594
CZ;1980;S9;NOx;Gg;0.38727
CZ;1980;S10;NOx;Gg;6.40249
CZ;1980;S11;NOx;Gg;0
FI;1980;SNAP NATIONAL;NOx;Gg;294.9999
FI;1980;S1;NOx;Gg;104.93016
FI;1980;S2;NOx;Gg;9.90553
FI;1980;S3;NOx;Gg;41.87713
FI;1980;S4;NOx;Gg;3.61139
FI;1980;S5;NOx;Gg;0
FI;1980;S6;NOx;Gg;0
FI;1980;S7;NOx;Gg;103.14149
FI;1980;S8;NOx;Gg;31.46139
FI;1980;S9;NOx;Gg;0.07281
FI;1980;S10;NOx;Gg;0
FI;1980;S11;NOx;Gg;0
NOA;1980;SNAP NATIONAL;NOx;Gg;95.99985
NOA;1980;S1;NOx;Gg;26.59984
NOA;1980;S2;NOx;Gg;1.978
NOA;1980;S3;NOx;Gg;9.2136
NOA;1980;S4;NOx;Gg;10.15051
NOA;1980;S5;NOx;Gg;0
NOA;1980;S6;NOx;Gg;0
NOA;1980;S7;NOx;Gg;29.98325
NOA;1980;S8;NOx;Gg;16.34505
NOA;1980;S9;NOx;Gg;0.06387
NOA;1980;S10;NOx;Gg;1.66573
NOA;1980;S11;NOx;Gg;0
DK;1980;SNAP NATIONAL;NOx;Gg;291.231
DK;1980;S1;NOx;Gg;112.59298
DK;1980;S2;NOx;Gg;13.05701
DK;1980;S3;NOx;Gg;15.342
DK;1980;S4;NOx;Gg;3.58764
DK;1980;S5;NOx;Gg;0
DK;1980;S6;NOx;Gg;0
DK;1980;S7;NOx;Gg;69.60496
DK;1980;S8;NOx;Gg;75.48542
DK;1980;S9;NOx;Gg;0.876
DK;1980;S10;NOx;Gg;0.68499
DK;1980;S11;NOx;Gg;0
RUP;1980;SNAP NATIONAL;NOx;Gg;226.74684
RUP;1980;S1;NOx;Gg;110.89306
RUP;1980;S2;NOx;Gg;11.649
RUP;1980;S3;NOx;Gg;19.79423
RUP;1980;S4;NOx;Gg;0
RUP;1980;S5;NOx;Gg;0
RUP;1980;S6;NOx;Gg;0
RUP;1980;S7;NOx;Gg;63.45768
RUP;1980;S8;NOx;Gg;20.65427
RUP;1980;S9;NOx;Gg;0.04536
RUP;1980;S10;NOx;Gg;0.25324
RUP;1980;S11;NOx;Gg;0
FGD;1980;SNAP NATIONAL;NOx;Gg;740.89681
FGD;1980;S1;NOx;Gg;99.08211
FGD;1980;S2;NOx;Gg;28.93597
FGD;1980;S3;NOx;Gg;67.75368
FGD;1980;S4;NOx;Gg;8.09306
FGD;1980;S5;NOx;Gg;0
FGD;1980;S6;NOx;Gg;0
FGD;1980;S7;NOx;Gg;417.49791
FGD;1980;S8;NOx;Gg;118.89941
FGD;1980;S9;NOx;Gg;0.63467
FGD;1980;S10;NOx;Gg;0
FGD;1980;S11;NOx;Gg;0
BLS;1980;SNAP NATIONAL;NOx;Gg;85.99988
BLS;1980;S1;NOx;Gg;0
BLS;1980;S2;NOx;Gg;0
BLS;1980;S3;NOx;Gg;0
BLS;1980;S4;NOx;Gg;0
BLS;1980;S5;NOx;Gg;0
BLS;1980;S6;NOx;Gg;0
BLS;1980;S7;NOx;Gg;0
BLS;1980;S8;NOx;Gg;85.99988
BLS;1980;S9;NOx;Gg;0
BLS;1980;S10;NOx;Gg;0
BLS;1980;S11;NOx;Gg;0
AZ;1980;SNAP NATIONAL;NOx;Gg;43.00003
AZ;1980;S1;NOx;Gg;11.91447
AZ;1980;S2;NOx;Gg;0.88602
AZ;1980;S3;NOx;Gg;4.12691
AZ;1980;S4;NOx;Gg;4.54662
AZ;1980;S5;NOx;Gg;0
AZ;1980;S6;NOx;Gg;0
AZ;1980;S7;NOx;Gg;13.43001
AZ;1980;S8;NOx;Gg;7.32123
AZ;1980;S9;NOx;Gg;0.02866
AZ;1980;S10;NOx;Gg;0.74611
AZ;1980;S11;NOx;Gg;0
NO;1980;SNAP NATIONAL;NOx;Gg;159.33758
NO;1980;S1;NOx;Gg;12.42787
NO;1980;S2;NOx;Gg;4.7661
NO;1980;S3;NOx;Gg;12.23665
NO;1980;S4;NOx;Gg;12.33009
NO;1980;S5;NOx;Gg;0
NO;1980;S6;NOx;Gg;0.02925
NO;1980;S7;NOx;Gg;49.64714
NO;1980;S8;NOx;Gg;65.69742
NO;1980;S9;NOx;Gg;0.90472
NO;1980;S10;NOx;Gg;1.29834
NO;1980;S11;NOx;Gg;0
PL;1980;SNAP NATIONAL;NOx;Gg;1228.99989
PL;1980;S1;NOx;Gg;509.18913
PL;1980;S2;NOx;Gg;80.03467
PL;1980;S3;NOx;Gg;179.86494
PL;1980;S4;NOx;Gg;11.85088
PL;1980;S5;NOx;Gg;0
PL;1980;S6;NOx;Gg;0
PL;1980;S7;NOx;Gg;309.54308
PL;1980;S8;NOx;Gg;137.48459
PL;1980;S9;NOx;Gg;0.70048
PL;1980;S10;NOx;Gg;0.33212
PL;1980;S11;NOx;Gg;0
IE;1980;SNAP NATIONAL;NOx;Gg;72.99997
IE;1980;S1;NOx;Gg;22.79326
IE;1980;S2;NOx;Gg;4.65546
IE;1980;S3;NOx;Gg;5.83849
IE;1980;S4;NOx;Gg;0.46456
IE;1980;S5;NOx;Gg;0
IE;1980;S6;NOx;Gg;0
IE;1980;S7;NOx;Gg;28.4832
IE;1980;S8;NOx;Gg;10.73479
IE;1980;S9;NOx;Gg;0.03021
IE;1980;S10;NOx;Gg;0
IE;1980;S11;NOx;Gg;0
CY;1980;SNAP NATIONAL;NOx;Gg;12.90001
CY;1980;S1;NOx;Gg;2.8
CY;1980;S2;NOx;Gg;0.4
CY;1980;S3;NOx;Gg;1.79999
CY;1980;S4;NOx;Gg;0
CY;1980;S5;NOx;Gg;0
CY;1980;S6;NOx;Gg;0
CY;1980;S7;NOx;Gg;7.20001
CY;1980;S8;NOx;Gg;0
CY;1980;S9;NOx;Gg;0
CY;1980;S10;NOx;Gg;0.70001
CY;1980;S11;NOx;Gg;0
SK;1980;SNAP NATIONAL;NOx;Gg;196.99996
SK;1980;S1;NOx;Gg;68.06419
SK;1980;S2;NOx;Gg;10.87508
SK;1980;S3;NOx;Gg;42.3346
SK;1980;S4;NOx;Gg;2.70408
SK;1980;S5;NOx;Gg;0
SK;1980;S6;NOx;Gg;0
SK;1980;S7;NOx;Gg;58.51188
SK;1980;S8;NOx;Gg;12.54974
SK;1980;S9;NOx;Gg;0.14379
SK;1980;S10;NOx;Gg;1.8166
SK;1980;S11;NOx;Gg;0
GB;1980;SNAP NATIONAL;NOx;Gg;2660.78592
GB;1980;S1;NOx;Gg;952.53083
GB;1980;S2;NOx;Gg;155.52788
GB;1980;S3;NOx;Gg;353.06344
GB;1980;S4;NOx;Gg;24.55784
GB;1980;S5;NOx;Gg;1.39305
GB;1980;S6;NOx;Gg;0
GB;1980;S7;NOx;Gg;847.56022
GB;1980;S8;NOx;Gg;297.74972
GB;1980;S9;NOx;Gg;13.09085
GB;1980;S10;NOx;Gg;15.31209
GB;1980;S11;NOx;Gg;0
BG;1980;SNAP NATIONAL;NOx;Gg;416.00001
BG;1980;S1;NOx;Gg;158.97376
BG;1980;S2;NOx;Gg;5.84342
BG;1980;S3;NOx;Gg;37.57921
BG;1980;S4;NOx;Gg;38.92298
BG;1980;S5;NOx;Gg;0
BG;1980;S6;NOx;Gg;0
BG;1980;S7;NOx;Gg;118.02271
BG;1980;S8;NOx;Gg;56.49142
BG;1980;S9;NOx;Gg;0.03147
BG;1980;S10;NOx;Gg;0.13504
BG;1980;S11;NOx;Gg;0
ES;1980;SNAP NATIONAL;NOx;Gg;1102.09468
ES;1980;S1;NOx;Gg;243.00006
ES;1980;S2;NOx;Gg;24.00264
ES;1980;S3;NOx;Gg;171.00956
ES;1980;S4;NOx;Gg;13.99999
ES;1980;S5;NOx;Gg;0
ES;1980;S6;NOx;Gg;0
ES;1980;S7;NOx;Gg;390.05802
ES;1980;S8;NOx;Gg;234.02429
ES;1980;S9;NOx;Gg;7.0001
ES;1980;S10;NOx;Gg;19.00002
ES;1980;S11;NOx;Gg;0
MED;1980;SNAP NATIONAL;NOx;Gg;1639.00025
MED;1980;S1;NOx;Gg;0
MED;1980;S2;NOx;Gg;0
MED;1980;S3;NOx;Gg;0
MED;1980;S4;NOx;Gg;0
MED;1980;S5;NOx;Gg;0
MED;1980;S6;NOx;Gg;0
MED;1980;S7;NOx;Gg;0
MED;1980;S8;NOx;Gg;1639.00025
MED;1980;S9;NOx;Gg;0
MED;1980;S10;NOx;Gg;0
MED;1980;S11;NOx;Gg;0
LV;1980;SNAP NATIONAL;NOx;Gg;83.00004
LV;1980;S1;NOx;Gg;17.57357
LV;1980;S2;NOx;Gg;2.07356
LV;1980;S3;NOx;Gg;6.81593
LV;1980;S4;NOx;Gg;0
LV;1980;S5;NOx;Gg;0
LV;1980;S6;NOx;Gg;0
LV;1980;S7;NOx;Gg;42.45575
LV;1980;S8;NOx;Gg;13.46986
LV;1980;S9;NOx;Gg;0.05473
LV;1980;S10;NOx;Gg;0.55664
LV;1980;S11;NOx;Gg;0
SI;1980;SNAP NATIONAL;NOx;Gg;51.21937
SI;1980;S1;NOx;Gg;18.4885
SI;1980;S2;NOx;Gg;3.63677
SI;1980;S3;NOx;Gg;6.64931
SI;1980;S4;NOx;Gg;0.01758
SI;1980;S5;NOx;Gg;0
SI;1980;S6;NOx;Gg;0
SI;1980;S7;NOx;Gg;16.4537
SI;1980;S8;NOx;Gg;5.85394
SI;1980;S9;NOx;Gg;0.02904
SI;1980;S10;NOx;Gg;0.09053
SI;1980;S11;NOx;Gg;0
BY;1980;SNAP NATIONAL;NOx;Gg;234.00007
BY;1980;S1;NOx;Gg;94.47907
BY;1980;S2;NOx;Gg;8.2062
BY;1980;S3;NOx;Gg;11.34804
BY;1980;S4;NOx;Gg;10.48794
BY;1980;S5;NOx;Gg;0
BY;1980;S6;NOx;Gg;0
BY;1980;S7;NOx;Gg;65.82149
