# WebDab output on Tue Sep  6 20:54:13 2022
# Datasource: EMEP/CEIP 2022, Officially reported emission data
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Emission category: SNAP
# Format: ISO2;YEAR;SECTOR;POLLUTANT;UNIT;NUMBER/FLAG
TR;2005p;S1;CO;Gg;37.1
TR;2005p;S2;CO;Gg;1980.25
TR;2005p;S3;CO;Gg;94.24
TR;2005p;S7;CO;Gg;6993.15
AT;1997;S1;CO;Gg;1.12
AT;1997;S2;CO;Gg;435.49
AT;1997;S3;CO;Gg;6.05
AT;1997;S4;CO;Gg;269.03
AT;1997;S5;CO;Gg;0
AT;1997;S6;CO;Gg;0
AT;1997;S7;CO;Gg;277.24
AT;1997;S8;CO;Gg;11.73
AT;1997;S9;CO;Gg;21.87
AT;1997;S10;CO;Gg;1.5
AT;1997;S11;CO;Gg;0.07
AT;1999;S1;CO;Gg;1.69
AT;1999;S2;CO;Gg;404.05
AT;1999;S3;CO;Gg;4.95
AT;1999;S4;CO;Gg;177.84
AT;1999;S5;CO;Gg;0
AT;1999;S6;CO;Gg;0
AT;1999;S7;CO;Gg;241.32
AT;1999;S8;CO;Gg;12.39
AT;1999;S9;CO;Gg;21.11
AT;1999;S10;CO;Gg;1.5
AT;1999;S11;CO;Gg;0.03
LU;1996;S1;CO;Gg;0.035
LU;1996;S2;CO;Gg;8.47
LU;1996;S3;CO;Gg;42.635
LU;1996;S4;CO;Gg;8.373
LU;1996;S5;CO;Gg;0
LU;1996;S6;CO;Gg;0
LU;1996;S7;CO;Gg;41.028
LU;1996;S8;CO;Gg;2.404
LU;1996;S9;CO;Gg;0.008
LU;1996;S10;CO;Gg;0
LU;1996;S11;CO;Gg;0
LI;1991;S3;CO;Gg;0.044
LI;1991;S7;CO;Gg;1.797
HR;1996;S1;CO;Gg;1.154
HR;1996;S2;CO;Gg;127.44
HR;1996;S3;CO;Gg;28.35
HR;1996;S4;CO;Gg;2.423
HR;1996;S7;CO;Gg;187.467
HR;1996;S8;CO;Gg;33.517
HR;1996;S9;CO;Gg;0.08596
SI;1990;S1;CO;Gg;1
SI;1990;S2;CO;Gg;9.1
SI;1990;S3;CO;Gg;1.2
SI;1990;S7;CO;Gg;67.6
SI;1990;S8;CO;Gg;1.7
FR;1997;S1;CO;Gg;18.9
