"ISO2","year","sector","emission_species","units","emissions"
"EU12","2019","A_PublicPower","PM2.5","Gg","0"
"EU12","2019","B_Industry","PM2.5","Gg","0"
"EU12","2019","C_OtherStatComb","PM2.5","Gg","0"
"EU12","2019","D_Fugitive","PM2.5","Gg","0"
"EU12","2019","E_Solvents","PM2.5","Gg","0"
"EU12","2019","F_RoadTransport","PM2.5","Gg","0"
"EU12","2019","G_Shipping","PM2.5","Gg","0"
"EU12","2019","H_Aviation","PM2.5","Gg","0"
"EU12","2019","I_Offroad","PM2.5","Gg","0"
"EU12","2019","J_Waste","PM2.5","Gg","0"
"EU12","2019","K_AgriLivestock","PM2.5","Gg","0"
"EU12","2019","L_AgriOther","PM2.5","Gg","0"
"EU12","2019","M_Other","PM2.5","Gg","0"
"EU12","2019","O_AviCruise","PM2.5","Gg","0"
"EU12","2019","P_IntShipping","PM2.5","Gg","0"
"EU12","2019","N_Natural","PM2.5","Gg","0"
"EU12","2019","z_Memo","PM2.5","Gg","0"
"MD","2010","A_PublicPower","PM2.5","Gg","0.14862283646"
"MD","2010","B_Industry","PM2.5","Gg","0.33336624"
"MD","2010","C_OtherStatComb","PM2.5","Gg","2.71686988308"
"MD","2010","D_Fugitive","PM2.5","Gg","4.73e-05"
"MD","2010","E_Solvents","PM2.5","Gg","0.2183406"
"MD","2010","F_RoadTransport","PM2.5","Gg","0.620651842070991"
"MD","2010","G_Shipping","PM2.5","Gg","0.000115033569462932"
"MD","2010","H_Aviation","PM2.5","Gg","0.001640735"
"MD","2010","I_Offroad","PM2.5","Gg","0.117674294460031"
"MD","2010","J_Waste","PM2.5","Gg","0.55308654887095"
"MD","2010","K_AgriLivestock","PM2.5","Gg","0.2173"
"MD","2010","L_AgriOther","PM2.5","Gg","0.137171064118"
"MD","2010","M_Other","PM2.5","Gg","0"
"MD","2010","O_AviCruise","PM2.5","Gg","0.000939545"
"MD","2010","P_IntShipping","PM2.5","Gg","0"
"MD","2010","N_Natural","PM2.5","Gg","0"
"MD","2010","z_Memo","PM2.5","Gg","0.517602835304298"
"CZ","2012","A_PublicPower","PM2.5","Gg","1.99032645"
"CZ","2012","B_Industry","PM2.5","Gg","2.90203899055689"
"CZ","2012","C_OtherStatComb","PM2.5","Gg","70.0588114110984"
"CZ","2012","D_Fugitive","PM2.5","Gg","0.42977995"
"CZ","2012","E_Solvents","PM2.5","Gg","0.785235114585"
"CZ","2012","F_RoadTransport","PM2.5","Gg","3.4832043154317"
"CZ","2012","G_Shipping","PM2.5","Gg","0.0118322580586"
"CZ","2012","H_Aviation","PM2.5","Gg","0.00447162717671269"
"CZ","2012","I_Offroad","PM2.5","Gg","1.30809641859909"
"CZ","2012","J_Waste","PM2.5","Gg","0.983676691734134"
"CZ","2012","K_AgriLivestock","PM2.5","Gg","0.406727242"
"CZ","2012","L_AgriOther","PM2.5","Gg","0.37776306670099"
"CZ","2012","M_Other","PM2.5","Gg","0"
"CZ","2012","O_AviCruise","PM2.5","Gg","0.04862"
"CZ","2012","P_IntShipping","PM2.5","Gg","0"
"CZ","2012","N_Natural","PM2.5","Gg","0"
"FI","1988","A_PublicPower","PM2.5","Gg","0"
"FI","1988","B_Industry","PM2.5","Gg","0"
"FI","1988","C_OtherStatComb","PM2.5","Gg","0"
"FI","1988","D_Fugitive","PM2.5","Gg","0"
"FI","1988","E_Solvents","PM2.5","Gg","0"
"FI","1988","F_RoadTransport","PM2.5","Gg","9.20906098812096"
"FI","1988","G_Shipping","PM2.5","Gg","0.587080820633002"
"FI","1988","H_Aviation","PM2.5","Gg","0.00397223788991046"
"FI","1988","I_Offroad","PM2.5","Gg","3.73384286997737"
"FI","1988","J_Waste","PM2.5","Gg","0"
"FI","1988","K_AgriLivestock","PM2.5","Gg","0.326705426748"
"FI","1988","L_AgriOther","PM2.5","Gg","0.2699360007"
"FI","1988","M_Other","PM2.5","Gg","0"
"FI","1988","O_AviCruise","PM2.5","Gg","0.0506244994087466"
"FI","1988","P_IntShipping","PM2.5","Gg","0.987086016"
"FI","1988","N_Natural","PM2.5","Gg","0"
"CY","2006","A_PublicPower","PM2.5","Gg","0.365970235918258"
"CY","2006","B_Industry","PM2.5","Gg","0.6719011886302"
"CY","2006","C_OtherStatComb","PM2.5","Gg","0.0432047361446424"
"CY","2006","D_Fugitive","PM2.5","Gg","0"
"CY","2006","E_Solvents","PM2.5","Gg","0.050784969375"
"CY","2006","F_RoadTransport","PM2.5","Gg","0.662602479798498"
"CY","2006","G_Shipping","PM2.5","Gg","0.00257063050884023"
"CY","2006","H_Aviation","PM2.5","Gg","0.00863382435026017"
"CY","2006","I_Offroad","PM2.5","Gg","0.0488800546511628"
"CY","2006","J_Waste","PM2.5","Gg","0.0326332734160975"
"CY","2006","K_AgriLivestock","PM2.5","Gg","0.071790713887582"
"CY","2006","L_AgriOther","PM2.5","Gg","0.0419136"
"CY","2006","M_Other","PM2.5","Gg","0"
"CY","2006","O_AviCruise","PM2.5","Gg","0.113920734324221"
"CY","2006","P_IntShipping","PM2.5","Gg","1.32973141441052"
"CY","2006","N_Natural","PM2.5","Gg","0"
"IS","2020","A_PublicPower","PM2.5","Gg","2.811104e-05"
"IS","2020","B_Industry","PM2.5","Gg","0.327178437003403"
"IS","2020","C_OtherStatComb","PM2.5","Gg","0.004374441005484"
"IS","2020","D_Fugitive","PM2.5","Gg","0"
"IS","2020","E_Solvents","PM2.5","Gg","0.0322010298"
"IS","2020","F_RoadTransport","PM2.5","Gg","0.264097586540304"
"IS","2020","G_Shipping","PM2.5","Gg","0.00838205793"
"IS","2020","H_Aviation","PM2.5","Gg","0.0013391878510951"
"IS","2020","I_Offroad","PM2.5","Gg","0.207784905296"
"IS","2020","J_Waste","PM2.5","Gg","0.00569580839516135"
"IS","2020","K_AgriLivestock","PM2.5","Gg","0.0334345779722851"
"IS","2020","L_AgriOther","PM2.5","Gg","0.00252050273030967"
"IS","2020","M_Other","PM2.5","Gg","0"
"IS","2020","O_AviCruise","PM2.5","Gg","0.0222382908744082"
"IS","2020","P_IntShipping","PM2.5","Gg","0.02597460952"
"IS","2020","N_Natural","PM2.5","Gg","0"
"DK","2000","A_PublicPower","PM2.5","Gg","0.693665751493098"
"DK","2000","B_Industry","PM2.5","Gg","1.48141875232474"
"DK","2000","C_OtherStatComb","PM2.5","Gg","10.0131083731477"
"DK","2000","D_Fugitive","PM2.5","Gg","0.0331765256865287"
"DK","2000","E_Solvents","PM2.5","Gg","0.3164513302"
"DK","2000","F_RoadTransport","PM2.5","Gg","3.60806300867555"
"DK","2000","G_Shipping","PM2.5","Gg","0.427173579032829"
"DK","2000","H_Aviation","PM2.5","Gg","0.0142559898395287"
"DK","2000","I_Offroad","PM2.5","Gg","2.58006378439615"
"DK","2000","J_Waste","PM2.5","Gg","0.384559366092"
"DK","2000","K_AgriLivestock","PM2.5","Gg","0.626028948033521"
"DK","2000","L_AgriOther","PM2.5","Gg","0.55588467"
"DK","2000","M_Other","PM2.5","Gg","0"
"DK","2000","O_AviCruise","PM2.5","Gg","0.114604476491308"
"DK","2000","P_IntShipping","PM2.5","Gg","6.92780081252058"
"DK","2000","N_Natural","PM2.5","Gg","0"
"HR","2021","A_PublicPower","PM2.5","Gg","1.5169868505488"
"HR","2021","B_Industry","PM2.5","Gg","1.98344892116648"
"HR","2021","C_OtherStatComb","PM2.5","Gg","23.1606846597337"
"HR","2021","D_Fugitive","PM2.5","Gg","0.118660902260244"
"HR","2021","E_Solvents","PM2.5","Gg","0.409562545614168"
"HR","2021","F_RoadTransport","PM2.5","Gg","1.2551903210103"
"HR","2021","G_Shipping","PM2.5","Gg","0.0551666486879419"
"HR","2021","H_Aviation","PM2.5","Gg","0.00242058646"
"HR","2021","I_Offroad","PM2.5","Gg","0.150312576778048"
"HR","2021","J_Waste","PM2.5","Gg","0.293690056743041"
"HR","2021","K_AgriLivestock","PM2.5","Gg","0.0947677565123288"
"HR","2021","L_AgriOther","PM2.5","Gg","0.0892799257088232"
"HR","2021","M_Other","PM2.5","Gg","0"
"HR","2021","O_AviCruise","PM2.5","Gg","0.01452582495"
"HR","2021","P_IntShipping","PM2.5","Gg","0.02688064896"
"HR","2021","N_Natural","PM2.5","Gg","0"
"IS","1999","A_PublicPower","PM2.5","Gg","0.0558724012556"
"IS","1999","B_Industry","PM2.5","Gg","0.487300042690804"
