# WebDab output on Thu Oct 19 18:27:18 2023
# Datasource: EMEP/CEIP 2023, Officially reported emission data
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Emission category: NFR14/NFR19
# Format: ISO2;YEAR;SECTOR;POLLUTANT;UNIT;NUMBER/FLAG
ME;2001;NATIONAL TOTAL;NH3;Gg;5.6915458449293
PT;2001;NATIONAL TOTAL;NH3;Gg;70.3673147274827
SI;2001;NATIONAL TOTAL;NH3;Gg;22.2085733427959
SK;2008;NATIONAL TOTAL;NH3;Gg;28.6936618424388
RO;2007;NATIONAL TOTAL;NH3;Gg;194.387311272085
SE;2008;NATIONAL TOTAL;NH3;Gg;56.5961856492646
HR;2009;NATIONAL TOTAL;NH3;Gg;33.7302865567326
HU;1994;NATIONAL TOTAL;NH3;Gg;80.753662165025
LU;2012;NATIONAL TOTAL;NH3;Gg;5.93194831731151
EU27;1992;NATIONAL TOTAL;NH3;Gg;4434.98802569951
KZ;1992;NATIONAL TOTAL;NH3;Gg;272.294365363946
EE;2012;NATIONAL TOTAL;NH3;Gg;10.7558995
RO;2002;NATIONAL TOTAL;NH3;Gg;176.03832776613
KZ;2018;NATIONAL TOTAL;NH3;Gg;400.110170504543
IE;1992;NATIONAL TOTAL;NH3;Gg;115.530849520119
DE;1997;NATIONAL TOTAL;NH3;Gg;622.120736856438
PL;2015;NATIONAL TOTAL;NH3;Gg;289.392444304302
BG;2002;NATIONAL TOTAL;NH3;Gg;41.6378675530279
SI;2003;NATIONAL TOTAL;NH3;Gg;21.5132623138005
ME;1992;NATIONAL TOTAL;NH3;Gg;6.04019987152015
KZ;2009;NATIONAL TOTAL;NH3;Gg;258.727114908842
SE;1994;NATIONAL TOTAL;NH3;Gg;61.6994837566612
NL;2016;NATIONAL TOTAL;NH3;Gg;129.973529543
FI;1986;NATIONAL TOTAL;NH3;Gg;37.3752059956264
DK;1995;NATIONAL TOTAL;NH3;Gg;117.357931230446
CZ;2011;NATIONAL TOTAL;NH3;Gg;66.2749502615623
MC;2016;NATIONAL TOTAL;NH3;Gg;0.00182226275852678
IT;2012;NATIONAL TOTAL;NH3;Gg;387.484338605867
RO;2016;NATIONAL TOTAL;NH3;Gg;165.81743573539
PT;2002;NATIONAL TOTAL;NH3;Gg;68.2738335478287
AZ;1991;NATIONAL TOTAL;NH3;Gg;49.566932
BY;2016;NATIONAL TOTAL;NH3;Gg;136.063
NL;2009;NATIONAL TOTAL;NH3;Gg;136.527998745
EU09;1991;NATIONAL TOTAL;NH3;Gg;2861.54259429219
EU09;2000;NATIONAL TOTAL;NH3;Gg;2564.92289500476
KZ;2001;NATIONAL TOTAL;NH3;Gg;187.221981143573
PT;2018;NATIONAL TOTAL;NH3;Gg;59.0994032518055
GB;2001;NATIONAL TOTAL;NH3;Gg;292.910371309953
HR;2014;NATIONAL TOTAL;NH3;Gg;27.9226919526072
LI;2015;NATIONAL TOTAL;NH3;Gg;0.107762755475855
SE;2002;NATIONAL TOTAL;NH3;Gg;58.60373035777
CH;2010;NATIONAL TOTAL;NH3;Gg;58.0357060285685
DE;2003;NATIONAL TOTAL;NH3;Gg;621.878086393515
MC;2011;NATIONAL TOTAL;NH3;Gg;0.00244408058247985
MD;2013;NATIONAL TOTAL;NH3;Gg;17.0955000787468
FR;2005;NATIONAL TOTAL;NH3;Gg;626.559054236081
EU27;2010;NATIONAL TOTAL;NH3;Gg;3566.0633991998
HR;2002;NATIONAL TOTAL;NH3;Gg;40.4198884058157
PL;2019;NATIONAL TOTAL;NH3;Gg;302.034218831845
IT;2009;NATIONAL TOTAL;NH3;Gg;392.088642672511
DK;1994;NATIONAL TOTAL;NH3;Gg;124.640216562483
AL;1993;NATIONAL TOTAL;NH3;Gg;24.3438949404192
AL;2011;NATIONAL TOTAL;NH3;Gg;24.343267298417
EE;1992;NATIONAL TOTAL;NH3;Gg;16.308699
BG;2014;NATIONAL TOTAL;NH3;Gg;40.2153354175375
SK;2001;NATIONAL TOTAL;NH3;Gg;34.4039995819371
PL;2002;NATIONAL TOTAL;NH3;Gg;330.016070996977
BG;2012;NATIONAL TOTAL;NH3;Gg;37.9079302137787
CA;1993;NATIONAL TOTAL;NH3;Gg;408.382916107659
UA;2018;NATIONAL TOTAL;NH3;Gg;234.7055
AZ;2012;NATIONAL TOTAL;NH3;Gg;71.24802031
SK;2007;NATIONAL TOTAL;NH3;Gg;30.3503952549835
EU15;1992;NATIONAL TOTAL;NH3;Gg;3174.29428128344
SI;2014;NATIONAL TOTAL;NH3;Gg;18.638281016897
NL;1993;NATIONAL TOTAL;NH3;Gg;294.330467676
AZ;1998;NATIONAL TOTAL;NH3;Gg;43.4583712
BY;2015;NATIONAL TOTAL;NH3;Gg;142.641
ME;2020;NATIONAL TOTAL;NH3;Gg;3.33665753113119
EU28;1997;NATIONAL TOTAL;NH3;Gg;4113.82117387189
DE;2005;NATIONAL TOTAL;NH3;Gg;611.944144629938
EU09;2008;NATIONAL TOTAL;NH3;Gg;2340.19517095193
IT;2018;NATIONAL TOTAL;NH3;Gg;350.873802888019
GR;1990;NATIONAL TOTAL;NH3;Gg;90.8898555841038
IS;2007;NATIONAL TOTAL;NH3;Gg;4.62144995175329
ES;1994;NATIONAL TOTAL;NH3;Gg;493.677534083817
CH;2002;NATIONAL TOTAL;NH3;Gg;61.2742420282786
FR;1988;NATIONAL TOTAL;NH3;Gg;667.53702141548
SK;2016;NATIONAL TOTAL;NH3;Gg;29.0732564512749
FI;2007;NATIONAL TOTAL;NH3;Gg;38.6920236851234
EU27;1993;NATIONAL TOTAL;NH3;Gg;4279.33461775133
HR;2006;NATIONAL TOTAL;NH3;Gg;39.9024513194958
BG;1990;NATIONAL TOTAL;NH3;Gg;113.227608261556
HU;1996;NATIONAL TOTAL;NH3;Gg;80.4030356121449
IT;2007;NATIONAL TOTAL;NH3;Gg;417.927829641888
EU09;2011;NATIONAL TOTAL;NH3;Gg;2309.11713141151
EU11;1998;NATIONAL TOTAL;NH3;Gg;3038.62384817206
CZ;2020;NATIONAL TOTAL;NH3;Gg;67.1286784174139
BY;2019;NATIONAL TOTAL;NH3;Gg;133.9195
DE;2019;NATIONAL TOTAL;NH3;Gg;570.448507379969
NO;1995;NATIONAL TOTAL;NH3;Gg;29.7155250554
BE;2004;NATIONAL TOTAL;NH3;Gg;81.3292175225624
IT;1999;NATIONAL TOTAL;NH3;Gg;464.726165019756
ES;2013;NATIONAL TOTAL;NH3;Gg;447.317598899123
CY;2008;NATIONAL TOTAL;NH3;Gg;8.90058799122223
EU09;1998;NATIONAL TOTAL;NH3;Gg;2649.41907500838
MD;2002;NATIONAL TOTAL;NH3;Gg;25.0900820413821
CY;2009;NATIONAL TOTAL;NH3;Gg;8.69172580188827
TR;2014;NATIONAL TOTAL;NH3;Gg;731.197251902276
PT;1998;NATIONAL TOTAL;NH3;Gg;68.1028812632277
LU;2005;NATIONAL TOTAL;NH3;Gg;6.15454552534085
SE;2001;NATIONAL TOTAL;NH3;Gg;59.1089892680689
FR;2003;NATIONAL TOTAL;NH3;Gg;632.870461530619
KZ;2020;NATIONAL TOTAL;NH3;Gg;413.361639855109
LU;2014;NATIONAL TOTAL;NH3;Gg;6.11073392660743
AZ;1999;NATIONAL TOTAL;NH3;Gg;46.5455178
BG;2004;NATIONAL TOTAL;NH3;Gg;44.3310414361069
EU12;1992;NATIONAL TOTAL;NH3;Gg;NR
LI;1994;NATIONAL TOTAL;NH3;Gg;0.0982607495304861
IE;2021;NATIONAL TOTAL;NH3;Gg;124.668620915237
AT;2018;NATIONAL TOTAL;NH3;Gg;66.8358153378218
US;2017;NATIONAL TOTAL;NH3;Gg;3076
MD;2014;NATIONAL TOTAL;NH3;Gg;19.0611932420098
GE;2007;NATIONAL TOTAL;NH3;Gg;33.2172377303855
DK;1980;NATIONAL TOTAL;NH3;Gg;0
CZ;2013;NATIONAL TOTAL;NH3;Gg;69.6073333094641
GE;2020;NATIONAL TOTAL;NH3;Gg;34.1383941562823
RU;2014;NATIONAL TOTAL;NH3;Gg;825.11664887492
MT;2003;NATIONAL TOTAL;NH3;Gg;1.84682988502712
DK;1996;NATIONAL TOTAL;NH3;Gg;112.698671970293
HU;1991;NATIONAL TOTAL;NH3;Gg;112.21932338995
ES;2015;NATIONAL TOTAL;NH3;Gg;470.503061204048
MT;2019;NATIONAL TOTAL;NH3;Gg;1.34883177297308
MK;2019;NATIONAL TOTAL;NH3;Gg;8.57615721595696
EU28;2014;NATIONAL TOTAL;NH3;Gg;3594.52418686092
LV;1995;NATIONAL TOTAL;NH3;Gg;15.929128935277
LT;2013;NATIONAL TOTAL;NH3;Gg;36.5827533218362
FI;1993;NATIONAL TOTAL;NH3;Gg;33.6420186489222
IS;1991;NATIONAL TOTAL;NH3;Gg;4.6928571543975
EU09;2010;NATIONAL TOTAL;NH3;Gg;2293.92523712738
SI;1984;NATIONAL TOTAL;NH3;Gg;0
SE;1993;NATIONAL TOTAL;NH3;Gg;60.6540069081979
SK;1996;NATIONAL TOTAL;NH3;Gg;38.4385339445399
HR;1991;NATIONAL TOTAL;NH3;Gg;50.4717166303299
IE;2009;NATIONAL TOTAL;NH3;Gg;117.20530910659
DE;2008;NATIONAL TOTAL;NH3;Gg;618.003797402541
PL;2013;NATIONAL TOTAL;NH3;Gg;294.792394077454
CZ;2009;NATIONAL TOTAL;NH3;Gg;67.5828183591829
AT;1991;NATIONAL TOTAL;NH3;Gg;70.1109950931243
MC;2015;NATIONAL TOTAL;NH3;Gg;0.00190532079136336
CH;1998;NATIONAL TOTAL;NH3;Gg;62.0622068330565
FR;2008;NATIONAL TOTAL;NH3;Gg;626.256383904551
EU09;2001;NATIONAL TOTAL;NH3;Gg;2545.13368409611
EU11;2000;NATIONAL TOTAL;NH3;Gg;2981.85400936301
GE;2002;NATIONAL TOTAL;NH3;Gg;44.3575743971233
EU15;2005;NATIONAL TOTAL;NH3;Gg;2870.74646848173
DE;2000;NATIONAL TOTAL;NH3;Gg;632.989980649008
