"Source","Sector","SubSector","2011","2012","2013","2014","2015","2016","2017"
"Ore and Mineral Industries","","","85841.27","89047.53","82653.73000000001","82269.64999999998","81645.78","77566.04000000001","86276.12"
"Ore and Mineral Industries","Aluminium Industry","","1092.63","1351.48","1305.21","1085.85","1142.24","1226.8899999999999","1232.8"
"Ore and Mineral Industries","Aluminium Industry","Alumina (Bauxite Refining)","452.3","451","452","264.7","311","310","304"
"Ore and Mineral Industries","Aluminium Industry","Primary Aluminium Smelting and Refining","640.33","900.48","853.21","821.15","831.24","916.89","928.8"
"Ore and Mineral Industries","Aluminium Industry","Secondary Aluminium Production (Includes Recycling)","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Asphalt Paving Industry","","1484.05","1080.26","1041.67","1179.08","930.32","887.42","964.4"
"Ore and Mineral Industries","Asphalt Paving Industry","Asphalt Paving Industry","1484.05","1080.26","1041.67","1179.08","930.32","887.42","964.4"
"Ore and Mineral Industries","Cement and Concrete Industry","","32371.489999999998","35522.61","32223.72","31284.25","35035.9","32124.670000000002","33919.27"
"Ore and Mineral Industries","Cement and Concrete Industry","Cement Manufacturing","26777.91","30551.1","27915.69","26915.77","30786.16","27607.08","29316.13"
"Ore and Mineral Industries","Cement and Concrete Industry","Concrete Batching and Products","81.94","66.97","11.97","21.86","27.26","176.84","50.16"
"Ore and Mineral Industries","Cement and Concrete Industry","Gypsum Product Manufacturing","179.24","209.59","206.88","223.16","176.13","174.79","213.53"
"Ore and Mineral Industries","Cement and Concrete Industry","Lime Manufacturing","5332.4","4694.95","4089.18","4123.46","4046.35","4165.96","4339.45"
"Ore and Mineral Industries","Foundries","","88.4","90.17999999999999","86.08","96.12","108.04","96.44","93.2"
"Ore and Mineral Industries","Foundries","Die Casting","0.65","0.52","0.01","0","0.43","0.4","0.34"
"Ore and Mineral Industries","Foundries","Ferrous Foundries","87.75","89.66","86.07","96.12","86.2","84.74","92.86"
"Ore and Mineral Industries","Foundries","Non-ferrous Foundries","0","0","0","0","21.41","11.3","0"
"Ore and Mineral Industries","Iron and Steel Industry","","11409.03","12115.800000000001","11180.3","11682.650000000001","11041.55","10795.57","10738.41"
"Ore and Mineral Industries","Iron and Steel Industry","Primary (Blast furnace and DRI)","10115.12","10774.77","9687.08","10066.45","8833.67","8701.31","8393.6"
"Ore and Mineral Industries","Iron and Steel Industry","Secondary (Electric Arc Furnaces)","1293.91","1341.03","1493.22","1616.2","2207.88","2094.26","2344.81"
"Ore and Mineral Industries","Iron and Steel Industry","Steel Recycling","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Iron Ore Pelletizing","","12570.14","12086.57","11400.69","10400.31","10714.21","10167.37","10226.95"
"Ore and Mineral Industries","Iron Ore Pelletizing","Iron Ore Pelletizing","12570.14","12086.57","11400.69","10400.31","10714.21","10167.37","10226.95"
"Ore and Mineral Industries","Mineral Products Industry","","177.95","259.85","300.83","310.15","293.73","297.17","287.72"
"Ore and Mineral Industries","Mineral Products Industry","Brick Products","90.68","113.2","105.48","91.05","100.22","117.4","108.41"
"Ore and Mineral Industries","Mineral Products Industry","Clay Products","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Mineral Products Industry","Other (Mineral Products Industry)","87.27","146.65","195.35","219.1","193.51","179.77","179.31"
"Ore and Mineral Industries","Mining and Rock Quarrying","","25083.289999999997","25068.850000000002","23521.01","24617.8","20747.71","20035.64","26995.820000000003"
"Ore and Mineral Industries","Mining and Rock Quarrying","Coal Mining Industry","4068.21","3661","2602.39","2290.8","643.95","725.43","3878.86"
"Ore and Mineral Industries","Mining and Rock Quarrying","Iron Ore Mining","677.71","757.63","1486.02","1569.56","1179.85","1314.06","1656.56"
"Ore and Mineral Industries","Mining and Rock Quarrying","Limestone","257.41","85.81","22.93","216.79","194.54","171.14","195.05"
"Ore and Mineral Industries","Mining and Rock Quarrying","Metal Mining","9840.56","10627.88","9595.26","10407.96","8264.85","8024.81","11713.25"
"Ore and Mineral Industries","Mining and Rock Quarrying","Potash","1924.53","2104.01","1901.82","2226.76","2170.39","2198.97","2223.65"
"Ore and Mineral Industries","Mining and Rock Quarrying","Rock, Sand and Gravel","717.09","692.88","625.89","659.47","957.42","828.55","776.95"
"Ore and Mineral Industries","Mining and Rock Quarrying","Silica Production","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Mining and Rock Quarrying","Other (Mining and Rock Quarrying)","7597.78","7139.64","7286.7","7246.46","7336.71","6772.68","6551.5"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","","1564.29","1471.9299999999998","1594.22","1613.44","1632.08","1934.8700000000001","1817.55"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Primary Ni, Cu, Zn, Pb","1451.49","1359.83","1479.82","1505.34","1519.58","1831.69","1715.91"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Secondary Pb, Cu","0","0","0","23.4","26.8","28.48","21.54"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Other (Non-Ferrous Refining and Smelting Industry)","112.8","112.1","114.4","84.7","85.7","74.7","80.1"
