"Source","Sector","SubSector","2000","2001","2002","2003","2004","2005","2006"
"Ore and Mineral Industries","","","99297.41679399999","89884.28969700001","92339.50761400002","101973.76681900001","105620.091178","107756.61722900001","87321.20500999999"
"Ore and Mineral Industries","Aluminium Industry","","1350.207368","1550.060928","1448.663519","1936.271172","1991.741593","2024.9459","1610.263"
"Ore and Mineral Industries","Aluminium Industry","Alumina (Bauxite Refining)","631.4876","775.7438","920","1010","1163","1252.498","916"
"Ore and Mineral Industries","Aluminium Industry","Primary Aluminium Smelting and Refining","699.019768","754.617128","508.963519","907.765172","798.448593","742.1549","694.263"
"Ore and Mineral Industries","Aluminium Industry","Secondary Aluminium Production (Includes Recycling)","19.7","19.7","19.7","18.506","30.293","30.293","0"
"Ore and Mineral Industries","Asphalt Paving Industry","","1135.080726","1183.212476","1188.394399","1158.165902","1213.081214","1182.48562","1196.226735"
"Ore and Mineral Industries","Asphalt Paving Industry","Asphalt Paving Industry","1135.080726","1183.212476","1188.394399","1158.165902","1213.081214","1182.48562","1196.226735"
"Ore and Mineral Industries","Cement and Concrete Industry","","45045.659278","43066.294115","47419.55555299999","48911.396768000006","52634.329935","54442.4091","40650.420999999995"
"Ore and Mineral Industries","Cement and Concrete Industry","Cement Manufacturing","41265.952414","39878.78072","43690.010114","45047.566474","48296.448081","50227.7846","34184.487"
"Ore and Mineral Industries","Cement and Concrete Industry","Concrete Batching and Products","374.805313","56.365325","55.684846","68.112148","55.869466","76.4365","2.74"
"Ore and Mineral Industries","Cement and Concrete Industry","Gypsum Product Manufacturing","231.52104","274.680874","333.319093","349.878146","347.521388","370.327","388.509"
"Ore and Mineral Industries","Cement and Concrete Industry","Lime Manufacturing","3173.380511","2856.467196","3340.5415","3445.84","3934.491","3767.861","6074.685"
"Ore and Mineral Industries","Foundries","","657.698374","586.580246","551.184677","564.617914","490.3236","507.68298400000003","58.693627000000006"
"Ore and Mineral Industries","Foundries","Die Casting","48.298772","34.204335","25.589899","23.9801","0.86","16.285","15.042"
"Ore and Mineral Industries","Foundries","Ferrous Foundries","526.399202","496.610472","470.150992","485.036622","452.382708","454.314092","43.399627"
"Ore and Mineral Industries","Foundries","Non-ferrous Foundries","83.0004","55.765439","55.443786","55.601192","37.080892","37.083892","0.252"
"Ore and Mineral Industries","Iron and Steel Industry","","16078.404923","14235.753237","14318.364924000001","14092.867502","14076.046851000001","13386.086137","13142.542599999999"
"Ore and Mineral Industries","Iron and Steel Industry","Primary (Blast furnace and DRI)","12204.550441","11988.103424","12593.089207","12039.090341","11834.337541","11372.788541","11306.2316"
"Ore and Mineral Industries","Iron and Steel Industry","Secondary (Electric Arc Furnaces)","3860.001445","2208.347781","1660.415593","2050.69743","2187.858476","1946.441675","1768.726"
"Ore and Mineral Industries","Iron and Steel Industry","Steel Recycling","13.853037","39.302032","64.860124","3.079731","53.850834","66.855921","67.585"
"Ore and Mineral Industries","Iron Ore Pelletizing","","5056.5757","5809.56785","6562.56","9363.947","7629.26","9453.815","12734.32"
