Data.Type,Emission,Region,Sector,Start.Year,End.Year,Source.Comment
SO2 Control,SO2,China,1A1a_Electricity-public,1990,2010,"Liu etal 2015, ACP, 15, 13299_13317 adjusted to better match MEIC"
SO2 Control,SO2,China,1A1a_Heat-production,1990,2010, Heat treated same as elec since much of China's coal electric generation is now classified as CHP
