iso,sector,fuel,units,X1990,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021,X2022
all,1A3dii_Domestic-navigation,diesel_oil,fraction,0.005,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0014,0.0013,0.0012,0.0008,0.0008,0.0008,0.0007,0.0007,0.0007,0.0007,0.0007
all,1A3di_International-shipping,diesel_oil,fraction,0.005,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0014,0.0013,0.0012,0.0008,0.0008,0.0008,0.0007,0.0007,0.0007,0.0007,0.0007
all,1A3dii_Domestic-navigation,heavy_oil,fraction,0.0299,0.0299,0.0299,0.0288,0.0299,0.0299,0.0299,0.0287,0.0268,0.0262,0.0260,0.0261,0.0265,0.0251,0.0243,0.0246,0.0245,0.0258,0.0260,0.0259,0.0259,0.0088,0.0098,0.0105
all,1A3di_International-shipping,heavy_oil,fraction,0.0299,0.0299,0.0299,0.0288,0.0299,0.0299,0.0299,0.0287,0.0268,0.0262,0.0260,0.0261,0.0265,0.0251,0.0243,0.0246,0.0245,0.0258,0.0260,0.0259,0.0259,0.0088,0.0098,0.0105
