iso,sector,fuel,units,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019
usa,1A3c_Rail,diesel_oil,kt/kt,0.084645229,0.083442795,0.082240362,0.081037928,0.079835494,0.078633061,0.077430627,0.074642375,0.071854122,0.069065869,0.065747596,0.062429323,0.059111049,0.055066896,0.051022744,0.046978591,0.042934438,0.038890286
can,1A3c_Rail,diesel_oil,kt/kt,0.084645229,0.083442795,0.082240362,0.081037928,0.079835494,0.078633061,0.077430627,0.074642375,0.071854122,0.069065869,0.065747596,0.062429323,0.059111049,0.055066896,0.051022744,0.046978591,0.042934438,0.038890286
