Data.Type,Emission,Region,Sector,Start.Year,End.Year,Source.Comment
Emission Factor,BC,are,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,bhr,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,isr,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,jor,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,kwt,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,omn,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,qat,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,sau,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,cuw,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,sxm,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,abw,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,atg,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,bhs,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,bmu,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,brb,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,cym,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,kna,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,tca,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,tto,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,vgb,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,vir,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,brn,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
Emission Factor,BC,sgp,1A3b_Road,1965,2021,US emission factors from FIVE lagged by 10 years
