iso,sector,fuel,X2014,X2015,X2016,X2017
chn,1A1a_Electricity-autoproducer,hard_coal,0.00,0.05,0.20,0.25
chn,1A2a_Ind-Comb-Iron-steel,hard_coal,0.00,0.05,0.20,0.25
chn,1A2b_Ind-Comb-Non-ferrous-metals,hard_coal,0.00,0.05,0.20,0.25
chn,1A2c_Ind-Comb-Chemicals,hard_coal,0.00,0.05,0.20,0.25
chn,1A2d_Ind-Comb-Pulp-paper,hard_coal,0.00,0.05,0.20,0.25
chn,1A2e_Ind-Comb-Food-tobacco,hard_coal,0.00,0.05,0.20,0.25
chn,1A2f_Ind-Comb-Non-metalic-minerals,hard_coal,0.00,0.05,0.20,0.25
chn,1A2g_Ind-Comb-Construction,hard_coal,0.00,0.05,0.20,0.25
chn,1A2g_Ind-Comb-machinery,hard_coal,0.00,0.05,0.20,0.25
chn,1A2g_Ind-Comb-mining-quarying,hard_coal,0.00,0.05,0.20,0.25
chn,1A2g_Ind-Comb-other,hard_coal,0.00,0.05,0.20,0.25
chn,1A2g_Ind-Comb-textile-leather,hard_coal,0.00,0.05,0.20,0.25
chn,1A2g_Ind-Comb-transpequip,hard_coal,0.00,0.05,0.20,0.25
chn,1A2g_Ind-Comb-wood-products,hard_coal,0.00,0.05,0.20,0.25
chn,1A4c_Agriculture-forestry-fishing,hard_coal,0.00,0.05,0.20,0.25
chn,1A5_Other-unspecified,hard_coal,0.00,0.05,0.20,0.25
chn,1A1a_Electricity-autoproducer,diesel_oil,0.00,0.05,0.20,0.25
chn,1A2a_Ind-Comb-Iron-steel,diesel_oil,0.00,0.05,0.20,0.25
chn,1A2b_Ind-Comb-Non-ferrous-metals,diesel_oil,0.00,0.05,0.20,0.25
chn,1A2c_Ind-Comb-Chemicals,diesel_oil,0.00,0.05,0.20,0.25
chn,1A2d_Ind-Comb-Pulp-paper,diesel_oil,0.00,0.05,0.20,0.25
chn,1A2e_Ind-Comb-Food-tobacco,diesel_oil,0.00,0.05,0.20,0.25
chn,1A2f_Ind-Comb-Non-metalic-minerals,diesel_oil,0.00,0.05,0.20,0.25
chn,1A2g_Ind-Comb-Construction,diesel_oil,0.00,0.05,0.20,0.25
chn,1A2g_Ind-Comb-machinery,diesel_oil,0.00,0.05,0.20,0.25
chn,1A2g_Ind-Comb-mining-quarying,diesel_oil,0.00,0.05,0.20,0.25
chn,1A2g_Ind-Comb-other,diesel_oil,0.00,0.05,0.20,0.25
chn,1A2g_Ind-Comb-textile-leather,diesel_oil,0.00,0.05,0.20,0.25
chn,1A2g_Ind-Comb-transpequip,diesel_oil,0.00,0.05,0.20,0.25
chn,1A2g_Ind-Comb-wood-products,diesel_oil,0.00,0.05,0.20,0.25
chn,1A4c_Agriculture-forestry-fishing,diesel_oil,0.00,0.05,0.20,0.25
chn,1A5_Other-unspecified,diesel_oil,0.00,0.05,0.20,0.25
