Data.Type,Emission,Region,Sector,Start.Year,End.Year,Source.Comment
Sulfur Content,SO2,FSU-arm,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-aze,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-blr,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-est,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-geo,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-kaz,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-kgz,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-ltu,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-lva,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-mda,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-rus,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-tjk,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-tkm,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-ukr,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-uzb,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-arm,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-aze,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-blr,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-est,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-geo,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-kaz,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-kgz,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-ltu,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-lva,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-mda,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-rus,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-tjk,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-tkm,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-ukr,all,1985,1990,Ryaboshapko etal
Sulfur Content,SO2,FSU-uzb,all,1985,1990,Ryaboshapko etal
