iso,sector,fuel,units,X1960,X1970,X1980,X1990,X2000,X2005,X2010,Notes
khm,all,heavy_oil,fraction,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
chn,all,heavy_oil,fraction,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,
hkg,all,heavy_oil,fraction,0.005,0.005,0.005,0.005,0.005,0.005,0.005,
idn,all,heavy_oil,fraction,0.023,0.023,0.023,0.023,0.023,0.023,0.023,
mys,all,heavy_oil,fraction,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
mng,all,heavy_oil,fraction,0.015,0.015,0.015,0.015,0.015,0.015,0.015,
mmr,all,heavy_oil,fraction,0.005,0.005,0.005,0.005,0.005,0.005,0.005,
sgp,all,heavy_oil,fraction,0.016,0.016,0.016,0.016,0.005,0.003,0.0015,Adjusted to better match REAS inventory
vnm,all,heavy_oil,fraction,0.022,0.022,0.022,0.022,0.022,0.022,0.022,
phl,all,heavy_oil,fraction,0.035,0.035,0.035,0.035,0.035,0.0175,0.015,Adjusted to better match REAS inventory
thi,all,heavy_oil,fraction,0.03,0.03,0.03,0.03,0.02,0.015,0.01,Adjusted to better match REAS inventory
