iso,sector,fuel,units,X1960,X1970,X1980,X1990,X1996,X2002,X2005
usa,all,heavy_oil,fraction,0.016,0.016,0.01,0.01,0.01,0.01,0.01
can,all,heavy_oil,fraction,0.02,0.02,0.02,0.0185,0.018,0.012,0.012
