iso,sector,fuel,units,1960,1970,1980,1990,2005,Notes
aut,1A1a_Electricity-autoproducer,heavy_oil,fraction,0.033,0.028,0.025,0.015,0.015,
aut,1A1a_Electricity-public,heavy_oil,fraction,0.033,0.028,0.025,0.015,0.015,
aut,1A1a_Heat-production,heavy_oil,fraction,0.033,0.028,0.025,0.015,0.015,
aut,1A2g_Ind-Comb-other,heavy_oil,fraction,0.033,0.028,0.025,0.011,0.011,
aut,1A3di_International-shipping,heavy_oil,fraction,0.033,0.028,0.027,0.027,0.027,
aut,1A3eii_Other-transp,heavy_oil,fraction,0.035,0.035,0.035,0.035,0.035,
bel,1A1a_Electricity-autoproducer,heavy_oil,fraction,0.035,0.035,0.035,0.035,0.035,
bel,1A1a_Electricity-public,heavy_oil,fraction,0.035,0.035,0.035,0.035,0.035,
bel,1A1a_Heat-production,heavy_oil,fraction,0.035,0.035,0.035,0.035,0.035,
bel,1A2g_Ind-Comb-other,heavy_oil,fraction,0.035,0.035,0.035,0.035,0.035,
bel,1A3di_International-shipping,heavy_oil,fraction,0.033,0.028,0.025,0.025,0.025,
bel,1A3eii_Other-transp,heavy_oil,fraction,0.033,0.028,0.025,0.025,0.025,
bgr,1A1a_Electricity-autoproducer,heavy_oil,fraction,0.033,0.028,0.026,0.026,0.026,
bgr,1A1a_Electricity-public,heavy_oil,fraction,0.033,0.028,0.026,0.026,0.026,
bgr,1A1a_Heat-production,heavy_oil,fraction,0.033,0.028,0.026,0.026,0.026,
bgr,1A2g_Ind-Comb-other,heavy_oil,fraction,0.033,0.028,0.026,0.026,0.026,
bgr,1A3di_International-shipping,heavy_oil,fraction,0.033,0.028,0.026,0.026,0.026,
bgr,1A3eii_Other-transp,heavy_oil,fraction,0.033,0.028,0.026,0.026,0.026,
cyp,1A1a_Electricity-autoproducer,heavy_oil,fraction,0.033,0.028,0.025,0.02,0.02,
cyp,1A1a_Electricity-public,heavy_oil,fraction,0.033,0.028,0.025,0.02,0.02,
cyp,1A1a_Heat-production,heavy_oil,fraction,0.033,0.028,0.025,0.02,0.02,
cyp,1A2g_Ind-Comb-other,heavy_oil,fraction,0.033,0.028,0.025,0.02,0.02,
cyp,1A3di_International-shipping,heavy_oil,fraction,0.033,0.028,0.025,0.02,0.02,
cyp,1A3eii_Other-transp,heavy_oil,fraction,0.033,0.028,0.025,0.02,0.02,
cze,1A1a_Electricity-autoproducer,heavy_oil,fraction,0.033,0.028,0.026,0.026,0.026,
cze,1A1a_Electricity-public,heavy_oil,fraction,0.033,0.028,0.026,0.026,0.026,
cze,1A1a_Heat-production,heavy_oil,fraction,0.033,0.028,0.026,0.026,0.026,
cze,1A2g_Ind-Comb-other,heavy_oil,fraction,0.033,0.028,0.025,0.0224,0.0224,
cze,1A3di_International-shipping,heavy_oil,fraction,0.033,0.028,0.026,0.026,0.026,
cze,1A3eii_Other-transp,heavy_oil,fraction,0.033,0.028,0.026,0.026,0.026,
deu,1A1a_Electricity-autoproducer,heavy_oil,fraction,0.033,0.028,0.025,0.0181,0.0181,
