iso,sector,fuel,X1985,X1990,units
arm,all,hard_coal,0.2919,0.2845,fraction
aze,all,hard_coal,0.2919,0.2845,fraction
blr,all,hard_coal,0.2919,0.2845,fraction
est,all,hard_coal,0.2919,0.2845,fraction
geo,all,hard_coal,0.2919,0.2845,fraction
kaz,all,hard_coal,0.4365,0.4364,fraction
kgz,all,hard_coal,0.2652,0.2794,fraction
ltu,all,hard_coal,0.2919,0.2845,fraction
lva,all,hard_coal,0.2919,0.2845,fraction
mda,all,hard_coal,0.2919,0.2845,fraction
rus,all,hard_coal,0.2668,0.2728,fraction
tjk,all,hard_coal,0.2919,0.2845,fraction
tkm,all,hard_coal,0.2919,0.2845,fraction
ukr,all,hard_coal,0.2674,0.2538,fraction
uzb,all,hard_coal,0.2491,0.2945,fraction
arm,all,brown_coal,0.3261,0.3031,fraction
aze,all,brown_coal,0.3261,0.3031,fraction
blr,all,brown_coal,0.3261,0.3031,fraction
est,all,brown_coal,0.3261,0.3031,fraction
geo,all,brown_coal,0.3261,0.3031,fraction
kaz,all,brown_coal,0.3158,0.2132,fraction
kgz,all,brown_coal,0.2566,0.2549,fraction
ltu,all,brown_coal,0.3261,0.3031,fraction
lva,all,brown_coal,0.3261,0.3031,fraction
mda,all,brown_coal,0.3261,0.3031,fraction
rus,all,brown_coal,0.3524,0.3319,fraction
tjk,all,brown_coal,0.3261,0.3031,fraction
tkm,all,brown_coal,0.3261,0.3031,fraction
ukr,all,brown_coal,0.2715,0.2638,fraction
uzb,all,brown_coal,0.2533,0.2526,fraction
