Source,Data.Type,Emission,Region,Sector,Start.Year,End.Year,Source.Comment
US EPA,Emission Factor,NMVOC,usa,1A3c_Rail,2003,2019,Emission factors derived by implied EF from US NEI
US EPA,Emission Factor,NMVOC,can,1A3c_Rail,2003,2019,Emission factors derived by implied EF from US NEI
