emission,iso,sector,fuel,units,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021
NMHC,usa,1A2g_Ind-Comb-Construction,diesel_oil,kt/kt,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007062716,0.006870353,0.006680071,0.006491837,0.006305618,0.006121382,0.005939098,0.005758734,0.00558026,0.005174334,0.004792405,0.004432406,0.0040925,0.003831482,0.003579822,0.003337023,0.003102627,0.002876205,0.002705963,0.002532008,0.002354216,0.00217246,0.001986604,0.001803725,0.001626507,0.001454693,0.001288039,0.001126315,0.000969307,0.000812298,0.00065529
NMHC,usa,1A2g_Ind-Comb-Construction,light_oil,kt/kt,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072896797,0.072643108,0.072346286,0.071970047,0.073202766,0.07331108,0.071773541,0.07181269,0.071006218,0.069827719,0.0697296,0.068748677,0.068493147,0.068247778,0.067550127,0.066571723,0.065836573,0.065270645,0.064458181,0.064291483,0.061118856,0.060729248,0.060081513,0.058623641,0.057914532,0.057429182,
NMHC,usa,1A4c_Agriculture-forestry-fishing,diesel_oil,kt/kt,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007062716,0.006870353,0.006680071,0.006491837,0.006305618,0.006121382,0.005939098,0.005758734,0.00558026,0.005174334,0.004792405,0.004432406,0.0040925,0.003831482,0.003579822,0.003337023,0.003102627,0.002876205,0.002705963,0.002532008,0.002354216,0.00217246,0.001986604,0.001803725,0.001626507,0.001454693,0.001288039,0.001126315,0.000969307,0.000812298,0.00065529
NMHC,usa,1A4c_Agriculture-forestry-fishing,light_oil,kt/kt,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072896797,0.072643108,0.072346286,0.071970047,0.073202766,0.07331108,0.071773541,0.07181269,0.071006218,0.069827719,0.0697296,0.068748677,0.068493147,0.068247778,0.067550127,0.066571723,0.065836573,0.065270645,0.064458181,0.064291483,0.061118856,0.060729248,0.060081513,0.058623641,0.057914532,0.057429182,
NMHC,can,1A2g_Ind-Comb-Construction,diesel_oil,kt/kt,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007062716,0.006870353,0.006680071,0.006491837,0.006305618,0.006121382,0.005939098,0.005758734,0.00558026,0.005174334,0.004792405,0.004432406,0.0040925,0.003831482,0.003579822,0.003337023,0.003102627,0.002876205,0.002705963,0.002532008,0.002354216,0.00217246,0.001986604,0.001803725,0.001626507,0.001454693,0.001288039,0.001126315,0.000969307,0.000812298,0.00065529
NMHC,can,1A2g_Ind-Comb-Construction,light_oil,kt/kt,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072896797,0.072643108,0.072346286,0.071970047,0.073202766,0.07331108,0.071773541,0.07181269,0.071006218,0.069827719,0.0697296,0.068748677,0.068493147,0.068247778,0.067550127,0.066571723,0.065836573,0.065270645,0.064458181,0.064291483,0.061118856,0.060729248,0.060081513,0.058623641,0.057914532,0.057429182,
NMHC,can,1A4c_Agriculture-forestry-fishing,diesel_oil,kt/kt,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007257195,0.007062716,0.006870353,0.006680071,0.006491837,0.006305618,0.006121382,0.005939098,0.005758734,0.00558026,0.005174334,0.004792405,0.004432406,0.0040925,0.003831482,0.003579822,0.003337023,0.003102627,0.002876205,0.002705963,0.002532008,0.002354216,0.00217246,0.001986604,0.001803725,0.001626507,0.001454693,0.001288039,0.001126315,0.000969307,0.000812298,0.00065529
NMHC,can,1A4c_Agriculture-forestry-fishing,light_oil,kt/kt,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072896797,0.072643108,0.072346286,0.071970047,0.073202766,0.07331108,0.071773541,0.07181269,0.071006218,0.069827719,0.0697296,0.068748677,0.068493147,0.068247778,0.067550127,0.066571723,0.065836573,0.065270645,0.064458181,0.064291483,0.061118856,0.060729248,0.060081513,0.058623641,0.057914532,0.057429182,
NMHC,usa,1A2g_Ind-Comb-other,light_oil,kt/kt,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072896797,0.072643108,0.072346286,0.071970047,0.073202766,0.07331108,0.071773541,0.07181269,0.071006218,0.069827719,0.0697296,0.068748677,0.068493147,0.068247778,0.067550127,0.066571723,0.065836573,0.065270645,0.064458181,0.064291483,0.061118856,0.060729248,0.060081513,0.058623641,0.057914532,0.057429182,
NMHC,usa,1A5_Other-unspecified,light_oil,kt/kt,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072467806,0.072896797,0.072643108,0.072346286,0.071970047,0.073202766,0.07331108,0.071773541,0.07181269,0.071006218,0.069827719,0.0697296,0.068748677,0.068493147,0.068247778,0.067550127,0.066571723,0.065836573,0.065270645,0.064458181,0.064291483,0.061118856,0.060729248,0.060081513,0.058623641,0.057914532,0.057429182,
