Source,Data.Type,Emission,Region,Sector,Start.Year,End.Year,Source.Comment
US EPA,Emission Factor,OC,usa,1A3c_Rail,2003,2019,Emission factors derived by implied EF from US NEI
US EPA,Emission Factor,OC,can,1A3c_Rail,2003,2019,Emission factors derived by implied EF from US NEI
