Data.Type,Emission,Region,Sector,Start.Year,End.Year,Source.Comment
Emission Factor,OC,usa,1A2g_Ind-Comb-Construction,1990,2018,Emission factors from MOVES 2014b non-road equipment
Emission Factor,OC,usa,1A4c_Agriculture-forestry-fishing,1990,2018,Emission factors from MOVES 2014b non-road equipment
Emission Factor,OC,can,1A2g_Ind-Comb-Construction,1990,2018,Emission factors from MOVES 2014b non-road equipment
Emission Factor,OC,can,1A4c_Agriculture-forestry-fishing,1990,2018,Emission factors from MOVES 2014b non-road equipment
