iso,sector,fuel,X1985,X1990,units
arm,all,hard_coal,0.0126,0.0117,fraction
aze,all,hard_coal,0.0126,0.0117,fraction
blr,all,hard_coal,0.0126,0.0117,fraction
est,all,hard_coal,0.0126,0.0117,fraction
geo,all,hard_coal,0.0126,0.0117,fraction
kaz,all,hard_coal,0.008,0.008,fraction
kgz,all,hard_coal,0.0143,0.0123,fraction
ltu,all,hard_coal,0.0126,0.0117,fraction
lva,all,hard_coal,0.0126,0.0117,fraction
mda,all,hard_coal,0.0126,0.0117,fraction
rus,all,hard_coal,0.0092,0.0088,fraction
tjk,all,hard_coal,0.0126,0.0117,fraction
tkm,all,hard_coal,0.0126,0.0117,fraction
ukr,all,hard_coal,0.0215,0.0194,fraction
uzb,all,hard_coal,0.01,0.0125,fraction
arm,all,brown_coal,0.0123,0.0109,fraction
aze,all,brown_coal,0.0123,0.0109,fraction
blr,all,brown_coal,0.0123,0.0109,fraction
est,all,brown_coal,0.0123,0.0109,fraction
geo,all,brown_coal,0.0123,0.0109,fraction
kaz,all,brown_coal,0.0121,0.0102,fraction
kgz,all,brown_coal,0.0092,0.0097,fraction
ltu,all,brown_coal,0.0123,0.0109,fraction
lva,all,brown_coal,0.0123,0.0109,fraction
mda,all,brown_coal,0.0123,0.0109,fraction
rus,all,brown_coal,0.0104,0.0086,fraction
tjk,all,brown_coal,0.0123,0.0109,fraction
tkm,all,brown_coal,0.0123,0.0109,fraction
ukr,all,brown_coal,0.0291,0.0278,fraction
uzb,all,brown_coal,0.0194,0.0196,fraction
