iso,IEAName,IEA_Fert_reg,BPName,FAO,,,
alb,Albania,Central European countries,Other Europe & Eurasia,3,,,
dza,Algeria,Africa,Algeria,4,,USSR,228
ago,Angola,Africa,Other Africa,7,,Yugoslavia,248
arg,Argentina,Latin America,Argentina,9,,,
arm,Armenia,CIS,Other Europe & Eurasia,1,,,
aus,Australia,Oceania,Australia,10,,,
aut,Austria,Western Europe,Austria,11,,,
aze,Azerbaijan,CIS,Azerbaijan,52,,,
bhr,Bahrain,Middle East,Other Middle East,13,,,
bgd,Bangladesh,Other Asia,Bangladesh,16,,,
blr,Belarus,CIS,Belarus,57,,,
bel,Belgium,Western Europe,Belgium,255,,,
ben,Benin,Africa,Other Africa,53,,,
bol,Bolivia,Latin America,Other S. & Cent. America,19,,,
bih,Bosnia and Herzegovina,Central European countries,Other Europe & Eurasia,80,,,
bwa,Botswana,Africa,Other Africa,20,,,
bra,Brazil,Latin America,Brazil,21,,,
brn,Brunei Darussalam,Other Asia,Other Asia Pacific,26,,,
bgr,Bulgaria,Central European countries,Bulgaria,27,,,
khm,Cambodia,China,Other Asia Pacific,115,,,
cmr,Cameroon,Africa,Other Africa,32,,,
can,Canada,North America,Canada,33,,,
chl,Chile,Latin America,Chile,40,,,
twn,Chinese Taipei,Other Asia,Taiwan,214,,,
col,Colombia,Latin America,Colombia,44,,,
cog,Congo,Africa,Other Africa,46,,,
cri,Costa Rica,Latin America,Other S. & Cent. America,48,,,
civ,Cote dIvoire,Africa,Other Africa,107,,,
hrv,Croatia,Central European countries,Other Europe & Eurasia,98,,,
cub,Cuba,Latin America,Other S. & Cent. America,49,,,
cyp,Cyprus,Western Europe,Other Europe & Eurasia,50,,,
cze,Czech Republic,Central European countries,Czech Republic,167,,,
prk,Dem. Peoples Rep. of Korea,China,Other Asia Pacific,116,,,
cod,Democratic Republic of Congo,Africa,Other Africa,250,,,
dnk,Denmark,Western Europe,Denmark,54,,,
dom,Dominican Republic,Latin America,Other S. & Cent. America,56,,,
ecu,Ecuador,Latin America,Ecuador,58,,,
egy,Egypt,Africa,Egypt,59,,,
slv,El Salvador,Latin America,Other S. & Cent. America,60,,,
eri,Eritrea,Africa,Other Africa,178,,,
est,Estonia,CIS,Other Europe & Eurasia,63,,,
eth,Ethiopia,Africa,Other Africa,62,,,
eth,Ethiopia,Africa,Other Africa,238,,,
fin,Finland,Western Europe,Finland,67,,,
mkd,Former Yugoslav Republic of Macedonia,Central European countries,Other Europe & Eurasia,154,,,
fra,France,Western Europe,France,68,,,
gab,Gabon,Africa,Other Africa,74,,,
geo,Georgia,CIS,Other Europe & Eurasia,73,,,
deu,Germany,Western Europe,Germany,79,,,
gha,Ghana,Africa,Other Africa,81,,,
gib,Gibraltar,Western Europe,Other Europe & Eurasia,0,,,
grc,Greece,Western Europe,Greece,84,,,
gtm,Guatemala,Latin America,Other S. & Cent. America,89,,,
hti,Haiti,Latin America,Other S. & Cent. America,93,,,
hnd,Honduras,Latin America,Other S. & Cent. America,95,,,
hkg,"Hong Kong, China",Other Asia,China Hong Kong SAR,96,,,
hun,Hungary,Central European countries,Hungary,97,,,
isl,Iceland,Western Europe,Other Europe & Eurasia,99,,,
ind,India,India,India,100,,,
idn,Indonesia,Other Asia,Indonesia,101,,,
irq,Iraq,Middle East,Other Middle East,103,,,
irl,Ireland,Western Europe,Republic of Ireland,104,,,
irn,Islamic Republic of Iran,Middle East,Iran,102,,,
isr,Israel,Middle East,Israel,105,,,
ita,Italy,Western Europe,Italy,106,,,
jam,Jamaica,Latin America,Other S. & Cent. America,109,,,
jpn,Japan,Other Asia,Japan,110,,,
jor,Jordan,Middle East,Other Middle East,112,,,
kaz,Kazakhstan,CIS,Kazakhstan,108,,,
ken,Kenya,Africa,Other Africa,114,,,
kor,Korea,Other Asia,South Korea,117,,,
srb (Kosovo),Kosovo,Central European countries,Other Europe & Eurasia,0,,,
kwt,Kuwait,Middle East,Kuwait,118,,,
kgz,Kyrgyzstan,CIS,Other Europe & Eurasia,113,,,
lva,Latvia,CIS,Other Europe & Eurasia,119,,,
lbn,Lebanon,Middle East,Other Middle East,121,,,
lby,Libya,Africa,Other Africa,124,,,
ltu,Lithuania,CIS,Lithuania,126,,,
lux,Luxembourg,Western Europe,Other Europe & Eurasia,256,,,
mys,Malaysia,Other Asia,Malaysia,131,,,
mlt,Malta,Western Europe,Other Europe & Eurasia,134,,,
mex,Mexico,Latin America,Mexico,138,,,
mng,Mongolia,China,Other Asia Pacific,141,,,
mne,Montenegro,Central European countries,Other Europe & Eurasia,273,,,
mar,Morocco,Africa,Other Africa,143,,,
moz,Mozambique,Africa,Other Africa,144,,,
mmr,Myanmar,Other Asia,Other Asia Pacific,28,,,
nam,Namibia,Africa,Other Africa,147,,,
npl,Nepal,Other Asia,Other Asia Pacific,149,,,
nld,Netherlands,Western Europe,Netherlands,150,,,
ant,Netherlands Antilles,Latin America,Other S. & Cent. America,0,,,
nzl,New Zealand,Oceania,New Zealand,156,,,
nic,Nicaragua,Latin America,Other S. & Cent. America,157,,,
nga,Nigeria,Africa,Other Africa,159,,,
nor,Norway,Western Europe,Norway,162,,,
omn,Oman,Middle East,Other Middle East,221,,,
pak,Pakistan,Other Asia,Pakistan,165,,,
pan,Panama,Latin America,Other S. & Cent. America,166,,,
pry,Paraguay,Latin America,Other S. & Cent. America,169,,,
chn,Peoples Republic of China,China,China,41,,,
per,Peru,Latin America,Peru,170,,,
phl,Philippines,Other Asia,Philippines,171,,,
pol,Poland,Central European countries,Poland,173,,,
prt,Portugal,Western Europe,Portugal,174,,,
qat,Qatar,Middle East,Qatar,179,,,
mda,Republic of Moldova,CIS,Other Europe & Eurasia,146,,,
rom,Romania,Central European countries,Romania,183,,,
rus,Russian Federation,CIS,Russian Federation,185,,,
sau,Saudi Arabia,Middle East,Saudi Arabia,194,,,
sen,Senegal,Africa,Other Africa,195,,,
srb,Serbia,Central European countries,Other Europe & Eurasia,272,,,
scg,Serbia and Montenegro,Central European countries,Other Europe & Eurasia,186,,,
sgp,Singapore,Other Asia,Singapore,200,,,
svk,Slovak Republic,Central European countries,Slovakia,199,,,
svn,Slovenia,Central European countries,Other Europe & Eurasia,198,,,
zaf,South Africa,Africa,South Africa,202,,,
esp,Spain,Western Europe,Spain,203,,,
lka,Sri Lanka,Other Asia,Other Asia Pacific,38,,,
sdn,Sudan,Africa,Other Africa,206,,,
swe,Sweden,Western Europe,Sweden,210,,,
che,Switzerland,Western Europe,Switzerland,211,,,
syr,Syrian Arab Republic,Middle East,Other Middle East,212,,,
tjk,Tajikistan,CIS,Other Europe & Eurasia,208,,,
tha,Thailand,Other Asia,Thailand,216,,,
tgo,Togo,Africa,Other Africa,217,,,
tto,Trinidad and Tobago,Latin America,Trinidad & Tobago,220,,,
tun,Tunisia,Africa,Other Africa,222,,,
tur,Turkey,Western Europe,Turkey,223,,,
tkm,Turkmenistan,CIS,Turkmenistan,213,,,
ukr,Ukraine,CIS,Ukraine,230,,,
are,United Arab Emirates,Middle East,United Arab Emirates,225,,,
gbr,United Kingdom,Western Europe,United Kingdom,229,,,
tza,United Republic of Tanzania,Africa,Other Africa,215,,,
usa,United States,North America,US,231,,,
ury,Uruguay,Latin America,Other S. & Cent. America,234,,,
uzb,Uzbekistan,CIS,Uzbekistan,235,,,
ven,Venezuela,Latin America,Venezuela,236,,,
vnm,Vietnam,China,Vietnam,237,,,
yem,Yemen,Middle East,Other Middle East,249,,,
zmb,Zambia,Africa,Other Africa,251,,,
zwe,Zimbabwe,Africa,Other Africa,181,,,
arm,Former Soviet Union (if no detail),CIS,Other Europe & Eurasia,1,,,
aze,Former Soviet Union (if no detail),CIS,Other Europe & Eurasia,52,,,
blr,Former Soviet Union (if no detail),CIS,Other Europe & Eurasia,57,,,
est,Former Soviet Union (if no detail),CIS,Other Europe & Eurasia,63,,,
geo,Former Soviet Union (if no detail),CIS,Other Europe & Eurasia,268,,,
kaz,Former Soviet Union (if no detail),CIS,Other Europe & Eurasia,108,,,
kgz,Former Soviet Union (if no detail),CIS,Other Europe & Eurasia,113,,,
ltu,Former Soviet Union (if no detail),CIS,Other Europe & Eurasia,126,,,
lva,Former Soviet Union (if no detail),CIS,Other Europe & Eurasia,119,,,
mda,Former Soviet Union (if no detail),CIS,Other Europe & Eurasia,146,,,
rus,Former Soviet Union (if no detail),CIS,Other Europe & Eurasia,185,,,
tjk,Former Soviet Union (if no detail),CIS,Other Europe & Eurasia,208,,,
tkm,Former Soviet Union (if no detail),CIS,Other Europe & Eurasia,213,,,
ukr,Former Soviet Union (if no detail),CIS,Other Europe & Eurasia,230,,,
uzb,Former Soviet Union (if no detail),CIS,Other Europe & Eurasia,235,,,
bih,Former Yugoslavia (if no detail),Central European countries,Other Europe & Eurasia,80,,,
hrv,Former Yugoslavia (if no detail),Central European countries,Other Europe & Eurasia,98,,,
mkd,Former Yugoslavia (if no detail),Central European countries,Other Europe & Eurasia,154,,,
mne,Former Yugoslavia (if no detail),Central European countries,Other Europe & Eurasia,273,,,
srb,Former Yugoslavia (if no detail),Central European countries,Other Europe & Eurasia,272,,,
srb (Kosovo),Former Yugoslavia (if no detail),Central European countries,Other Europe & Eurasia,0,,,
svn,Former Yugoslavia (if no detail),Central European countries,Other Europe & Eurasia,198,,,
bdi,Other Africa,Africa,Other Africa,29,,,
bfa,Other Africa,Africa,Other Africa,223,,,
caf,Other Africa,Africa,Other Africa,37,,,
com,Other Africa,Africa,Other Africa,45,,,
cpv,Other Africa,Africa,Other Africa,35,,,
dji,Other Africa,Africa,Other Africa,72,,,
esh,Other Africa,Africa,Other Africa,0,,,
gin,Other Africa,Africa,Other Africa,90,,,
gmb,Other Africa,Africa,Other Africa,75,,,
gnb,Other Africa,Africa,Other Africa,175,,,
gnq,Other Africa,Africa,Other Africa,61,,,
lbr,Other Africa,Africa,Other Africa,123,,,
lso,Other Africa,Africa,Other Africa,122,,,
