cdiac_fuel,units,EF,note
solid_fuels,kt/kJ,2.47E-11,original CDIAC: 0.7241 tonne C/tonne coal equivalent; using conversion 1ktce = 2.93076000E10 kJ (IEA)
liquid_fuels,kt/kt,0.83725,original CDIAC: 0.83725 tonne C/tonne fuel
gas_fuels,kt/TJ,0.013426,original CDIAC: 0.013426 10^6 tonne C/10^15 joules
bunker_fuels,kt/kt,0.855,http://cdiac.ornl.gov/epubs/ndp/ndp030/tables/table4.htm
gas_flaring,kt/TJ,0.013454,http://cdiac.ornl.gov/epubs/ndp/ndp030/tables/table4.htm
