"Source","Sector","SubSector","2016","2017","2018","2019","2020","2021","2022"
"Ore and Mineral Industries","","","NaN","NaN","NaN","NaN","NaN","NaN","1329.7999999999997"
"Ore and Mineral Industries","Aluminium Industry","","NaN","NaN","NaN","NaN","NaN","NaN","35.870000000000005"
"Ore and Mineral Industries","Aluminium Industry","Alumina (Bauxite Refining)","0.97","0.93","0.91","0.51","0.5","0.51","0.7"
"Ore and Mineral Industries","Aluminium Industry","Primary Aluminium Smelting and Refining","41.52","40.58","36.05","35","39.3","39.2","34.96"
"Ore and Mineral Industries","Aluminium Industry","Secondary Aluminium Production (Includes Recycling)","0","0","0","0","0","0","0.21"
"Ore and Mineral Industries","Asphalt Paving Industry","","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Cement and Concrete Industry","","15.14","16.119999999999997","20.009999999999998","17.200000000000003","15.64","20.83","10.030000000000001"
"Ore and Mineral Industries","Cement and Concrete Industry","Cement Manufacturing","12.96","14.12","17.95","15.05","13.66","19.13","8.14"
"Ore and Mineral Industries","Cement and Concrete Industry","Concrete Batching and Products","0.01","0","0","0","0","0","0"
"Ore and Mineral Industries","Cement and Concrete Industry","Gypsum Product Manufacturing","0.97","1.01","1.04","1.07","1.08","0.9","0.88"
"Ore and Mineral Industries","Cement and Concrete Industry","Lime Manufacturing","1.2","0.99","1.02","1.08","0.9","0.8","1.01"
"Ore and Mineral Industries","Foundries","","0.05","0.06","0.04","0.04","0.02","0.06","0.03"
"Ore and Mineral Industries","Foundries","Die Casting","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Foundries","Ferrous Foundries","0.05","0.06","0.04","0.04","0.02","0.06","0.03"
"Ore and Mineral Industries","Iron and Steel Industry","","133.98","140.41","155.92000000000002","151.91","120.10000000000001","116.08","122.46"
"Ore and Mineral Industries","Iron and Steel Industry","Primary (Blast furnace and DRI)","131.51","136.57","152.8","148.41","117.2","112.91","118.91"
"Ore and Mineral Industries","Iron and Steel Industry","Secondary (Electric Arc Furnaces)","2.47","3.84","3.12","3.5","2.9","3.17","3.55"
"Ore and Mineral Industries","Iron Ore Pelletizing","","7.35","6.28","5.74","6.46","5.51","5.09","4.35"
"Ore and Mineral Industries","Iron Ore Pelletizing","Iron Ore Pelletizing","7.35","6.28","5.74","6.46","5.51","5.09","4.35"
"Ore and Mineral Industries","Mineral Products Industry","","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Mining and Rock Quarrying","","446.76","539.5799999999999","483.19","582.99","843.38","887.8399999999999","1155.75"
"Ore and Mineral Industries","Mining and Rock Quarrying","Coal Mining Industry","5.43","6.49","7.09","38.08","41.32","30.64","263.24"
"Ore and Mineral Industries","Mining and Rock Quarrying","Iron Ore Mining","29.38","24.68","17.82","47.33","106.98","89.67","96.76"
"Ore and Mineral Industries","Mining and Rock Quarrying","Limestone","0.46","0.78","1.43","1.78","0.93","0.61","0.41"
"Ore and Mineral Industries","Mining and Rock Quarrying","Metal Mining","70.5","185.06","71.33","117.94","151.06","183.56","276.89"
"Ore and Mineral Industries","Mining and Rock Quarrying","Potash","126.78","79.64","142.41","166.72","377.41","371.99","278.48"
