sector,NOX,SO2,CO,VOC,PM25Primary,PM10Primary,Black Carbon,Organic Carbon,NH3
FUEL COMB. ELEC. UTIL.,0,0,2,2,2,2,2,2,2
FUEL COMB. INDUSTRIAL,2,2,2,2,2,2,2,2,2
FUEL COMB. OTHER,3,3,3,3,3,3,3,3,3
CHEMICAL & ALLIED PRODUCT MFG,2,2,2,2,2,2,2,2,2
METALS PROCESSING,2,2,2,2,2,2,2,2,2
PETROLEUM & RELATED INDUSTRIES,2,2,2,2,2,2,2,2,2
OTHER INDUSTRIAL PROCESSES,2,2,2,2,2,2,2,2,2
SOLVENT UTILIZATION,2,2,2,2,2,2,2,2,2
STORAGE & TRANSPORT,2,2,2,2,2,2,2,2,2
WASTE DISPOSAL & RECYCLING,2,2,2,2,2,2,2,2,2
HIGHWAY VEHICLES,1,2,1,1,1,1,1,1,1
OFF-HIGHWAY,2,2,2,2,2,2,2,2,2
MISCELLANEOUS,2,2,2,2,2,2,2,2,2
