Table 2-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: GHG strings in first column should be edited to remove footnote indicators (e.g. CH4c -> CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,CO2,5131650,5076301,5178731,5279480,5361823,5425799,5601058,5673109,5736325,5800250,6023128,5903534,5947795,6006416,6111521,6126864,6045303,6121521,5919210,5486089,5668742,5540331,5332811,5473656,5529884,5368293,5246403,5196540,5362191,5234488,4688969,5017202,5053019
,Fossil Fuel Combustion,4752232,4705926,4801422,4917716,4981723,5037780,5215157,5275769,5332286,5386768,5620872,5527409,5568469,5638724,5717675,5744134,5656720,5741394,5557830,5188319,5339624,5206791,4992489,5114835,5172908,5002937,4906314,4845066,4988198,4852631,4341710,4654265,4699403
,Transportation,1468944,1422327,1477643,1508607,1553947,1580678,1627363,1643516,1678920,1746344,1792202,1762464,1803018,1811984,1845221,1858552,1859133,1860737,1759681,1688481,1696615,1670378,1659401,1669046,1707347,1718381,1757907,1780308,1813135,1816636,1572820,1753546,1751286
,Electric Power Sector,1819951,1817359,1830688,1906172,1930468,1947173,2020243,2087520,2176555,2189666,2296172,2257204,2272227,2303678,2335083,2400057,2344396,2411137,2359332,2145346,2258639,2158067,2023256,2038270,2037166,1900638,1808872,1732033,1753432,1606721,1439566,1540933,1531680
,Industrial,876468,866686,889138,891245,890830,907459,926739,921799,905638,863649,887234,866580,857981,852435,877420,847640,868397,858612,824951,751898,791090,793352,793917,825800,820830,792961,788319,780400,810472,809807,761986,780453,801064
,Residential,338568,347710,353968,366082,357047,353134,383474,365033,331610,350907,371703,363053,361082,380126,369060,358898,321726,341171,347889,335928,334495,326333,282532,329265,346734,317617,293191,293966,338940,342905,314795,318034,334065
,Commercial,228293,232660,228038,222985,224698,227787,237558,237819,220118,220730,236531,228456,229007,240136,237976,227130,211806,223089,227511,227708,224282,224599,200429,224326,232552,244805,231861,232413,246297,251749,229264,237528,258733
,U.S. Territories,20010,19183,21947,22625,24732,21549,19779,20082,19445,15472,37032,49652,45153,50365,52916,51857,51263,46648,38465,38959,34504,34063,32954,28128,28278,28534,26165,25946,25923,24813,23279,23772,22575
,Non-Energy Use of Fuels,99104,102588,105217,93689,102437,103338,101427,108964,121618,133098,123413,117949,120704,114290,132240,124988,123862,112555,107246,89657,90107,88282,91214,104550,92155,105692,98711,107079,118382,106474,97757,111624,102808
,Cement Production,33484,32736,32993,34838,36310,37075,37309,38561,39461,40239,41445,41613,43164,43349,45886,46194,46851,45509,41416,29615,31449,32208,35270,36369,39439,39907,39439,40324,38971,40896,40688,41312,41884
,Iron and Steel Production & Metallurgical Coke Production,104740,95216,95995,91649,94528,98399,96366,97599,91139,89019,90467,79788,75780,72661,72245,70082,72774,74529,69938,45070,58560,62955,57259,55188,58189,47946,43625,40814,42863,43095,37724,41873,40672
,Natural Gas Systems,32427,31552,31451,31156,31120,29091,27404,27136,25002,25529,25974,25733,26093,25989,26415,26312,27077,27390,28033,26371,26479,26806,26305,28171,29103,29397,29911,31467,32768,38525,36719,35780,36470
,Petrochemical Production,20075,21436,22157,22655,24565,25816,26799,28044,28435,29971,29536,26250,27237,27055,29512,26882,27322,27745,24439,23482,26963,26051,26093,25890,25634,27188,26782,27332,27200,28483,27926,30656,28788
,Petroleum Systems,9585,9638,9415,9340,9368,9712,9976,10252,10058,9441,9512,9490,9498,9651,9911,10210,10440,10603,11559,11774,13966,16519,20767,24463,29278,30786,21369,23428,34777,45498,28937,24140,21967
,Ammonia Production,14404,14664,15129,14547,15562,14885,15220,15410,15650,14302,13384,10286,11653,9847,10615,10234,9765,10262,9429,9285,9818,8968,9971,9944,10558,10109,10195,12481,12669,12401,13006,12192,12610
,Incineration of Waste,12900,11171,12990,12970,14039,14333,14514,13733,12790,12316,13026,12995,13030,13173,13248,13254,14343,14242,13909,13459,12824,12741,13393,14135,14058,14167,14356,13161,13339,12948,12921,12476,12357
,Lime Production,11700,11539,11927,12279,12736,13538,14242,14498,14792,14425,14282,13722,13169,13907,14613,14552,15243,14721,14505,11411,13381,13982,13785,14028,14210,13342,12630,12882,13106,12112,11299,11870,12208
,Other Process Uses of Carbonates,7103,6466,6394,6045,6352,8254,8853,8579,8744,9521,6682,6887,7210,5795,7660,8472,9525,8753,7437,9307,11249,10345,9467,11434,13139,12694,11361,10440,7938,8973,9012,8583,10384
,Urea Consumption for Non-Agricultural Purposes,3784,3501,3863,4568,4268,4255,3859,3931,4844,4650,4231,4072,3700,3558,3673,3653,3519,4944,4065,3427,4730,5093,4820,4556,1809,4627,5289,5207,6113,6150,5805,6600,7053
,Urea Fertilization,2417,2313,2448,2637,2683,2657,2587,2691,2947,3016,3214,3414,3572,3685,3653,3504,3656,3757,3613,3555,3778,4097,4282,4443,4512,4679,4720,4816,4936,5034,5132,5229,5327
,Carbon Dioxide Consumption,1472,1469,1463,1470,1476,1477,1486,1484,1481,1479,1478,894,1047,1365,1259,1375,1758,1922,1834,1795,4425,4083,4019,4188,4471,4940,4640,4580,4130,4870,4970,4990,5000
,Liming,4690,5009,4436,3801,4137,4392,4359,4289,4779,4493,4368,4478,5034,4586,3828,4351,4220,4464,5025,3669,4784,3873,5970,3907,3586,3745,3015,3069,2240,2203,2887,2387,3268
,Coal Mining,4606,4425,4425,3881,4382,4354,4497,4619,4608,4362,4165,4273,4035,3980,4144,4169,4100,4026,4092,3799,3850,3935,3858,3836,4012,3507,2894,3154,3139,2992,2197,2455,2474
,Glass Production,2263,2149,2242,2273,2344,2333,2367,2468,2529,2569,2544,2420,2431,2386,2422,2402,2398,2303,2205,1897,2056,2065,2020,2015,2007,2006,2118,1984,1989,1940,1858,1969,1956
,Soda Ash Production,1431,1431,1451,1412,1422,1607,1587,1665,1607,1548,1529,1500,1470,1509,1607,1655,1626,1675,1733,1470,1548,1607,1665,1694,1685,1714,1723,1753,1714,1792,1461,1714,1704
,Titanium Dioxide Production,1195,1211,1392,1416,1526,1526,1514,1677,1662,1693,1752,1697,1824,1839,2064,1755,1836,1930,1809,1648,1769,1729,1528,1715,1688,1635,1662,1688,1541,1340,1340,1474,1474
,Aluminum Production,6831,6945,6804,6211,5539,5659,5987,6019,6191,6286,6086,4382,4491,4502,4231,4142,3801,4251,4477,3009,2722,3292,3439,3255,2833,2767,1334,1205,1455,1880,1748,1541,1446
