REASv3.2 SECTOR KOR WC CO2 [kt/year]
                          1950           1951           1952           1953           1954           1955           1956           1957           1958           1959           1960           1961           1962           1963           1964           1965           1966           1967           1968           1969           1970           1971           1972           1973           1974           1975           1976           1977           1978           1979           1980           1981           1982           1983           1984           1985           1986           1987           1988           1989           1990           1991           1992           1993           1994           1995           1996           1997           1998           1999           2000           2001           2002           2003           2004           2005           2006           2007           2008           2009           2010           2011           2012           2013           2014           2015
PP               0.3032459E+03  0.2427437E+03  0.4609917E+03  0.5301404E+03  0.6475515E+03  0.6331454E+03  0.8052973E+03  0.9529526E+03  0.1094866E+04  0.1254025E+04  0.1266329E+04  0.1325351E+04  0.1562328E+04  0.1810820E+04  0.2136381E+04  0.2546280E+04  0.3015201E+04  0.3800305E+04  0.4687704E+04  0.5870503E+04  0.6912758E+04  0.7888710E+04  0.9212336E+04  0.1141185E+05  0.1217251E+05  0.1758073E+05  0.1836771E+05  0.2082392E+05  0.2280711E+05  0.2428530E+05  0.2552603E+05  0.2742407E+05  0.2822990E+05  0.3047382E+05  0.3908153E+05  0.3835749E+05  0.3808422E+05  0.3523480E+05  0.4510240E+05  0.4670985E+05  0.5726608E+05  0.6618736E+05  0.7624151E+05  0.8464170E+05  0.9591910E+05  0.1067777E+06  0.1179369E+06  0.1337425E+06  0.1163469E+06  0.1240700E+06  0.1653681E+06  0.1806154E+06  0.1706839E+06  0.1756120E+06  0.2026841E+06  0.2076317E+06  0.2161204E+06  0.2243651E+06  0.2363113E+06  0.2581840E+06  0.2881871E+06  0.3085477E+06  0.3131165E+06  0.3063576E+06  0.3014905E+06  0.3086459E+06
IND              0.6627386E+02  0.2551031E+02  0.4326313E+02  0.4770186E+02  0.6326077E+02  0.1915092E+03  0.2172597E+03  0.3189613E+03  0.5323730E+03  0.8040206E+03  0.1752984E+04  0.2059415E+04  0.3327779E+04  0.3469955E+04  0.4299111E+04  0.5992560E+04  0.7349957E+04  0.5658178E+05  0.5194256E+05  0.4404706E+05  0.7265587E+05  0.4809987E+05  0.4746778E+05  0.5240768E+05  0.5452143E+05  0.5502585E+05  0.6050771E+05  0.6113973E+05  0.6599484E+05  0.7364582E+05  0.7401242E+05  0.7645341E+05  0.7842659E+05  0.8087920E+05  0.7697951E+05  0.7729564E+05  0.7905553E+05  0.8476156E+05  0.9429739E+05  0.1019918E+06  0.1079411E+06  0.1219146E+06  0.1301700E+06  0.1413178E+06  0.1564642E+06  0.1629470E+06  0.1722156E+06  0.1754842E+06  0.1603042E+06  0.1691672E+06  0.1830178E+06  0.1829261E+06  0.1808055E+06  0.1807044E+06  0.1784478E+06  0.1682153E+06  0.1761392E+06  0.1818357E+06  0.1913763E+06  0.1748607E+06  0.2034845E+06  0.2204275E+06  0.2186099E+06  0.2155189E+06  0.2349848E+06  0.2301369E+06
ROAD             0.4290666E+03  0.2973785E+03  0.3885567E+03  0.4546243E+03  0.4994104E+03  0.5656627E+03  0.8049842E+03  0.9093213E+03  0.9285993E+03  0.9434340E+03  0.1000783E+04  0.9533298E+03  0.1013647E+04  0.1128366E+04  0.1200550E+04  0.1300433E+04  0.1627784E+04  0.1957081E+04  0.2360522E+04  0.3037901E+04  0.3668828E+04  0.4030176E+04  0.3777191E+04  0.4132668E+04  0.3433076E+04  0.3681353E+04  0.4076130E+04  0.6017407E+04  0.7402230E+04  0.8755748E+04  0.8542249E+04  0.6818746E+04  0.8113770E+04  0.1135078E+05  0.1306914E+05  0.1489827E+05  0.1707535E+05  0.1959473E+05  0.2347600E+05  0.2715961E+05  0.3184243E+05  0.3659513E+05  0.4154729E+05  0.4686502E+05  0.5283854E+05  0.5996815E+05  0.6580027E+05  0.6639753E+05  0.5464273E+05  0.5977939E+05  0.6599834E+05  0.6920073E+05  0.7436980E+05  0.7663485E+05  0.7730133E+05  0.7831077E+05  0.7920666E+05  0.8178228E+05  0.7957262E+05  0.8076188E+05  0.8259889E+05  0.8232485E+05  0.8386373E+05  0.8772177E+05  0.8854023E+05  0.9233249E+05
OTRA             0.3416650E+03  0.3422850E+03  0.3453640E+03  0.3408080E+03  0.3422850E+03  0.3504070E+03  0.3582910E+03  0.3617320E+03  0.3630900E+03  0.3666600E+03  0.3665400E+03  0.3720800E+03  0.3733100E+03  0.3740500E+03  0.3639500E+03  0.3669100E+03  0.3771300E+03  0.3823000E+03  0.3891900E+03  0.3930100E+03  0.3930100E+03  0.3938700E+03  0.3015430E+03  0.3250760E+03  0.3681480E+03  0.4135910E+03  0.4266930E+03  0.5749490E+03  0.6976120E+03  0.8127172E+03  0.8485744E+03  0.6696904E+03  0.6881694E+03  0.7035394E+03  0.7777732E+03  0.7611950E+03  0.7734740E+03  0.8042130E+03  0.8384840E+03  0.8383430E+03  0.8848830E+03  0.8972930E+03  0.9159030E+03  0.9623020E+03  0.1451182E+04  0.1622421E+04  0.1575372E+04  0.1671931E+04  0.1162772E+04  0.1206613E+04  0.1329814E+04  0.1649324E+04  0.1328469E+04  0.1340779E+04  0.1201986E+04  0.1183108E+04  0.1062655E+04  0.1022136E+04  0.9889320E+03  0.8836320E+03  0.8432120E+03  0.5244506E+03  0.5244506E+03  0.4655006E+03  0.3910406E+03  0.3599309E+03
RESI             0.1780720E+04  0.1333660E+04  0.1734910E+04  0.2185080E+04  0.2237290E+04  0.2879110E+04  0.3651830E+04  0.4601240E+04  0.4962360E+04  0.7158280E+04  0.8981080E+04  0.9792210E+04  0.1212734E+05  0.1424600E+05  0.1541053E+05  0.1636831E+05  0.1842344E+05  0.1967362E+05  0.1646734E+05  0.1657351E+05  0.1976288E+05  0.2039001E+05  0.2114763E+05  0.2587534E+05  0.2707404E+05  0.2703855E+05  0.2906553E+05  0.3335130E+05  0.3337313E+05  0.3437300E+05  0.3674196E+05  0.3936537E+05  0.3808884E+05  0.4025522E+05  0.4485550E+05  0.4844342E+05  0.5087146E+05  0.5002815E+05  0.4962099E+05  0.4502578E+05  0.4390310E+05  0.3585451E+05  0.2982411E+05  0.2402779E+05  0.1886533E+05  0.2001498E+05  0.2063095E+05  0.2031952E+05  0.1734277E+05  0.2462653E+05  0.2891761E+05  0.3087927E+05  0.3401476E+05  0.3382756E+05  0.3116765E+05  0.3338602E+05  0.3433900E+05  0.3275030E+05  0.3307519E+05  0.3180252E+05  0.3343362E+05  0.3403404E+05  0.3355407E+05  0.3364324E+05  0.3087645E+05  0.3127139E+05
ODOM             0.9962300E+02  0.9021800E+02  0.1011580E+03  0.1132720E+03  0.1158400E+03  0.1325500E+03  0.1523960E+03  0.1764810E+03  0.1864580E+03  0.2404330E+03  0.2854660E+03  0.3060970E+03  0.3694219E+03  0.4240848E+03  0.5985191E+03  0.7468620E+03  0.9138430E+03  0.1061886E+04  0.1421762E+04  0.1938211E+04  0.2267193E+04  0.2788073E+04  0.3510129E+04  0.4378857E+04  0.4406261E+04  0.5288783E+04  0.5969268E+04  0.8499692E+04  0.9544388E+04  0.1071475E+05  0.1242894E+05  0.1275644E+05  0.1222070E+05  0.1157221E+05  0.1270170E+05  0.1296084E+05  0.1438094E+05  0.1570744E+05  0.1867566E+05  0.2297781E+05  0.2931744E+05  0.3447085E+05  0.4121938E+05  0.4960388E+05  0.5521105E+05  0.6017273E+05  0.6275141E+05  0.6433747E+05  0.4802145E+05  0.5191520E+05  0.4384063E+05  0.3992118E+05  0.3763789E+05  0.3237997E+05  0.3053748E+05  0.3143291E+05  0.2520686E+05  0.2506656E+05  0.2327373E+05  0.2438548E+05  0.2611611E+05  0.2514487E+05  0.2481952E+05  0.2463766E+05  0.2331157E+05  0.2587777E+05
TOTAL            0.3020594E+04  0.2331796E+04  0.3074244E+04  0.3671627E+04  0.3905638E+04  0.4752384E+04  0.5990058E+04  0.7320688E+04  0.8067746E+04  0.1076685E+05  0.1365318E+05  0.1480848E+05  0.1877383E+05  0.2145328E+05  0.2400904E+05  0.2732136E+05  0.3170735E+05  0.8345697E+05  0.7726908E+05  0.7186019E+05  0.1056605E+06  0.8359071E+05  0.8541661E+05  0.9853147E+05  0.1019755E+06  0.1090289E+06  0.1184130E+06  0.1304070E+06  0.1398193E+06  0.1525873E+06  0.1581002E+06  0.1634877E+06  0.1657680E+06  0.1752348E+06  0.1874652E+06  0.1927169E+06  0.2002410E+06  0.2061309E+06  0.2320109E+06  0.2447032E+06  0.2711550E+06  0.2959197E+06  0.3199182E+06  0.3474185E+06  0.3807494E+06  0.4115030E+06  0.4409105E+06  0.4619532E+06  0.3978208E+06  0.4307649E+06  0.4884723E+06  0.5051920E+06  0.4988403E+06  0.5004996E+06  0.5213403E+06  0.5201598E+06  0.5320748E+06  0.5468221E+06  0.5645981E+06  0.5708782E+06  0.6346634E+06  0.6710034E+06  0.6744882E+06  0.6683447E+06  0.6795946E+06  0.6886244E+06
PP-EXCL-BF       0.3032459E+03  0.2427437E+03  0.4609917E+03  0.5301404E+03  0.6475515E+03  0.6331454E+03  0.8052973E+03  0.9529526E+03  0.1094866E+04  0.1254025E+04  0.1266329E+04  0.1325351E+04  0.1562328E+04  0.1810820E+04  0.2136381E+04  0.2546280E+04  0.3015201E+04  0.3800305E+04  0.4687704E+04  0.5870503E+04  0.6912758E+04  0.7888710E+04  0.9212336E+04  0.1141185E+05  0.1217251E+05  0.1758073E+05  0.1836771E+05  0.2082392E+05  0.2280711E+05  0.2428530E+05  0.2552603E+05  0.2742407E+05  0.2822990E+05  0.3047382E+05  0.3908153E+05  0.3835749E+05  0.3808422E+05  0.3523480E+05  0.4510240E+05  0.4670985E+05  0.5726608E+05  0.6618736E+05  0.7624151E+05  0.8464170E+05  0.9591910E+05  0.1066490E+06  0.1177247E+06  0.1337008E+06  0.1163191E+06  0.1240317E+06  0.1653265E+06  0.1805749E+06  0.1705782E+06  0.1755100E+06  0.2025547E+06  0.2075136E+06  0.2159726E+06  0.2241042E+06  0.2359604E+06  0.2577046E+06  0.2875336E+06  0.3077128E+06  0.3121653E+06  0.3053501E+06  0.2997849E+06  0.3064569E+06
PP-BF            0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1287100E+03  0.2122000E+03  0.4174400E+02  0.2782900E+02  0.3826600E+02  0.4164500E+02  0.4045200E+02  0.1056530E+03  0.1019750E+03  0.1294030E+03  0.1180770E+03  0.1477910E+03  0.2609020E+03  0.3508510E+03  0.4793700E+03  0.6535000E+03  0.8348900E+03  0.9511700E+03  0.1007520E+04  0.1705620E+04  0.2188990E+04
IND-EXCL-BF      0.6627386E+02  0.2551031E+02  0.4326313E+02  0.4770186E+02  0.6326077E+02  0.1915092E+03  0.2172597E+03  0.3189613E+03  0.5323730E+03  0.8040206E+03  0.1752984E+04  0.2059415E+04  0.3327779E+04  0.3469955E+04  0.4299111E+04  0.5992560E+04  0.7349957E+04  0.5658178E+05  0.5194256E+05  0.4404706E+05  0.7265587E+05  0.4809987E+05  0.4746778E+05  0.5240768E+05  0.5452143E+05  0.5502585E+05  0.6050771E+05  0.6113973E+05  0.6599484E+05  0.7364582E+05  0.7401242E+05  0.7645341E+05  0.7842659E+05  0.8087920E+05  0.7697951E+05  0.7729564E+05  0.7905553E+05  0.8476156E+05  0.9429739E+05  0.1019918E+06  0.1079137E+06  0.1218872E+06  0.1301357E+06  0.1412767E+06  0.1564208E+06  0.1629036E+06  0.1715029E+06  0.1747116E+06  0.1595141E+06  0.1685925E+06  0.1825964E+06  0.1826978E+06  0.1804906E+06  0.1803173E+06  0.1780934E+06  0.1673677E+06  0.1753368E+06  0.1810228E+06  0.1906626E+06  0.1743578E+06  0.2028352E+06  0.2198080E+06  0.2170379E+06  0.2134869E+06  0.2313640E+06  0.2280029E+06
