REASv3.2 SECTOR IND OR CO2 [kt/year]
                          1950           1951           1952           1953           1954           1955           1956           1957           1958           1959           1960           1961           1962           1963           1964           1965           1966           1967           1968           1969           1970           1971           1972           1973           1974           1975           1976           1977           1978           1979           1980           1981           1982           1983           1984           1985           1986           1987           1988           1989           1990           1991           1992           1993           1994           1995           1996           1997           1998           1999           2000           2001           2002           2003           2004           2005           2006           2007           2008           2009           2010           2011           2012           2013           2014           2015
PP               0.2582373E+03  0.2960870E+03  0.3130162E+03  0.3389548E+03  0.4884648E+03  0.5494300E+03  0.6047145E+03  0.6948802E+03  0.7784317E+03  0.8987498E+03  0.1016631E+04  0.1159837E+04  0.1324488E+04  0.1528736E+04  0.1668360E+04  0.1846477E+04  0.2033630E+04  0.2273386E+04  0.2590785E+04  0.2837819E+04  0.3068307E+04  0.3322741E+04  0.3695366E+04  0.3864096E+04  0.4744692E+04  0.5332581E+04  0.6205471E+04  0.5946432E+04  0.5021634E+04  0.6016698E+04  0.7579511E+04  0.8806442E+04  0.9775343E+04  0.1100948E+05  0.1134085E+05  0.1347548E+05  0.1541676E+05  0.1774213E+05  0.1874026E+05  0.2052966E+05  0.2175969E+05  0.2433204E+05  0.2621967E+05  0.2921012E+05  0.3018286E+05  0.3503692E+05  0.3762845E+05  0.3848571E+05  0.3972788E+05  0.4328742E+05  0.4593363E+05  0.4736925E+05  0.4788065E+05  0.5066334E+05  0.5595298E+05  0.5820567E+05  0.6253632E+05  0.6838549E+05  0.7275676E+05  0.7944440E+05  0.8077240E+05  0.8726279E+05  0.9608957E+05  0.9834993E+05  0.1106831E+06  0.1113150E+06
IND              0.5291740E+04  0.5483023E+04  0.5608480E+04  0.5621311E+04  0.5868277E+04  0.5946560E+04  0.6107422E+04  0.6185607E+04  0.6427218E+04  0.7251616E+04  0.8189091E+04  0.8972049E+04  0.9859162E+04  0.1063122E+05  0.1077569E+05  0.1125834E+05  0.1153131E+05  0.1149163E+05  0.1177272E+05  0.1209501E+05  0.1194244E+05  0.1203740E+05  0.1245669E+05  0.1215910E+05  0.1271432E+05  0.1366232E+05  0.1441999E+05  0.1458042E+05  0.1455532E+05  0.1474307E+05  0.1469927E+05  0.1533561E+05  0.1549365E+05  0.1561896E+05  0.1603535E+05  0.1626807E+05  0.1728728E+05  0.1733957E+05  0.1776632E+05  0.1812917E+05  0.1839371E+05  0.1911709E+05  0.1951721E+05  0.1919034E+05  0.1938761E+05  0.1946060E+05  0.1942784E+05  0.2057652E+05  0.2005667E+05  0.2130563E+05  0.2177881E+05  0.2161159E+05  0.2247228E+05  0.2152452E+05  0.2158928E+05  0.2276463E+05  0.2627428E+05  0.3036971E+05  0.3259512E+05  0.3747902E+05  0.4243061E+05  0.4889243E+05  0.5361347E+05  0.6123510E+05  0.7139884E+05  0.7547655E+05
ROAD             0.3666074E+02  0.7236357E+02  0.1083459E+03  0.1143428E+03  0.1203407E+03  0.1263385E+03  0.1023490E+03  0.1095153E+03  0.1166796E+03  0.1238430E+03  0.1329185E+03  0.1426176E+03  0.1580966E+03  0.1767842E+03  0.1851327E+03  0.1998252E+03  0.2134234E+03  0.2213982E+03  0.2392876E+03  0.2526713E+03  0.2741988E+03  0.2930761E+03  0.3177815E+03  0.3401391E+03  0.4076629E+03  0.4307396E+03  0.4484679E+03  0.4830712E+03  0.5269168E+03  0.6023531E+03  0.6380616E+03  0.6688750E+03  0.4774130E+03  0.5102560E+03  0.5516080E+03  0.6036290E+03  0.6590250E+03  0.7299310E+03  0.8028980E+03  0.9415960E+03  0.9628930E+03  0.1031738E+04  0.1100944E+04  0.1171131E+04  0.1263216E+04  0.1434351E+04  0.1543517E+04  0.1598447E+04  0.1653751E+04  0.1743954E+04  0.1760954E+04  0.1730140E+04  0.1782460E+04  0.1810608E+04  0.2056042E+04  0.2194317E+04  0.2462264E+04  0.2919638E+04  0.3364541E+04  0.3965760E+04  0.4379870E+04  0.4885390E+04  0.5325530E+04  0.5573400E+04  0.5935350E+04  0.6635730E+04
OTRA             0.8380761E+03  0.8390680E+03  0.8428926E+03  0.8461141E+03  0.8534835E+03  0.8542166E+03  0.8544321E+03  0.8579879E+03  0.8627168E+03  0.8659715E+03  0.8704316E+03  0.8723711E+03  0.8769510E+03  0.8799459E+03  0.8904612E+03  0.9025071E+03  0.9027226E+03  0.9067527E+03  0.9170636E+03  0.9189598E+03  0.9168048E+03  0.9210393E+03  0.8974444E+03  0.8284712E+03  0.8433407E+03  0.8603574E+03  0.8071694E+03  0.7990449E+03  0.7553269E+03  0.7283084E+03  0.7473302E+03  0.7260264E+03  0.7332887E+03  0.7308457E+03  0.6693090E+03  0.6860685E+03  0.6216250E+03  0.5984150E+03  0.5599347E+03  0.5108924E+03  0.4784371E+03  0.4745602E+03  0.4234769E+03  0.2917636E+03  0.2053067E+03  0.1829937E+03  0.1851979E+03  0.1693526E+03  0.1681353E+03  0.1658515E+03  0.1729860E+03  0.1920994E+03  0.2000400E+03  0.1968213E+03  0.1972938E+03  0.2241846E+03  0.2242906E+03  0.2482269E+03  0.2679332E+03  0.2833842E+03  0.3002609E+03  0.3413044E+03  0.3559772E+03  0.3645940E+03  0.3776775E+03  0.3891430E+03
RESI             0.1235454E+05  0.1258879E+05  0.1282321E+05  0.1305361E+05  0.1329332E+05  0.1356462E+05  0.1380832E+05  0.1405577E+05  0.1429439E+05  0.1453311E+05  0.1478361E+05  0.1512441E+05  0.1547231E+05  0.1582733E+05  0.1616223E+05  0.1651458E+05  0.1687788E+05  0.1724197E+05  0.1760531E+05  0.1796040E+05  0.1830070E+05  0.1876756E+05  0.1919021E+05  0.1961636E+05  0.2002132E+05  0.2049946E+05  0.2101062E+05  0.2151602E+05  0.2202068E+05  0.2251797E+05  0.2286678E+05  0.2322068E+05  0.2357940E+05  0.2391889E+05  0.2427773E+05  0.2462821E+05  0.2499856E+05  0.2541492E+05  0.2579768E+05  0.2618901E+05  0.2655840E+05  0.2661054E+05  0.2663552E+05  0.2647696E+05  0.2630822E+05  0.2621050E+05  0.2606907E+05  0.2598591E+05  0.2588883E+05  0.2570562E+05  0.2559591E+05  0.2530647E+05  0.2510457E+05  0.2485654E+05  0.2470297E+05  0.2454702E+05  0.2434139E+05  0.2411789E+05  0.2384581E+05  0.2356897E+05  0.2323137E+05  0.2352762E+05  0.2376426E+05  0.2407260E+05  0.2440198E+05  0.2468646E+05
ODOM             0.9314484E+03  0.9567898E+03  0.9807359E+03  0.9934517E+03  0.1014490E+04  0.1045586E+04  0.1068379E+04  0.1106685E+04  0.1131805E+04  0.1156194E+04  0.1197866E+04  0.1237151E+04  0.1287240E+04  0.1337047E+04  0.1344282E+04  0.1393976E+04  0.1427686E+04  0.1459099E+04  0.1503137E+04  0.1551382E+04  0.1565613E+04  0.1589094E+04  0.1599594E+04  0.1658049E+04  0.1673491E+04  0.1687331E+04  0.1747508E+04  0.1792337E+04  0.1847898E+04  0.2062567E+04  0.1973099E+04  0.2162300E+04  0.2162730E+04  0.2285070E+04  0.2581427E+04  0.2375354E+04  0.2178958E+04  0.2188322E+04  0.2425573E+04  0.2388326E+04  0.2683744E+04  0.2853554E+04  0.2813236E+04  0.2728067E+04  0.2861402E+04  0.2923013E+04  0.2979492E+04  0.3109290E+04  0.2606698E+04  0.2799604E+04  0.2729190E+04  0.2729924E+04  0.2811575E+04  0.2918749E+04  0.2923981E+04  0.2887173E+04  0.2855745E+04  0.2754723E+04  0.3096224E+04  0.3724620E+04  0.3386401E+04  0.2899947E+04  0.3293091E+04  0.3173413E+04  0.3365584E+04  0.3375948E+04
TOTAL            0.1971070E+05  0.2023612E+05  0.2067668E+05  0.2096778E+05  0.2163838E+05  0.2208675E+05  0.2254562E+05  0.2301045E+05  0.2361124E+05  0.2482948E+05  0.2619055E+05  0.2750844E+05  0.2897825E+05  0.3038106E+05  0.3102616E+05  0.3211571E+05  0.3298665E+05  0.3359424E+05  0.3462830E+05  0.3561624E+05  0.3606806E+05  0.3693091E+05  0.3815709E+05  0.3846622E+05  0.4040483E+05  0.4247279E+05  0.4463923E+05  0.4511733E+05  0.4472778E+05  0.4667097E+05  0.4850405E+05  0.5091993E+05  0.5222182E+05  0.5407350E+05  0.5545627E+05  0.5803681E+05  0.6116221E+05  0.6401329E+05  0.6609267E+05  0.6868865E+05  0.7083687E+05  0.7441952E+05  0.7671006E+05  0.7906838E+05  0.8020861E+05  0.8524838E+05  0.8783357E+05  0.8992523E+05  0.9010196E+05  0.9500808E+05  0.9797148E+05  0.9893947E+05  0.1002516E+06  0.1019706E+06  0.1074225E+06  0.1108230E+06  0.1186943E+06  0.1287957E+06  0.1359264E+06  0.1484662E+06  0.1545009E+06  0.1678095E+06  0.1824419E+06  0.1927690E+06  0.2161625E+06  0.2218788E+06
PP-EXCL-BF       0.2582373E+03  0.2960870E+03  0.3130162E+03  0.3389548E+03  0.4884648E+03  0.5494300E+03  0.6047145E+03  0.6948802E+03  0.7784317E+03  0.8987498E+03  0.1016631E+04  0.1159837E+04  0.1324488E+04  0.1528736E+04  0.1668360E+04  0.1846477E+04  0.2033630E+04  0.2273386E+04  0.2590785E+04  0.2837819E+04  0.3068307E+04  0.3322741E+04  0.3695366E+04  0.3864096E+04  0.4744692E+04  0.5332581E+04  0.6205471E+04  0.5946432E+04  0.5021634E+04  0.6016698E+04  0.7579511E+04  0.8806442E+04  0.9775343E+04  0.1100948E+05  0.1134085E+05  0.1347548E+05  0.1541676E+05  0.1774213E+05  0.1874026E+05  0.2052966E+05  0.2175969E+05  0.2433204E+05  0.2621967E+05  0.2921012E+05  0.3018286E+05  0.3503692E+05  0.3762845E+05  0.3848571E+05  0.3972788E+05  0.4314822E+05  0.4574413E+05  0.4711893E+05  0.4753373E+05  0.5022651E+05  0.5543316E+05  0.5760931E+05  0.6187012E+05  0.6757193E+05  0.7176827E+05  0.7825114E+05  0.7936313E+05  0.8557256E+05  0.9412148E+05  0.9612788E+05  0.1082452E+06  0.1087769E+06
PP-BF            0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1392000E+03  0.1895000E+03  0.2503200E+03  0.3469200E+03  0.4368300E+03  0.5198200E+03  0.5963600E+03  0.6662000E+03  0.8135580E+03  0.9884900E+03  0.1193264E+04  0.1409266E+04  0.1690230E+04  0.1968089E+04  0.2222049E+04  0.2437909E+04  0.2538139E+04
IND-EXCL-BF      0.1525900E+04  0.1646583E+04  0.1701440E+04  0.1643671E+04  0.1820037E+04  0.1827720E+04  0.1917882E+04  0.1925467E+04  0.2096478E+04  0.2850276E+04  0.3717151E+04  0.4399259E+04  0.5185532E+04  0.5856650E+04  0.5900280E+04  0.6282080E+04  0.6454110E+04  0.6313590E+04  0.6493830E+04  0.6715280E+04  0.6461770E+04  0.6422240E+04  0.6713210E+04  0.6285260E+04  0.6706520E+04  0.7516660E+04  0.8133310E+04  0.8149370E+04  0.7976900E+04  0.8014430E+04  0.7877360E+04  0.8419070E+04  0.8480770E+04  0.8508440E+04  0.8825790E+04  0.8958460E+04  0.9876330E+04  0.9825580E+04  0.1014813E+05  0.1040524E+05  0.1056314E+05  0.1136177E+05  0.1184094E+05  0.1165673E+05  0.1199885E+05  0.1217841E+05  0.1226622E+05  0.1352124E+05  0.1310735E+05  0.1437528E+05  0.1493463E+05  0.1488384E+05  0.1586878E+05  0.1504422E+05  0.1524211E+05  0.1655502E+05  0.2019296E+05  0.2442404E+05  0.2679291E+05  0.3182824E+05  0.3693936E+05  0.4332858E+05  0.4797860E+05  0.5553035E+05  0.6562462E+05  0.6963310E+05
