REASv3.2 SECTOR CHN GZ CO2 [kt/year]
                          1950           1951           1952           1953           1954           1955           1956           1957           1958           1959           1960           1961           1962           1963           1964           1965           1966           1967           1968           1969           1970           1971           1972           1973           1974           1975           1976           1977           1978           1979           1980           1981           1982           1983           1984           1985           1986           1987           1988           1989           1990           1991           1992           1993           1994           1995           1996           1997           1998           1999           2000           2001           2002           2003           2004           2005           2006           2007           2008           2009           2010           2011           2012           2013           2014           2015
PP               0.5894423E+02  0.7304046E+02  0.9354298E+02  0.1178905E+03  0.1409523E+03  0.1576108E+03  0.2127091E+03  0.2473068E+03  0.3523907E+03  0.5420380E+03  0.7611504E+03  0.6150755E+03  0.5868810E+03  0.6278920E+03  0.7175880E+03  0.8662343E+03  0.1057142E+04  0.9918087E+03  0.9174906E+03  0.1204518E+04  0.1485162E+04  0.1773510E+04  0.1805025E+04  0.1836571E+04  0.1818166E+04  0.2099577E+04  0.2023163E+04  0.2436573E+04  0.3309311E+04  0.3496779E+04  0.3596769E+04  0.3610857E+04  0.3819166E+04  0.4071873E+04  0.4533770E+04  0.4961184E+04  0.5544328E+04  0.6356938E+04  0.7212743E+04  0.7889243E+04  0.8538250E+04  0.9339851E+04  0.1003130E+05  0.1113392E+05  0.1228971E+05  0.1417127E+05  0.1617500E+05  0.1560700E+05  0.1998000E+05  0.1988473E+05  0.2607700E+05  0.2689300E+05  0.2722800E+05  0.4106900E+05  0.4995000E+05  0.6071800E+05  0.7715700E+05  0.8539780E+05  0.8079704E+05  0.9505864E+05  0.9349617E+05  0.9259815E+05  0.8987548E+05  0.9661686E+05  0.8379536E+05  0.7795812E+05
IND              0.2745606E+03  0.3735112E+03  0.4573826E+03  0.5318044E+03  0.6723448E+03  0.7712974E+03  0.1079408E+04  0.1280842E+04  0.2281233E+04  0.3513635E+04  0.4240233E+04  0.2599008E+04  0.2134113E+04  0.2219104E+04  0.2546558E+04  0.2599145E+04  0.3373785E+04  0.2613383E+04  0.2565293E+04  0.3226677E+04  0.4239572E+04  0.4975899E+04  0.5272748E+04  0.5266553E+04  0.5292299E+04  0.6285555E+04  0.6299202E+04  0.7258130E+04  0.8185004E+04  0.8479657E+04  0.9201495E+04  0.8896814E+04  0.9355387E+04  0.1013396E+05  0.1124156E+05  0.1178133E+05  0.1418176E+05  0.1630575E+05  0.1838452E+05  0.2036087E+05  0.2094787E+05  0.2250563E+05  0.2334283E+05  0.2714736E+05  0.2836644E+05  0.3206822E+05  0.3333676E+05  0.3692646E+05  0.3547103E+05  0.3577553E+05  0.3334356E+05  0.3440665E+05  0.3563500E+05  0.4868943E+05  0.5454640E+05  0.6375398E+05  0.7403880E+05  0.7318489E+05  0.6540593E+05  0.7245232E+05  0.8114877E+05  0.9408051E+05  0.1085502E+06  0.9768258E+05  0.1016489E+06  0.9962829E+05
ROAD             0.4429242E+02  0.5014405E+02  0.5340228E+02  0.6259532E+02  0.7162119E+02  0.8098042E+02  0.9359997E+02  0.1007047E+03  0.1386467E+03  0.1696512E+03  0.1809328E+03  0.1928833E+03  0.1991527E+03  0.2080111E+03  0.2183746E+03  0.2364244E+03  0.2499640E+03  0.2597415E+03  0.2699371E+03  0.2893234E+03  0.3306917E+03  0.3845955E+03  0.4470748E+03  0.5215277E+03  0.6098601E+03  0.6461712E+03  0.6568040E+03  0.7081390E+03  0.7835523E+03  0.8267106E+03  0.7825404E+03  0.7427525E+03  0.7883798E+03  0.8772838E+03  0.9581894E+03  0.1021633E+04  0.1214033E+04  0.1305960E+04  0.1424699E+04  0.1484883E+04  0.1501497E+04  0.1730622E+04  0.1957889E+04  0.2234816E+04  0.2158754E+04  0.2340218E+04  0.2088006E+04  0.2224900E+04  0.2264381E+04  0.2310942E+04  0.2634082E+04  0.2824566E+04  0.2913411E+04  0.3337461E+04  0.4024540E+04  0.4470230E+04  0.4925150E+04  0.5538320E+04  0.7401010E+04  0.7518550E+04  0.8321700E+04  0.8481170E+04  0.9332140E+04  0.1104680E+05  0.1228995E+05  0.1508390E+05
OTRA             0.2883500E+02  0.2896500E+02  0.2974400E+02  0.3091300E+02  0.3182300E+02  0.3325100E+02  0.3442000E+02  0.3468000E+02  0.3922600E+02  0.4195400E+02  0.4403200E+02  0.4481100E+02  0.4494100E+02  0.4546100E+02  0.4585100E+02  0.4727900E+02  0.4909800E+02  0.5013700E+02  0.5039700E+02  0.5104600E+02  0.5325400E+02  0.5559200E+02  0.5862800E+02  0.5947800E+02  0.5886200E+02  0.6999100E+02  0.7099700E+02  0.8082500E+02  0.8641100E+02  0.8801600E+02  0.8188300E+02  0.8829300E+02  0.9203200E+02  0.9285600E+02  0.9657700E+02  0.1041209E+03  0.1050140E+03  0.1107230E+03  0.1154490E+03  0.1166200E+03  0.1166670E+03  0.1174620E+03  0.1162000E+03  0.1169960E+03  0.1163626E+03  0.1506410E+03  0.2493800E+03  0.2827650E+03  0.2660720E+03  0.3060270E+03  0.6547810E+03  0.6106018E+03  0.6440622E+03  0.7208702E+03  0.7642495E+03  0.8590500E+03  0.9229620E+03  0.8909720E+03  0.7346865E+03  0.7572465E+03  0.9853205E+03  0.1025741E+04  0.1659400E+04  0.2551630E+04  0.2548080E+04  0.1476230E+04
RESI             0.5690528E+04  0.5952629E+04  0.6258128E+04  0.6433736E+04  0.6753878E+04  0.7001640E+04  0.7365376E+04  0.7786976E+04  0.9915570E+04  0.1146822E+05  0.1199332E+05  0.1037895E+05  0.9646856E+04  0.9710714E+04  0.9792268E+04  0.1015056E+05  0.1055334E+05  0.9991926E+04  0.1030496E+05  0.1109003E+05  0.1249039E+05  0.1308626E+05  0.1357811E+05  0.1383833E+05  0.1393479E+05  0.1520730E+05  0.1543283E+05  0.1654944E+05  0.1724231E+05  0.1753120E+05  0.1699776E+05  0.1748610E+05  0.1783780E+05  0.1839417E+05  0.1914370E+05  0.2008666E+05  0.2084580E+05  0.2226655E+05  0.2367704E+05  0.2455805E+05  0.2529116E+05  0.2621021E+05  0.2678415E+05  0.2791796E+05  0.2891423E+05  0.3051821E+05  0.3339430E+05  0.3490515E+05  0.3821958E+05  0.3484722E+05  0.3523848E+05  0.3632324E+05  0.4921462E+05  0.5457379E+05  0.5735345E+05  0.5874157E+05  0.5240215E+05  0.4407294E+05  0.3841567E+05  0.3748489E+05  0.3756124E+05  0.3657373E+05  0.3831279E+05  0.3323162E+05  0.3393772E+05  0.3322429E+05
ODOM             0.6135635E+02  0.7571715E+02  0.9433161E+02  0.1003214E+03  0.1204555E+03  0.1335179E+03  0.1579695E+03  0.1882532E+03  0.3867216E+03  0.5295552E+03  0.5718209E+03  0.4032647E+03  0.3217711E+03  0.3187600E+03  0.3193425E+03  0.3482766E+03  0.3821668E+03  0.3157969E+03  0.3392462E+03  0.4142849E+03  0.5542727E+03  0.6231132E+03  0.6637872E+03  0.6842914E+03  0.6867403E+03  0.7997935E+03  0.8135701E+03  0.9187168E+03  0.9875157E+03  0.1005820E+04  0.9291697E+03  0.9550785E+03  0.1032235E+04  0.1100358E+04  0.1207414E+04  0.1292782E+04  0.2044512E+04  0.2899850E+04  0.3789239E+04  0.4543770E+04  0.5240267E+04  0.6004105E+04  0.6647688E+04  0.7514801E+04  0.8305913E+04  0.9546928E+04  0.9150999E+04  0.1190307E+05  0.3040144E+05  0.1176541E+05  0.1175549E+05  0.1193021E+05  0.1288068E+05  0.1425208E+05  0.1375333E+05  0.1413979E+05  0.1418586E+05  0.1419454E+05  0.2155150E+05  0.2410811E+05  0.2404637E+05  0.2428186E+05  0.2548618E+05  0.4006756E+05  0.4231656E+05  0.4647724E+05
TOTAL            0.6158517E+04  0.6554007E+04  0.6986531E+04  0.7277261E+04  0.7791075E+04  0.8178298E+04  0.8943483E+04  0.9638763E+04  0.1311379E+05  0.1626505E+05  0.1779149E+05  0.1423399E+05  0.1293371E+05  0.1312994E+05  0.1363998E+05  0.1424792E+05  0.1566550E+05  0.1422279E+05  0.1444732E+05  0.1627588E+05  0.1915334E+05  0.2089897E+05  0.2182537E+05  0.2220675E+05  0.2240072E+05  0.2510839E+05  0.2529657E+05  0.2795182E+05  0.3059410E+05  0.3142818E+05  0.3158962E+05  0.3177990E+05  0.3292500E+05  0.3467050E+05  0.3718121E+05  0.3924771E+05  0.4393545E+05  0.4924577E+05  0.5460369E+05  0.5895344E+05  0.6163571E+05  0.6590788E+05  0.6888006E+05  0.7606585E+05  0.8015141E+05  0.8879549E+05  0.9439444E+05  0.1018493E+06  0.1266025E+06  0.1048899E+06  0.1097034E+06  0.1129883E+06  0.1285158E+06  0.1626426E+06  0.1803920E+06  0.2026826E+06  0.2236319E+06  0.2232795E+06  0.2143058E+06  0.2373798E+06  0.2455596E+06  0.2570412E+06  0.2732162E+06  0.2811970E+06  0.2765366E+06  0.2738481E+06
PP-EXCL-BF       0.5894423E+02  0.7304046E+02  0.9354298E+02  0.1178905E+03  0.1409523E+03  0.1576108E+03  0.2127091E+03  0.2473068E+03  0.3523907E+03  0.5420380E+03  0.7611504E+03  0.6150755E+03  0.5868810E+03  0.6278920E+03  0.7175880E+03  0.8662343E+03  0.1057142E+04  0.9918087E+03  0.9174906E+03  0.1204518E+04  0.1485162E+04  0.1773510E+04  0.1805025E+04  0.1836571E+04  0.1818166E+04  0.2099577E+04  0.2023163E+04  0.2436573E+04  0.3309311E+04  0.3496779E+04  0.3596769E+04  0.3610857E+04  0.3819166E+04  0.4071873E+04  0.4533770E+04  0.4961184E+04  0.5544328E+04  0.6356938E+04  0.7212743E+04  0.7889243E+04  0.8538250E+04  0.9339851E+04  0.1003130E+05  0.1113392E+05  0.1228971E+05  0.1417127E+05  0.1617500E+05  0.1560700E+05  0.1998000E+05  0.1988473E+05  0.2607700E+05  0.2689300E+05  0.2722800E+05  0.4106900E+05  0.4995000E+05  0.6071800E+05  0.7715700E+05  0.8539780E+05  0.8079704E+05  0.9505864E+05  0.9349617E+05  0.9259815E+05  0.8987548E+05  0.9661686E+05  0.8379536E+05  0.7795812E+05
PP-BF            0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
IND-EXCL-BF      0.2745606E+03  0.3735112E+03  0.4573826E+03  0.5318044E+03  0.6723448E+03  0.7712974E+03  0.1079408E+04  0.1280842E+04  0.2281233E+04  0.3513635E+04  0.4240233E+04  0.2599008E+04  0.2134113E+04  0.2219104E+04  0.2546558E+04  0.2599145E+04  0.3373785E+04  0.2613383E+04  0.2565293E+04  0.3226677E+04  0.4239572E+04  0.4975899E+04  0.5272748E+04  0.5266553E+04  0.5292299E+04  0.6285555E+04  0.6299202E+04  0.7258130E+04  0.8185004E+04  0.8479657E+04  0.9201495E+04  0.8896814E+04  0.9355387E+04  0.1013396E+05  0.1124156E+05  0.1178133E+05  0.1418176E+05  0.1630575E+05  0.1838452E+05  0.2036087E+05  0.2094787E+05  0.2250563E+05  0.2334283E+05  0.2714736E+05  0.2836644E+05  0.3206822E+05  0.3333676E+05  0.3692646E+05  0.3547103E+05  0.3577553E+05  0.3334356E+05  0.3440665E+05  0.3563500E+05  0.4868943E+05  0.5454640E+05  0.6375398E+05  0.7403880E+05  0.7318489E+05  0.6540593E+05  0.7245232E+05  0.8114877E+05  0.9408051E+05  0.1085502E+06  0.9768258E+05  0.1016489E+06  0.9962829E+05
IND-BF           0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
RESI-EXCL-BF     0.6221280E+03  0.7669290E+03  0.9551280E+03  0.1013436E+04  0.1216278E+04  0.1346740E+04  0.1593076E+04  0.1897476E+04  0.3908770E+04  0.5344020E+04  0.5751820E+04  0.4032150E+04  0.3194856E+04  0.3153414E+04  0.3129668E+04  0.3382660E+04  0.3680140E+04  0.3013526E+04  0.3221260E+04  0.3901030E+04  0.5196090E+04  0.5767960E+04  0.6077810E+04  0.6164730E+04  0.6100990E+04  0.7233900E+04  0.7335130E+04  0.8340640E+04  0.8922810E+04  0.9100100E+04  0.8460160E+04  0.8850800E+04  0.9103000E+04  0.9570470E+04  0.1026470E+05  0.1112716E+05  0.1170780E+05  0.1294564E+05  0.1417023E+05  0.1486174E+05  0.1540594E+05  0.1612319E+05  0.1649492E+05  0.1742230E+05  0.1820784E+05  0.1980998E+05  0.2181698E+05  0.2245699E+05  0.2490058E+05  0.2065707E+05  0.2017546E+05  0.1986981E+05  0.2023179E+05  0.2001538E+05  0.1986363E+05  0.1977733E+05  0.1801053E+05  0.1794187E+05  0.1258432E+05  0.1184629E+05  0.1306694E+05  0.1382683E+05  0.1710269E+05  0.1389322E+05  0.1553722E+05  0.1536039E+05
