REASv3.2 SECTOR IND MA CO2 [kt/year]
                          1950           1951           1952           1953           1954           1955           1956           1957           1958           1959           1960           1961           1962           1963           1964           1965           1966           1967           1968           1969           1970           1971           1972           1973           1974           1975           1976           1977           1978           1979           1980           1981           1982           1983           1984           1985           1986           1987           1988           1989           1990           1991           1992           1993           1994           1995           1996           1997           1998           1999           2000           2001           2002           2003           2004           2005           2006           2007           2008           2009           2010           2011           2012           2013           2014           2015
PP               0.1995732E+03  0.2288220E+03  0.2423275E+03  0.2624140E+03  0.3781718E+03  0.4256683E+03  0.4685810E+03  0.5385200E+03  0.6032960E+03  0.6961570E+03  0.7887960E+03  0.9112870E+03  0.1040710E+04  0.1201360E+04  0.1313833E+04  0.1461074E+04  0.1607620E+04  0.1798206E+04  0.2047308E+04  0.2239962E+04  0.2431921E+04  0.2647498E+04  0.2960390E+04  0.3067210E+04  0.3717590E+04  0.4154070E+04  0.4854270E+04  0.4746440E+04  0.4167310E+04  0.5209810E+04  0.6721450E+04  0.7742920E+04  0.8697210E+04  0.9750480E+04  0.1102101E+05  0.1272577E+05  0.1464854E+05  0.1694191E+05  0.1747808E+05  0.1915993E+05  0.2086050E+05  0.2371318E+05  0.2589617E+05  0.2833351E+05  0.2953475E+05  0.3384025E+05  0.3652841E+05  0.3839322E+05  0.4005417E+05  0.4354559E+05  0.4572656E+05  0.4717213E+05  0.4803843E+05  0.5071210E+05  0.5531109E+05  0.5627435E+05  0.5975446E+05  0.6656626E+05  0.6719718E+05  0.7605586E+05  0.8015762E+05  0.8397741E+05  0.9312822E+05  0.9625076E+05  0.1082583E+06  0.1104567E+06
IND              0.4352303E+04  0.4506562E+04  0.4639801E+04  0.4702207E+04  0.4866456E+04  0.5195261E+04  0.5410884E+04  0.5687331E+04  0.5860284E+04  0.6039971E+04  0.6356550E+04  0.6596146E+04  0.6916849E+04  0.7287247E+04  0.7364610E+04  0.7743420E+04  0.8146234E+04  0.8416895E+04  0.8793256E+04  0.9199062E+04  0.9326944E+04  0.9586058E+04  0.1035382E+05  0.1069642E+05  0.1140462E+05  0.1151457E+05  0.1190155E+05  0.1260630E+05  0.1220908E+05  0.1256933E+05  0.1205791E+05  0.1288559E+05  0.1555129E+05  0.1603102E+05  0.1771048E+05  0.1810275E+05  0.2003483E+05  0.2135035E+05  0.2174120E+05  0.2325108E+05  0.2326534E+05  0.2294071E+05  0.2325382E+05  0.2374647E+05  0.2545943E+05  0.2406177E+05  0.2420786E+05  0.2597831E+05  0.2707852E+05  0.2839066E+05  0.2843546E+05  0.2932835E+05  0.2976220E+05  0.2855440E+05  0.2999197E+05  0.3473517E+05  0.4053850E+05  0.4652091E+05  0.5003201E+05  0.5749007E+05  0.6456299E+05  0.6864458E+05  0.6582100E+05  0.7125907E+05  0.7310786E+05  0.7312871E+05
ROAD             0.2673204E+03  0.5189382E+03  0.7787517E+03  0.8220420E+03  0.8653614E+03  0.9086517E+03  0.7354513E+03  0.7948772E+03  0.8542920E+03  0.9137179E+03  0.9771547E+03  0.1053434E+04  0.1168593E+04  0.1312929E+04  0.1373060E+04  0.1486899E+04  0.1599536E+04  0.1655275E+04  0.1791341E+04  0.1897170E+04  0.2063360E+04  0.2241758E+04  0.2415928E+04  0.2554485E+04  0.2939911E+04  0.3084209E+04  0.3229060E+04  0.3475096E+04  0.3794937E+04  0.4290832E+04  0.4548162E+04  0.4774830E+04  0.3533030E+04  0.3784030E+04  0.4096310E+04  0.4468400E+04  0.4870290E+04  0.5392380E+04  0.5914420E+04  0.6904900E+04  0.7049710E+04  0.7501930E+04  0.7976470E+04  0.8477040E+04  0.9135280E+04  0.1035830E+05  0.1116905E+05  0.1159024E+05  0.1200584E+05  0.1267887E+05  0.1294624E+05  0.1283384E+05  0.1294711E+05  0.1289973E+05  0.1407296E+05  0.1417615E+05  0.1514606E+05  0.1781288E+05  0.2035349E+05  0.2278618E+05  0.2442729E+05  0.2635906E+05  0.2848155E+05  0.2942384E+05  0.3099147E+05  0.3422017E+05
OTRA             0.2031086E+04  0.2033453E+04  0.2042717E+04  0.2050582E+04  0.2068366E+04  0.2070198E+04  0.2070732E+04  0.2079352E+04  0.2090772E+04  0.2098637E+04  0.2109522E+04  0.2114155E+04  0.2125253E+04  0.2132573E+04  0.2158011E+04  0.2187204E+04  0.2187738E+04  0.2197546E+04  0.2222540E+04  0.2227072E+04  0.2221896E+04  0.2232137E+04  0.2174926E+04  0.2007839E+04  0.2043893E+04  0.2085086E+04  0.1956166E+04  0.1936491E+04  0.1830531E+04  0.1765066E+04  0.1811179E+04  0.1759486E+04  0.1777763E+04  0.1772953E+04  0.1622800E+04  0.1666144E+04  0.1510200E+04  0.1455305E+04  0.1360262E+04  0.1249311E+04  0.1172125E+04  0.1165548E+04  0.1038743E+04  0.7202060E+03  0.5052831E+03  0.4505121E+03  0.4565230E+03  0.4183652E+03  0.4180331E+03  0.4240560E+03  0.4415780E+03  0.5025050E+03  0.5159990E+03  0.5154320E+03  0.5185170E+03  0.5839460E+03  0.5729870E+03  0.6224420E+03  0.6524740E+03  0.6692910E+03  0.6945330E+03  0.8144880E+03  0.8318150E+03  0.8493060E+03  0.8577200E+03  0.8825510E+03
RESI             0.1518020E+05  0.1548353E+05  0.1578169E+05  0.1605642E+05  0.1639767E+05  0.1694254E+05  0.1731015E+05  0.1769271E+05  0.1802560E+05  0.1835329E+05  0.1876174E+05  0.1922700E+05  0.1974561E+05  0.2030368E+05  0.2074441E+05  0.2128558E+05  0.2191110E+05  0.2253509E+05  0.2315838E+05  0.2371739E+05  0.2419337E+05  0.2489850E+05  0.2542234E+05  0.2592462E+05  0.2626542E+05  0.2698312E+05  0.2782561E+05  0.2857071E+05  0.2926690E+05  0.2985924E+05  0.3051965E+05  0.3127453E+05  0.3206204E+05  0.3274072E+05  0.3293861E+05  0.3326925E+05  0.3374144E+05  0.3447824E+05  0.3506351E+05  0.3571958E+05  0.3618835E+05  0.3660421E+05  0.3698570E+05  0.3739062E+05  0.3759175E+05  0.3778692E+05  0.3780213E+05  0.3823294E+05  0.3866803E+05  0.3881008E+05  0.3945557E+05  0.3951241E+05  0.4023057E+05  0.4085240E+05  0.4164136E+05  0.4222105E+05  0.4290546E+05  0.4343730E+05  0.4404889E+05  0.4497302E+05  0.4574784E+05  0.4648760E+05  0.4680301E+05  0.4757693E+05  0.4866342E+05  0.4943352E+05
ODOM             0.1658228E+04  0.1736637E+04  0.1806736E+04  0.1809219E+04  0.1861848E+04  0.1974795E+04  0.2037982E+04  0.2194374E+04  0.2271390E+04  0.2344200E+04  0.2520715E+04  0.2651294E+04  0.2846841E+04  0.3040696E+04  0.2978549E+04  0.3174170E+04  0.3271651E+04  0.3356578E+04  0.3517754E+04  0.3704891E+04  0.3684241E+04  0.3685853E+04  0.3616102E+04  0.3830863E+04  0.3792993E+04  0.3727155E+04  0.3943845E+04  0.4060695E+04  0.4242418E+04  0.5371733E+04  0.4739661E+04  0.5781142E+04  0.5684378E+04  0.6321107E+04  0.7815768E+04  0.6405617E+04  0.5126743E+04  0.5038600E+04  0.6209918E+04  0.5861434E+04  0.7331653E+04  0.8313206E+04  0.8171080E+04  0.7854564E+04  0.8536987E+04  0.8786013E+04  0.8980678E+04  0.9437075E+04  0.6948960E+04  0.7711719E+04  0.7474206E+04  0.7703972E+04  0.8075684E+04  0.8660227E+04  0.8753970E+04  0.8780208E+04  0.8756107E+04  0.8749978E+04  0.1035709E+05  0.1330449E+05  0.1210817E+05  0.1008292E+05  0.1174415E+05  0.1113263E+05  0.1193444E+05  0.1207056E+05
TOTAL            0.2368871E+05  0.2450794E+05  0.2529202E+05  0.2570288E+05  0.2643787E+05  0.2751711E+05  0.2803378E+05  0.2898716E+05  0.2970563E+05  0.3044597E+05  0.3151448E+05  0.3255332E+05  0.3384386E+05  0.3527849E+05  0.3593247E+05  0.3733835E+05  0.3872388E+05  0.3995959E+05  0.4153058E+05  0.4298555E+05  0.4392173E+05  0.4529180E+05  0.4694351E+05  0.4808144E+05  0.5016443E+05  0.5154821E+05  0.5371050E+05  0.5539573E+05  0.5551118E+05  0.5906601E+05  0.6039801E+05  0.6421850E+05  0.6730571E+05  0.7040031E+05  0.7520498E+05  0.7663793E+05  0.7993204E+05  0.8465679E+05  0.8776739E+05  0.9214624E+05  0.9586768E+05  0.1002388E+06  0.1033220E+06  0.1065224E+06  0.1107635E+06  0.1152838E+06  0.1191447E+06  0.1240502E+06  0.1251736E+06  0.1315610E+06  0.1344796E+06  0.1370532E+06  0.1395700E+06  0.1421943E+06  0.1502899E+06  0.1567709E+06  0.1676736E+06  0.1837098E+06  0.1926411E+06  0.2152789E+06  0.2276984E+06  0.2363661E+06  0.2468097E+06  0.2564925E+06  0.2738132E+06  0.2801922E+06
PP-EXCL-BF       0.1995732E+03  0.2288220E+03  0.2423275E+03  0.2624140E+03  0.3781718E+03  0.4256683E+03  0.4685810E+03  0.5385200E+03  0.6032960E+03  0.6961570E+03  0.7887960E+03  0.9112870E+03  0.1040710E+04  0.1201360E+04  0.1313833E+04  0.1461074E+04  0.1607620E+04  0.1798206E+04  0.2047308E+04  0.2239962E+04  0.2431921E+04  0.2647498E+04  0.2960390E+04  0.3067210E+04  0.3717590E+04  0.4154070E+04  0.4854270E+04  0.4746440E+04  0.4167310E+04  0.5209810E+04  0.6721450E+04  0.7742920E+04  0.8697210E+04  0.9750480E+04  0.1102101E+05  0.1272577E+05  0.1464854E+05  0.1694191E+05  0.1747808E+05  0.1915993E+05  0.2086050E+05  0.2371318E+05  0.2589617E+05  0.2833351E+05  0.2953475E+05  0.3384025E+05  0.3652841E+05  0.3839322E+05  0.4005417E+05  0.4339446E+05  0.4551445E+05  0.4688298E+05  0.4762451E+05  0.5017321E+05  0.5464730E+05  0.5548516E+05  0.5883967E+05  0.6539749E+05  0.6572139E+05  0.7420604E+05  0.7788055E+05  0.8125479E+05  0.8995720E+05  0.9266994E+05  0.1043293E+06  0.1063661E+06
PP-BF            0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1511300E+03  0.2121100E+03  0.2891500E+03  0.4139200E+03  0.5388900E+03  0.6637900E+03  0.7891900E+03  0.9147900E+03  0.1168772E+04  0.1475788E+04  0.1849821E+04  0.2277069E+04  0.2722621E+04  0.3171023E+04  0.3580824E+04  0.3929026E+04  0.4090598E+04
IND-EXCL-BF      0.1139903E+04  0.1233992E+04  0.1306951E+04  0.1309177E+04  0.1413156E+04  0.1681681E+04  0.1837124E+04  0.2053301E+04  0.2166074E+04  0.2285481E+04  0.2541890E+04  0.2695406E+04  0.2930019E+04  0.3214437E+04  0.3205720E+04  0.3498450E+04  0.3815284E+04  0.3999865E+04  0.4290146E+04  0.4609972E+04  0.4651764E+04  0.4796208E+04  0.5454460E+04  0.5685790E+04  0.6279750E+04  0.6272150E+04  0.6538840E+04  0.7120450E+04  0.6597490E+04  0.6829560E+04  0.6238610E+04  0.6985550E+04  0.9569050E+04  0.9965480E+04  0.1156053E+05  0.1186741E+05  0.1371299E+05  0.1494070E+05  0.1524262E+05  0.1666229E+05  0.1658564E+05  0.1616263E+05  0.1637615E+05  0.1682291E+05  0.1848996E+05  0.1700700E+05  0.1707738E+05  0.1875357E+05  0.1975394E+05  0.2086624E+05  0.2077430E+05  0.2155711E+05  0.2188349E+05  0.2056000E+05  0.2188687E+05  0.2651771E+05  0.3218801E+05  0.3803807E+05  0.4141812E+05  0.4874719E+05  0.5569341E+05  0.5965768E+05  0.5671932E+05  0.6204462E+05  0.6378115E+05  0.6369013E+05
