REASv3.2 SECTOR CHN HA CO2 [kt/year]
                          1950           1951           1952           1953           1954           1955           1956           1957           1958           1959           1960           1961           1962           1963           1964           1965           1966           1967           1968           1969           1970           1971           1972           1973           1974           1975           1976           1977           1978           1979           1980           1981           1982           1983           1984           1985           1986           1987           1988           1989           1990           1991           1992           1993           1994           1995           1996           1997           1998           1999           2000           2001           2002           2003           2004           2005           2006           2007           2008           2009           2010           2011           2012           2013           2014           2015
PP               0.2602200E+03  0.3224490E+03  0.4129637E+03  0.5204400E+03  0.6222692E+03  0.6958125E+03  0.9390610E+03  0.1091785E+04  0.1555673E+04  0.2392935E+04  0.3360262E+04  0.2715344E+04  0.2590886E+04  0.2771916E+04  0.3167918E+04  0.3824150E+04  0.4667019E+04  0.4378553E+04  0.4050437E+04  0.5317544E+04  0.6556415E+04  0.7829329E+04  0.7974033E+04  0.8123956E+04  0.8046912E+04  0.9299749E+04  0.8969904E+04  0.1079605E+05  0.1464627E+05  0.1548886E+05  0.1593754E+05  0.1599576E+05  0.1691023E+05  0.1801908E+05  0.2005247E+05  0.2193584E+05  0.2434317E+05  0.2776236E+05  0.3143840E+05  0.3432434E+05  0.3715186E+05  0.4068996E+05  0.4375750E+05  0.4862968E+05  0.5375303E+05  0.6203788E+05  0.6760288E+05  0.6925515E+05  0.6818099E+05  0.6722069E+05  0.7622804E+05  0.8568893E+05  0.9779917E+05  0.1134002E+06  0.1453006E+06  0.1572788E+06  0.1665967E+06  0.1952662E+06  0.2016163E+06  0.2006131E+06  0.2321484E+06  0.2620188E+06  0.2530171E+06  0.2696503E+06  0.2608544E+06  0.2452072E+06
IND              0.2598695E+03  0.3718551E+03  0.4551206E+03  0.5477790E+03  0.6730319E+03  0.7318363E+03  0.9785217E+03  0.1159794E+04  0.2039035E+04  0.3203864E+04  0.3640764E+04  0.1986092E+04  0.1586638E+04  0.1716223E+04  0.2138808E+04  0.2460738E+04  0.3131112E+04  0.2437540E+04  0.2267983E+04  0.3152387E+04  0.4267569E+04  0.5110440E+04  0.5575829E+04  0.5884350E+04  0.6455749E+04  0.7631119E+04  0.7755514E+04  0.9377567E+04  0.1037535E+05  0.1081550E+05  0.1473076E+05  0.1418792E+05  0.1498499E+05  0.1608495E+05  0.1766455E+05  0.2021856E+05  0.2611895E+05  0.3275890E+05  0.3940725E+05  0.4497742E+05  0.4749368E+05  0.5292968E+05  0.5894313E+05  0.6810965E+05  0.7372633E+05  0.8453641E+05  0.8170640E+05  0.8471775E+05  0.8902273E+05  0.9281486E+05  0.1065848E+06  0.1032458E+06  0.9357113E+05  0.1013546E+06  0.1050672E+06  0.1676477E+06  0.2074405E+06  0.2676751E+06  0.2735338E+06  0.2971608E+06  0.3392010E+06  0.3291332E+06  0.2942287E+06  0.2689659E+06  0.2683830E+06  0.2624959E+06
ROAD             0.2325386E+02  0.3488023E+02  0.6394823E+02  0.7557461E+02  0.8720106E+02  0.1511493E+03  0.1802170E+03  0.1918437E+03  0.4534475E+03  0.5755221E+03  0.5987844E+03  0.5987844E+03  0.6104111E+03  0.6278556E+03  0.6220378E+03  0.6394823E+03  0.6511090E+03  0.7150592E+03  0.7731907E+03  0.8778291E+03  0.9941027E+03  0.1127812E+04  0.1309997E+04  0.1526408E+04  0.1772892E+04  0.1870919E+04  0.1905471E+04  0.2052302E+04  0.2272845E+04  0.2389719E+04  0.2246132E+04  0.2134048E+04  0.2270785E+04  0.2525273E+04  0.2752662E+04  0.2959054E+04  0.3505140E+04  0.3785975E+04  0.4153726E+04  0.4372130E+04  0.4502011E+04  0.5042302E+04  0.5588345E+04  0.6247975E+04  0.5985776E+04  0.6400688E+04  0.6536177E+04  0.6641303E+04  0.7413871E+04  0.7322654E+04  0.7795783E+04  0.8092029E+04  0.8731994E+04  0.9816363E+04  0.1469094E+05  0.1488104E+05  0.1608415E+05  0.1622863E+05  0.1672522E+05  0.1735138E+05  0.2141826E+05  0.2466339E+05  0.2733414E+05  0.3200608E+05  0.3779558E+05  0.3762914E+05
OTRA             0.7006900E+03  0.7038500E+03  0.7227800E+03  0.7511900E+03  0.7732800E+03  0.8080000E+03  0.8364100E+03  0.8427200E+03  0.9531900E+03  0.1019500E+04  0.1070000E+04  0.1088900E+04  0.1092100E+04  0.1104700E+04  0.1114200E+04  0.1148900E+04  0.1193100E+04  0.1218300E+04  0.1224600E+04  0.1240400E+04  0.1294100E+04  0.1350900E+04  0.1424600E+04  0.1445300E+04  0.1430300E+04  0.1700800E+04  0.1725200E+04  0.1964000E+04  0.2099800E+04  0.2138800E+04  0.1989700E+04  0.2145500E+04  0.2236400E+04  0.2256400E+04  0.2346800E+04  0.2320019E+04  0.2247000E+04  0.2249970E+04  0.2227051E+04  0.2124522E+04  0.1996502E+04  0.1877970E+04  0.1721150E+04  0.1602120E+04  0.1454892E+04  0.1401263E+04  0.1522390E+04  0.1576180E+04  0.1560108E+04  0.1474080E+04  0.1832960E+04  0.1662390E+04  0.1358230E+04  0.1135530E+04  0.2128587E+04  0.1924290E+04  0.1846260E+04  0.2213390E+04  0.2211110E+04  0.2279600E+04  0.2463620E+04  0.2868240E+04  0.2400600E+04  0.2732750E+04  0.2657820E+04  0.3090560E+04
RESI             0.1707934E+05  0.1780518E+05  0.1864216E+05  0.1914804E+05  0.2002107E+05  0.2071141E+05  0.2169470E+05  0.2282563E+05  0.2829123E+05  0.3229167E+05  0.3367849E+05  0.2963217E+05  0.2782546E+05  0.2803933E+05  0.2829363E+05  0.2924800E+05  0.3031365E+05  0.2894502E+05  0.2978709E+05  0.3181375E+05  0.3539263E+05  0.3688675E+05  0.3823105E+05  0.3898169E+05  0.3933349E+05  0.4264139E+05  0.4328168E+05  0.4618066E+05  0.4798243E+05  0.4876578E+05  0.4749023E+05  0.4875745E+05  0.4973351E+05  0.5116096E+05  0.5306329E+05  0.5558676E+05  0.5476197E+05  0.5548923E+05  0.5607820E+05  0.5566257E+05  0.5507285E+05  0.5481556E+05  0.5413031E+05  0.5425916E+05  0.5413418E+05  0.5427718E+05  0.5290493E+05  0.5299402E+05  0.5065592E+05  0.4868946E+05  0.4489762E+05  0.4387936E+05  0.4516388E+05  0.4248434E+05  0.4877141E+05  0.5914142E+05  0.7036643E+05  0.5999530E+05  0.5886663E+05  0.5901576E+05  0.5667300E+05  0.5795244E+05  0.5916909E+05  0.5591687E+05  0.5330288E+05  0.5395532E+05
ODOM             0.1296549E+03  0.1609165E+03  0.2009013E+03  0.2163610E+03  0.2605064E+03  0.2903244E+03  0.3438144E+03  0.4109969E+03  0.8317501E+03  0.1149200E+04  0.1261496E+04  0.9176920E+03  0.7580717E+03  0.7643682E+03  0.7997102E+03  0.9073701E+03  0.1032182E+04  0.8846360E+03  0.9687631E+03  0.1220830E+04  0.1660084E+04  0.1950822E+04  0.2137669E+04  0.2298750E+04  0.2389465E+04  0.2638236E+04  0.2703371E+04  0.2988783E+04  0.3258239E+04  0.3318831E+04  0.3071573E+04  0.3021991E+04  0.3257319E+04  0.3470406E+04  0.3866367E+04  0.3660022E+04  0.3494031E+04  0.3564719E+04  0.3681850E+04  0.3649823E+04  0.3549689E+04  0.3612327E+04  0.3707925E+04  0.3987961E+04  0.3681738E+04  0.3922298E+04  0.3104987E+04  0.2983582E+04  0.2838237E+04  0.3205914E+04  0.3369295E+04  0.3412387E+04  0.3630014E+04  0.3623742E+04  0.3552750E+04  0.5308378E+04  0.5880779E+04  0.5819157E+04  0.6235958E+04  0.5947317E+04  0.6375409E+04  0.7795640E+04  0.9019955E+04  0.1071499E+05  0.1612714E+05  0.1569160E+05
TOTAL            0.1845303E+05  0.1939913E+05  0.2049787E+05  0.2125938E+05  0.2243736E+05  0.2338853E+05  0.2497272E+05  0.2652277E+05  0.3412433E+05  0.4063269E+05  0.4360980E+05  0.3693898E+05  0.3446357E+05  0.3502439E+05  0.3613630E+05  0.3822864E+05  0.4098817E+05  0.3857911E+05  0.3907206E+05  0.4362274E+05  0.5016490E+05  0.5425605E+05  0.5665318E+05  0.5826045E+05  0.5942881E+05  0.6578221E+05  0.6634114E+05  0.7335936E+05  0.8063493E+05  0.8291749E+05  0.8546593E+05  0.8624267E+05  0.8939323E+05  0.9351707E+05  0.9974614E+05  0.1066803E+06  0.1144703E+06  0.1256112E+06  0.1369865E+06  0.1451108E+06  0.1497666E+06  0.1589678E+06  0.1678484E+06  0.1828365E+06  0.1927359E+06  0.2125757E+06  0.2133778E+06  0.2181680E+06  0.2196719E+06  0.2207277E+06  0.2407085E+06  0.2459809E+06  0.2502544E+06  0.2718148E+06  0.3195115E+06  0.4061816E+06  0.4682148E+06  0.5471978E+06  0.5591890E+06  0.5823680E+06  0.6582797E+06  0.6844317E+06  0.6451696E+06  0.6399869E+06  0.6391208E+06  0.6180697E+06
PP-EXCL-BF       0.2602200E+03  0.3224490E+03  0.4129637E+03  0.5204400E+03  0.6222692E+03  0.6958125E+03  0.9390610E+03  0.1091785E+04  0.1555673E+04  0.2392935E+04  0.3360262E+04  0.2715344E+04  0.2590886E+04  0.2771916E+04  0.3167918E+04  0.3824150E+04  0.4667019E+04  0.4378553E+04  0.4050437E+04  0.5317544E+04  0.6556415E+04  0.7829329E+04  0.7974033E+04  0.8123956E+04  0.8046912E+04  0.9299749E+04  0.8969904E+04  0.1079605E+05  0.1464627E+05  0.1548886E+05  0.1593754E+05  0.1599576E+05  0.1691023E+05  0.1801908E+05  0.2005247E+05  0.2193584E+05  0.2434317E+05  0.2776236E+05  0.3143840E+05  0.3432434E+05  0.3715186E+05  0.4068996E+05  0.4375750E+05  0.4862968E+05  0.5375303E+05  0.6203788E+05  0.6760288E+05  0.6925515E+05  0.6818099E+05  0.6722069E+05  0.7622804E+05  0.8568893E+05  0.9779917E+05  0.1134002E+06  0.1453006E+06  0.1572788E+06  0.1665967E+06  0.1952662E+06  0.2016163E+06  0.2006131E+06  0.2321484E+06  0.2620188E+06  0.2530171E+06  0.2696503E+06  0.2608544E+06  0.2452072E+06
PP-BF            0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
IND-EXCL-BF      0.2598695E+03  0.3718551E+03  0.4551206E+03  0.5477790E+03  0.6730319E+03  0.7318363E+03  0.9785217E+03  0.1159794E+04  0.2039035E+04  0.3203864E+04  0.3640764E+04  0.1986092E+04  0.1586638E+04  0.1716223E+04  0.2138808E+04  0.2460738E+04  0.3131112E+04  0.2437540E+04  0.2267983E+04  0.3152387E+04  0.4267569E+04  0.5110440E+04  0.5575829E+04  0.5884350E+04  0.6455749E+04  0.7631119E+04  0.7755514E+04  0.9377567E+04  0.1037535E+05  0.1081550E+05  0.1473076E+05  0.1418792E+05  0.1498499E+05  0.1608495E+05  0.1766455E+05  0.2021856E+05  0.2611895E+05  0.3275890E+05  0.3940725E+05  0.4497742E+05  0.4749368E+05  0.5292968E+05  0.5894313E+05  0.6810965E+05  0.7372633E+05  0.8453641E+05  0.8170640E+05  0.8471775E+05  0.8902273E+05  0.9281486E+05  0.1065848E+06  0.1032458E+06  0.9357113E+05  0.1013546E+06  0.1050672E+06  0.1676477E+06  0.2074405E+06  0.2676751E+06  0.2735338E+06  0.2971608E+06  0.3392010E+06  0.3291332E+06  0.2942287E+06  0.2689659E+06  0.2683830E+06  0.2624959E+06
