REASv3.2 SECTOR CHN HI CO2 [kt/year]
                          1950           1951           1952           1953           1954           1955           1956           1957           1958           1959           1960           1961           1962           1963           1964           1965           1966           1967           1968           1969           1970           1971           1972           1973           1974           1975           1976           1977           1978           1979           1980           1981           1982           1983           1984           1985           1986           1987           1988           1989           1990           1991           1992           1993           1994           1995           1996           1997           1998           1999           2000           2001           2002           2003           2004           2005           2006           2007           2008           2009           2010           2011           2012           2013           2014           2015
PP               0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1939550E+03  0.3843370E+03  0.5796910E+03  0.7574110E+03  0.9302870E+03  0.1122746E+04  0.1306180E+04  0.1551400E+04  0.1779720E+04  0.2142820E+04  0.1985480E+04  0.1804372E+04  0.5256200E+04  0.2389136E+04  0.2517409E+04  0.2720799E+04  0.3220369E+04  0.3718013E+04  0.4691094E+04  0.5753237E+04  0.6801035E+04  0.7796796E+04  0.8138613E+04  0.8557139E+04  0.1058096E+05  0.1293730E+05  0.1468082E+05  0.1607263E+05  0.1683599E+05  0.1804494E+05
IND              0.1390100E+01  0.2455000E+01  0.2819800E+01  0.3825400E+01  0.4535200E+01  0.4436600E+01  0.6300100E+01  0.6763400E+01  0.9168700E+01  0.1209800E+02  0.1543000E+02  0.6122600E+01  0.8342600E+01  0.1622320E+02  0.2500400E+02  0.3492800E+02  0.4124200E+02  0.3761900E+02  0.3730900E+02  0.4578400E+02  0.5594100E+02  0.6829600E+02  0.7858100E+02  0.8576400E+02  0.9171700E+02  0.1068724E+03  0.1086004E+03  0.1201545E+03  0.1315788E+03  0.1376658E+03  0.1502128E+03  0.1634930E+03  0.1927272E+03  0.2037598E+03  0.2372364E+03  0.2738581E+03  0.4113051E+03  0.5300773E+03  0.7058792E+03  0.8543505E+03  0.9575652E+03  0.1157060E+04  0.1362323E+04  0.1570290E+04  0.1768812E+04  0.2062696E+04  0.2479208E+04  0.3070280E+04  0.9502860E+04  0.2984015E+04  0.3214969E+04  0.3267884E+04  0.6205423E+04  0.9209709E+04  0.6714377E+04  0.7647699E+04  0.8157124E+04  0.1076978E+05  0.1160154E+05  0.1269301E+05  0.1077600E+05  0.1470804E+05  0.1279999E+05  0.1503901E+05  0.1624392E+05  0.1586602E+05
ROAD             0.4899018E+01  0.5546019E+01  0.5906540E+01  0.1181288E+02  0.1181288E+02  0.1181288E+02  0.1181288E+02  0.1181288E+02  0.1476608E+02  0.1476608E+02  0.1476608E+02  0.1181288E+02  0.1181288E+02  0.1181288E+02  0.1181288E+02  0.1181288E+02  0.1181288E+02  0.1181288E+02  0.1476608E+02  0.1476608E+02  0.1771930E+02  0.1640654E+02  0.1893374E+02  0.2185626E+02  0.2395618E+02  0.2437597E+02  0.2528142E+02  0.2697753E+02  0.3011374E+02  0.3066523E+02  0.2691165E+02  0.2582450E+02  0.2816251E+02  0.3112646E+02  0.3326677E+02  0.4098185E+02  0.1228166E+03  0.1992344E+03  0.2787219E+03  0.3465798E+03  0.4009695E+03  0.5258375E+03  0.6562750E+03  0.8056010E+03  0.8345000E+03  0.9521510E+03  0.1009449E+04  0.1115100E+04  0.3955220E+03  0.1188425E+04  0.1229856E+04  0.1175235E+04  0.1187191E+04  0.1155031E+04  0.1785167E+04  0.1942779E+04  0.2001131E+04  0.2400492E+04  0.2303222E+04  0.2458735E+04  0.2776320E+04  0.3279812E+04  0.3602579E+04  0.3867815E+04  0.3994745E+04  0.4498333E+04
OTRA             0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.3347150E+02  0.6743920E+02  0.1016590E+03  0.1356230E+03  0.1690950E+03  0.2027550E+03  0.2359760E+03  0.2694490E+03  0.3024837E+03  0.3358582E+03  0.3871049E+03  0.4510003E+03  0.2152000E+02  0.6825215E+03  0.8797043E+03  0.9562552E+03  0.1331355E+04  0.1705780E+04  0.1789466E+04  0.2038619E+04  0.2040566E+04  0.2002764E+04  0.2474143E+04  0.2779989E+04  0.2708994E+04  0.2793037E+04  0.2566319E+04  0.2656178E+04  0.2620335E+04  0.2654375E+04
RESI             0.5843390E+04  0.5978570E+04  0.6113850E+04  0.6249130E+04  0.6384310E+04  0.6519590E+04  0.6654870E+04  0.6790150E+04  0.6925320E+04  0.7060600E+04  0.7195880E+04  0.7317170E+04  0.7438560E+04  0.7559940E+04  0.7681330E+04  0.7802720E+04  0.7924100E+04  0.8045490E+04  0.8166870E+04  0.8288260E+04  0.8409550E+04  0.8437330E+04  0.8647250E+04  0.8846950E+04  0.9031670E+04  0.9192580E+04  0.9335940E+04  0.9464010E+04  0.9591530E+04  0.9720350E+04  0.9843030E+04  0.9955700E+04  0.1007041E+05  0.1017284E+05  0.1023660E+05  0.1031966E+05  0.1053583E+05  0.1075560E+05  0.1097729E+05  0.1120337E+05  0.1143196E+05  0.1166956E+05  0.1191155E+05  0.1217000E+05  0.1242800E+05  0.1245309E+05  0.1256731E+05  0.1280189E+05  0.1259498E+05  0.1298995E+05  0.1305706E+05  0.1230089E+05  0.8624649E+04  0.6800418E+04  0.5067072E+04  0.4649830E+04  0.3721363E+04  0.3561304E+04  0.3629560E+04  0.3732303E+04  0.3828789E+04  0.3711631E+04  0.3561345E+04  0.3363083E+04  0.3310385E+04  0.3271943E+04
ODOM             0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.6545958E+02  0.1299005E+03  0.2009134E+03  0.2651601E+03  0.3210803E+03  0.4005336E+03  0.4978224E+03  0.6404943E+03  0.6430900E+03  0.7821265E+03  0.7867455E+03  0.9375735E+03  0.2210973E+03  0.9787884E+03  0.1054605E+04  0.1068641E+04  0.1215415E+04  0.1358311E+04  0.1751948E+04  0.9066540E+03  0.1156301E+04  0.1004955E+04  0.1592341E+04  0.1792594E+04  0.1969947E+04  0.2120809E+04  0.2197360E+04  0.2016464E+04  0.1688830E+04  0.1744843E+04
TOTAL            0.5849679E+04  0.5986571E+04  0.6122576E+04  0.6264768E+04  0.6400658E+04  0.6535839E+04  0.6672983E+04  0.6808726E+04  0.6949255E+04  0.7087464E+04  0.7226076E+04  0.7335105E+04  0.7458715E+04  0.7587976E+04  0.7718147E+04  0.7849461E+04  0.7977155E+04  0.8094922E+04  0.8218945E+04  0.8348810E+04  0.8483210E+04  0.8522033E+04  0.8744765E+04  0.8954570E+04  0.9147343E+04  0.9323828E+04  0.9469822E+04  0.9611142E+04  0.9753223E+04  0.9888681E+04  0.1002015E+05  0.1014502E+05  0.1029130E+05  0.1040773E+05  0.1050710E+05  0.1063450E+05  0.1136284E+05  0.1206659E+05  0.1284415E+05  0.1356249E+05  0.1421096E+05  0.1507849E+05  0.1597013E+05  0.1700723E+05  0.1775661E+05  0.1872874E+05  0.1921530E+05  0.2018022E+05  0.2799218E+05  0.2121284E+05  0.2195360E+05  0.2148970E+05  0.2178440E+05  0.2394726E+05  0.2179912E+05  0.2293882E+05  0.2387752E+05  0.2753609E+05  0.2973942E+05  0.3201377E+05  0.3264101E+05  0.3955063E+05  0.3940841E+05  0.4301518E+05  0.4469421E+05  0.4608045E+05
PP-EXCL-BF       0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1939550E+03  0.3843370E+03  0.5796910E+03  0.7574110E+03  0.9302870E+03  0.1122746E+04  0.1306180E+04  0.1551400E+04  0.1779720E+04  0.2142820E+04  0.1985480E+04  0.1804372E+04  0.5256200E+04  0.2389136E+04  0.2517409E+04  0.2720799E+04  0.3220369E+04  0.3718013E+04  0.4691094E+04  0.5753237E+04  0.6801035E+04  0.7796796E+04  0.8138613E+04  0.8557139E+04  0.1058096E+05  0.1293730E+05  0.1468082E+05  0.1607263E+05  0.1683599E+05  0.1804494E+05
PP-BF            0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
IND-EXCL-BF      0.1390100E+01  0.2455000E+01  0.2819800E+01  0.3825400E+01  0.4535200E+01  0.4436600E+01  0.6300100E+01  0.6763400E+01  0.9168700E+01  0.1209800E+02  0.1543000E+02  0.6122600E+01  0.8342600E+01  0.1622320E+02  0.2500400E+02  0.3492800E+02  0.4124200E+02  0.3761900E+02  0.3730900E+02  0.4578400E+02  0.5594100E+02  0.6829600E+02  0.7858100E+02  0.8576400E+02  0.9171700E+02  0.1068724E+03  0.1086004E+03  0.1201545E+03  0.1315788E+03  0.1376658E+03  0.1502128E+03  0.1634930E+03  0.1927272E+03  0.2037598E+03  0.2372364E+03  0.2738581E+03  0.4113051E+03  0.5300773E+03  0.7058792E+03  0.8543505E+03  0.9575652E+03  0.1157060E+04  0.1362323E+04  0.1570290E+04  0.1768812E+04  0.2062696E+04  0.2479208E+04  0.3070280E+04  0.9502860E+04  0.2984015E+04  0.3214969E+04  0.3267884E+04  0.6205423E+04  0.9209709E+04  0.6714377E+04  0.7647699E+04  0.8157124E+04  0.1076978E+05  0.1160154E+05  0.1269301E+05  0.1077600E+05  0.1470804E+05  0.1279999E+05  0.1503901E+05  0.1624392E+05  0.1586602E+05
