REASv3.2 SECTOR IND GU CO2 [kt/year]
                          1950           1951           1952           1953           1954           1955           1956           1957           1958           1959           1960           1961           1962           1963           1964           1965           1966           1967           1968           1969           1970           1971           1972           1973           1974           1975           1976           1977           1978           1979           1980           1981           1982           1983           1984           1985           1986           1987           1988           1989           1990           1991           1992           1993           1994           1995           1996           1997           1998           1999           2000           2001           2002           2003           2004           2005           2006           2007           2008           2009           2010           2011           2012           2013           2014           2015
PP               0.1572098E+03  0.1802541E+03  0.1905617E+03  0.2063596E+03  0.2980936E+03  0.3353033E+03  0.3690324E+03  0.4240406E+03  0.4764381E+03  0.5497684E+03  0.6211789E+03  0.7084692E+03  0.8100342E+03  0.9361400E+03  0.1024374E+04  0.1142824E+04  0.1257920E+04  0.1404657E+04  0.1596966E+04  0.1747192E+04  0.1888736E+04  0.2045725E+04  0.2300597E+04  0.2390600E+04  0.2897355E+04  0.3238688E+04  0.3758315E+04  0.3665577E+04  0.3211441E+04  0.3877546E+04  0.4824080E+04  0.5574881E+04  0.6314950E+04  0.7143980E+04  0.7559360E+04  0.8809930E+04  0.1036160E+05  0.1211561E+05  0.1254130E+05  0.1380318E+05  0.1520988E+05  0.1733864E+05  0.1874150E+05  0.2068311E+05  0.2147833E+05  0.2480711E+05  0.2633565E+05  0.2750128E+05  0.2932503E+05  0.3171222E+05  0.3350899E+05  0.3459388E+05  0.3535954E+05  0.3732667E+05  0.4089224E+05  0.4179107E+05  0.4435976E+05  0.4921832E+05  0.5009482E+05  0.5815358E+05  0.6348746E+05  0.6690531E+05  0.7913818E+05  0.8016362E+05  0.8700940E+05  0.8777673E+05
IND              0.2593175E+04  0.2722908E+04  0.2827564E+04  0.2861066E+04  0.2998114E+04  0.3273842E+04  0.3469967E+04  0.3719083E+04  0.3864583E+04  0.4022358E+04  0.4312519E+04  0.4507595E+04  0.4778617E+04  0.5104580E+04  0.5136895E+04  0.5474501E+04  0.5848272E+04  0.6038417E+04  0.6353914E+04  0.6725998E+04  0.6805261E+04  0.7018118E+04  0.7707385E+04  0.7966378E+04  0.8626827E+04  0.8781459E+04  0.9134777E+04  0.9740428E+04  0.9278030E+04  0.9571182E+04  0.9113737E+04  0.9929913E+04  0.1235405E+05  0.1277726E+05  0.1440734E+05  0.1520752E+05  0.1762980E+05  0.1816861E+05  0.1817998E+05  0.1966278E+05  0.1972207E+05  0.1943278E+05  0.1969599E+05  0.2022943E+05  0.2196608E+05  0.2057933E+05  0.2082066E+05  0.2260049E+05  0.2602372E+05  0.2686513E+05  0.2699032E+05  0.2773061E+05  0.2796302E+05  0.2674304E+05  0.2891504E+05  0.3392378E+05  0.4008654E+05  0.4569208E+05  0.5025368E+05  0.5385579E+05  0.5974740E+05  0.6512436E+05  0.6249813E+05  0.6803262E+05  0.7082117E+05  0.6979029E+05
ROAD             0.2047048E+03  0.4090325E+03  0.6183780E+03  0.6532668E+03  0.6881458E+03  0.7230358E+03  0.5834888E+03  0.6299947E+03  0.6764906E+03  0.7230145E+03  0.7725238E+03  0.8311325E+03  0.9249425E+03  0.1041822E+04  0.1089505E+04  0.1178943E+04  0.1266724E+04  0.1309639E+04  0.1415192E+04  0.1494646E+04  0.1624054E+04  0.1756533E+04  0.1900664E+04  0.2024642E+04  0.2386079E+04  0.2508293E+04  0.2629712E+04  0.2840887E+04  0.3105693E+04  0.3540969E+04  0.3759645E+04  0.3949785E+04  0.2864330E+04  0.3067570E+04  0.3322740E+04  0.3628010E+04  0.3961110E+04  0.4395150E+04  0.4832780E+04  0.5661760E+04  0.5783340E+04  0.6176120E+04  0.6593080E+04  0.7007970E+04  0.7562650E+04  0.8576280E+04  0.9267950E+04  0.9629000E+04  0.9949060E+04  0.1049589E+05  0.1063460E+05  0.1043089E+05  0.1031919E+05  0.1011787E+05  0.1090908E+05  0.1076698E+05  0.1143470E+05  0.1331481E+05  0.1509370E+05  0.1629549E+05  0.1742982E+05  0.1859317E+05  0.2022879E+05  0.2077399E+05  0.2179394E+05  0.2403557E+05
OTRA             0.1941109E+04  0.1943375E+04  0.1952216E+04  0.1959648E+04  0.1976777E+04  0.1978399E+04  0.1978932E+04  0.1987230E+04  0.1998116E+04  0.2005659E+04  0.2016001E+04  0.2020522E+04  0.2031086E+04  0.2038084E+04  0.2062434E+04  0.2090238E+04  0.2090772E+04  0.2100147E+04  0.2123964E+04  0.2128374E+04  0.2123419E+04  0.2133228E+04  0.2078559E+04  0.1918789E+04  0.1953256E+04  0.1992636E+04  0.1869496E+04  0.1850705E+04  0.1749353E+04  0.1686852E+04  0.1730847E+04  0.1681573E+04  0.1698704E+04  0.1693656E+04  0.1550516E+04  0.1591469E+04  0.1442417E+04  0.1389019E+04  0.1299245E+04  0.1191029E+04  0.1117478E+04  0.1111000E+04  0.9897480E+03  0.6850380E+03  0.4804319E+03  0.4283829E+03  0.4340217E+03  0.3972726E+03  0.3961802E+03  0.3994020E+03  0.4145500E+03  0.4683890E+03  0.4839080E+03  0.4810700E+03  0.4856380E+03  0.5460550E+03  0.5386150E+03  0.5809550E+03  0.6108900E+03  0.6287620E+03  0.6539240E+03  0.7745380E+03  0.7858240E+03  0.7967590E+03  0.8086320E+03  0.8286890E+03
RESI             0.7385646E+04  0.7533329E+04  0.7678514E+04  0.7812073E+04  0.7977270E+04  0.8238257E+04  0.8415881E+04  0.8601387E+04  0.8762847E+04  0.8921819E+04  0.9119593E+04  0.9345777E+04  0.9597014E+04  0.9867327E+04  0.1008023E+05  0.1034217E+05  0.1064305E+05  0.1094307E+05  0.1124310E+05  0.1151356E+05  0.1174345E+05  0.1208463E+05  0.1233480E+05  0.1257566E+05  0.1273298E+05  0.1307482E+05  0.1348165E+05  0.1384387E+05  0.1417976E+05  0.1446727E+05  0.1479156E+05  0.1514478E+05  0.1551062E+05  0.1581577E+05  0.1601419E+05  0.1623117E+05  0.1650631E+05  0.1690944E+05  0.1722537E+05  0.1757100E+05  0.1782480E+05  0.1809807E+05  0.1835317E+05  0.1862635E+05  0.1927620E+05  0.1995039E+05  0.2055586E+05  0.2145019E+05  0.2242371E+05  0.2316641E+05  0.2338741E+05  0.2337462E+05  0.2378395E+05  0.2413461E+05  0.2452024E+05  0.2492407E+05  0.2532390E+05  0.2572546E+05  0.2612335E+05  0.2667532E+05  0.2713650E+05  0.2748740E+05  0.2760236E+05  0.2800451E+05  0.2853323E+05  0.2888338E+05
ODOM             0.7862702E+03  0.8243020E+03  0.8582523E+03  0.8589015E+03  0.8842446E+03  0.9392973E+03  0.9698400E+03  0.1046265E+04  0.1083641E+04  0.1118906E+04  0.1205258E+04  0.1268734E+04  0.1364198E+04  0.1458823E+04  0.1427428E+04  0.1522319E+04  0.1569534E+04  0.1610088E+04  0.1688130E+04  0.1778923E+04  0.1768032E+04  0.1767460E+04  0.1731935E+04  0.1836463E+04  0.1814430E+04  0.1781615E+04  0.1886606E+04  0.1942812E+04  0.2030643E+04  0.2586088E+04  0.2273359E+04  0.2785110E+04  0.2736340E+04  0.3048567E+04  0.3814911E+04  0.3131212E+04  0.2500473E+04  0.2462999E+04  0.3062497E+04  0.2892701E+04  0.3646894E+04  0.4159670E+04  0.4098040E+04  0.3946628E+04  0.4532749E+04  0.4935918E+04  0.5355291E+04  0.6004152E+04  0.4621754E+04  0.5538416E+04  0.5329363E+04  0.5431618E+04  0.5750522E+04  0.6195466E+04  0.6293813E+04  0.6281689E+04  0.6279358E+04  0.6124057E+04  0.7401085E+04  0.9681838E+04  0.8688897E+04  0.7024257E+04  0.8321996E+04  0.7864526E+04  0.8482291E+04  0.8510413E+04
TOTAL            0.1306811E+05  0.1361320E+05  0.1412549E+05  0.1435131E+05  0.1482265E+05  0.1548813E+05  0.1578714E+05  0.1640800E+05  0.1686212E+05  0.1734152E+05  0.1804707E+05  0.1868223E+05  0.1950589E+05  0.2044678E+05  0.2082087E+05  0.2175099E+05  0.2267627E+05  0.2340602E+05  0.2442127E+05  0.2538869E+05  0.2595295E+05  0.2680569E+05  0.2805394E+05  0.2871253E+05  0.3041093E+05  0.3137751E+05  0.3276056E+05  0.3388428E+05  0.3355492E+05  0.3572991E+05  0.3649323E+05  0.3906604E+05  0.4147899E+05  0.4354680E+05  0.4666906E+05  0.4859931E+05  0.5240171E+05  0.5544083E+05  0.5714117E+05  0.6078245E+05  0.6330446E+05  0.6631628E+05  0.6847153E+05  0.7117853E+05  0.7529644E+05  0.7927741E+05  0.8276943E+05  0.8758238E+05  0.9273945E+05  0.9817747E+05  0.1002652E+06  0.1020300E+06  0.1036601E+06  0.1049987E+06  0.1120161E+06  0.1182336E+06  0.1280229E+06  0.1406557E+06  0.1495775E+06  0.1652908E+06  0.1771440E+06  0.1859090E+06  0.1985753E+06  0.2056360E+06  0.2174487E+06  0.2198251E+06
PP-EXCL-BF       0.1572098E+03  0.1802541E+03  0.1905617E+03  0.2063596E+03  0.2980936E+03  0.3353033E+03  0.3690324E+03  0.4240406E+03  0.4764381E+03  0.5497684E+03  0.6211789E+03  0.7084692E+03  0.8100342E+03  0.9361400E+03  0.1024374E+04  0.1142824E+04  0.1257920E+04  0.1404657E+04  0.1596966E+04  0.1747192E+04  0.1888736E+04  0.2045725E+04  0.2300597E+04  0.2390600E+04  0.2897355E+04  0.3238688E+04  0.3758315E+04  0.3665577E+04  0.3211441E+04  0.3877546E+04  0.4824080E+04  0.5574881E+04  0.6314950E+04  0.7143980E+04  0.7559360E+04  0.8809930E+04  0.1036160E+05  0.1211561E+05  0.1254130E+05  0.1380318E+05  0.1520988E+05  0.1733864E+05  0.1874150E+05  0.2068311E+05  0.2147833E+05  0.2480711E+05  0.2633565E+05  0.2750128E+05  0.2932503E+05  0.3163909E+05  0.3340546E+05  0.3445155E+05  0.3515408E+05  0.3705694E+05  0.4055725E+05  0.4138953E+05  0.4389054E+05  0.4859879E+05  0.4930967E+05  0.5715531E+05  0.6224978E+05  0.6542837E+05  0.7742183E+05  0.7822835E+05  0.8488792E+05  0.8556797E+05
PP-BF            0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.7313400E+02  0.1035300E+03  0.1423300E+03  0.2054600E+03  0.2697300E+03  0.3349900E+03  0.4015400E+03  0.4692200E+03  0.6195260E+03  0.7851520E+03  0.9982680E+03  0.1237679E+04  0.1476940E+04  0.1716354E+04  0.1935268E+04  0.2121482E+04  0.2208763E+04
IND-EXCL-BF      0.1160225E+04  0.1263121E+04  0.1340840E+04  0.1347505E+04  0.1457715E+04  0.1706506E+04  0.1875794E+04  0.2098073E+04  0.2216736E+04  0.2347573E+04  0.2610897E+04  0.2767577E+04  0.3000203E+04  0.3287770E+04  0.3281689E+04  0.3580999E+04  0.3916374E+04  0.4068123E+04  0.4345224E+04  0.4678912E+04  0.4719779E+04  0.4881442E+04  0.5521911E+04  0.5731325E+04  0.6340817E+04  0.6442931E+04  0.6742573E+04  0.7293367E+04  0.6774811E+04  0.7010847E+04  0.6517906E+04  0.7298048E+04  0.9685533E+04  0.1007159E+05  0.1166402E+05  0.1242611E+05  0.1480983E+05  0.1530939E+05  0.1528115E+05  0.1672370E+05  0.1674248E+05  0.1638059E+05  0.1656991E+05  0.1705329E+05  0.1873948E+05  0.1728360E+05  0.1745966E+05  0.1916477E+05  0.2250990E+05  0.2322408E+05  0.2325111E+05  0.2390539E+05  0.2405215E+05  0.2274160E+05  0.2482461E+05  0.2974272E+05  0.3580333E+05  0.4130609E+05  0.4576454E+05  0.4926346E+05  0.5505220E+05  0.6036708E+05  0.5768004E+05  0.6315484E+05  0.6588400E+05  0.6479387E+05
