REASv3.2 SECTOR IND KG CO2 [kt/year]
                          1950           1951           1952           1953           1954           1955           1956           1957           1958           1959           1960           1961           1962           1963           1964           1965           1966           1967           1968           1969           1970           1971           1972           1973           1974           1975           1976           1977           1978           1979           1980           1981           1982           1983           1984           1985           1986           1987           1988           1989           1990           1991           1992           1993           1994           1995           1996           1997           1998           1999           2000           2001           2002           2003           2004           2005           2006           2007           2008           2009           2010           2011           2012           2013           2014           2015
PP               0.1274545E+03  0.1461340E+03  0.1545052E+03  0.1673378E+03  0.2411776E+03  0.2712839E+03  0.2985855E+03  0.3431037E+03  0.3843925E+03  0.4437439E+03  0.5015651E+03  0.5705930E+03  0.6516760E+03  0.7525310E+03  0.8219250E+03  0.9104900E+03  0.1002392E+04  0.1119845E+04  0.1273968E+04  0.1394017E+04  0.1503657E+04  0.1629373E+04  0.1870962E+04  0.1926042E+04  0.2166359E+04  0.2373543E+04  0.2572572E+04  0.2557665E+04  0.2450478E+04  0.2810262E+04  0.3270327E+04  0.3502221E+04  0.3891740E+04  0.4308930E+04  0.4730190E+04  0.5334430E+04  0.6002610E+04  0.6809840E+04  0.6976100E+04  0.7540060E+04  0.8042087E+04  0.8994979E+04  0.9657042E+04  0.1046660E+05  0.1093006E+05  0.1244346E+05  0.1316294E+05  0.1366379E+05  0.1404513E+05  0.1561040E+05  0.1719153E+05  0.1752529E+05  0.1796045E+05  0.1897072E+05  0.2046997E+05  0.2054909E+05  0.2169228E+05  0.2388623E+05  0.2508290E+05  0.2923879E+05  0.3117085E+05  0.3200856E+05  0.3614089E+05  0.3558214E+05  0.3860053E+05  0.3840553E+05
IND              0.2289650E+04  0.2387412E+04  0.2462143E+04  0.2508038E+04  0.2614269E+04  0.2741289E+04  0.2892275E+04  0.3034326E+04  0.3139051E+04  0.3280007E+04  0.3469519E+04  0.3607600E+04  0.3767454E+04  0.3969579E+04  0.4040055E+04  0.4242639E+04  0.4512826E+04  0.4574871E+04  0.4736272E+04  0.4973019E+04  0.5047517E+04  0.5242334E+04  0.5561784E+04  0.5676996E+04  0.5928126E+04  0.6280847E+04  0.6552641E+04  0.6780583E+04  0.6736225E+04  0.6859179E+04  0.6781159E+04  0.7200628E+04  0.8184060E+04  0.8424296E+04  0.9127550E+04  0.9734060E+04  0.1110978E+05  0.1099992E+05  0.1145071E+05  0.1205281E+05  0.1219996E+05  0.1221002E+05  0.1222185E+05  0.1248331E+05  0.1323678E+05  0.1303215E+05  0.1355333E+05  0.1452401E+05  0.1535464E+05  0.1647630E+05  0.1740792E+05  0.2101591E+05  0.2480380E+05  0.2700151E+05  0.3052338E+05  0.3561288E+05  0.4182042E+05  0.4878010E+05  0.5201842E+05  0.5962307E+05  0.6802184E+05  0.7062531E+05  0.7106692E+05  0.7604810E+05  0.7828502E+05  0.7625861E+05
ROAD             0.1521580E+03  0.2930667E+03  0.4374512E+03  0.4615072E+03  0.4855841E+03  0.5096501E+03  0.4133853E+03  0.4433705E+03  0.4733446E+03  0.5033272E+03  0.5407127E+03  0.5816844E+03  0.6424843E+03  0.7173887E+03  0.7513127E+03  0.8114380E+03  0.8698020E+03  0.9015280E+03  0.9762700E+03  0.1032905E+04  0.1122103E+04  0.1210953E+04  0.1306851E+04  0.1392931E+04  0.1624143E+04  0.1711949E+04  0.1784299E+04  0.1913646E+04  0.2087211E+04  0.2362316E+04  0.2500823E+04  0.2621724E+04  0.1918250E+04  0.2049930E+04  0.2215160E+04  0.2419680E+04  0.2633880E+04  0.2907830E+04  0.3186480E+04  0.3719280E+04  0.3802090E+04  0.4055440E+04  0.4307970E+04  0.4581260E+04  0.4930600E+04  0.5597440E+04  0.6011480E+04  0.6214640E+04  0.6440290E+04  0.6795900E+04  0.6902430E+04  0.6813650E+04  0.6753380E+04  0.6625240E+04  0.6953570E+04  0.7194990E+04  0.8183180E+04  0.9329910E+04  0.1038067E+05  0.1167785E+05  0.1361765E+05  0.1460860E+05  0.1569962E+05  0.1565050E+05  0.1601964E+05  0.1729538E+05
OTRA             0.1128299E+04  0.1129695E+04  0.1134865E+04  0.1139177E+04  0.1149090E+04  0.1150060E+04  0.1150381E+04  0.1155126E+04  0.1161482E+04  0.1165898E+04  0.1171930E+04  0.1174517E+04  0.1180661E+04  0.1184751E+04  0.1198868E+04  0.1215034E+04  0.1215354E+04  0.1220844E+04  0.1234642E+04  0.1237226E+04  0.1234317E+04  0.1240027E+04  0.1208267E+04  0.1115384E+04  0.1135470E+04  0.1158364E+04  0.1086734E+04  0.1075778E+04  0.1016928E+04  0.9805541E+03  0.1006151E+04  0.9774740E+03  0.9875469E+03  0.9847469E+03  0.9014197E+03  0.9248615E+03  0.8382158E+03  0.8077478E+03  0.7549429E+03  0.6917988E+03  0.6483166E+03  0.6438020E+03  0.5744058E+03  0.3973729E+03  0.2793847E+03  0.2490387E+03  0.2522172E+03  0.2310737E+03  0.2304215E+03  0.2314429E+03  0.2422528E+03  0.2739630E+03  0.2798960E+03  0.2754980E+03  0.2783200E+03  0.3104900E+03  0.3080600E+03  0.3365670E+03  0.3579810E+03  0.3729550E+03  0.3898640E+03  0.4363230E+03  0.4506180E+03  0.4676686E+03  0.4756138E+03  0.4906100E+03
RESI             0.7950898E+04  0.8107800E+04  0.8262602E+04  0.8407468E+04  0.8578635E+04  0.8829001E+04  0.9010453E+04  0.9198800E+04  0.9367023E+04  0.9533262E+04  0.9731781E+04  0.9968631E+04  0.1022631E+05  0.1049969E+05  0.1072456E+05  0.1099093E+05  0.1128891E+05  0.1158620E+05  0.1188383E+05  0.1215733E+05  0.1239630E+05  0.1274426E+05  0.1301219E+05  0.1327415E+05  0.1346365E+05  0.1381211E+05  0.1421904E+05  0.1459169E+05  0.1494195E+05  0.1525393E+05  0.1557092E+05  0.1590339E+05  0.1624501E+05  0.1653185E+05  0.1687127E+05  0.1718499E+05  0.1753293E+05  0.1798830E+05  0.1834995E+05  0.1872836E+05  0.1902984E+05  0.1941100E+05  0.1977629E+05  0.2013800E+05  0.2047480E+05  0.2080476E+05  0.2105289E+05  0.2149775E+05  0.2195699E+05  0.2225876E+05  0.2263188E+05  0.2291872E+05  0.2350954E+05  0.2407467E+05  0.2475119E+05  0.2540782E+05  0.2610509E+05  0.2677879E+05  0.2748951E+05  0.2835354E+05  0.2917001E+05  0.2960516E+05  0.2984413E+05  0.3029772E+05  0.3088396E+05  0.3132465E+05
ODOM             0.7803182E+03  0.8147728E+03  0.8457351E+03  0.8483805E+03  0.8720416E+03  0.9209597E+03  0.9490298E+03  0.1016161E+04  0.1050025E+04  0.1082123E+04  0.1157678E+04  0.1214687E+04  0.1298896E+04  0.1382392E+04  0.1358669E+04  0.1442054E+04  0.1485183E+04  0.1522454E+04  0.1591564E+04  0.1671509E+04  0.1665269E+04  0.1668594E+04  0.1642074E+04  0.1734805E+04  0.1718793E+04  0.1695340E+04  0.1788544E+04  0.1840622E+04  0.1919501E+04  0.2396872E+04  0.2133144E+04  0.2571191E+04  0.2532295E+04  0.2800581E+04  0.3515547E+04  0.2959243E+04  0.2424492E+04  0.2408961E+04  0.2970586E+04  0.2833683E+04  0.3543158E+04  0.4042602E+04  0.4009767E+04  0.3889070E+04  0.4253932E+04  0.4409393E+04  0.4542458E+04  0.4811174E+04  0.3630838E+04  0.4052379E+04  0.3946542E+04  0.4051773E+04  0.4277899E+04  0.4592129E+04  0.4674468E+04  0.4702903E+04  0.4722507E+04  0.4703435E+04  0.5542147E+04  0.7038913E+04  0.6463941E+04  0.5445753E+04  0.6281898E+04  0.5988065E+04  0.6393573E+04  0.6454104E+04
TOTAL            0.1242878E+05  0.1287888E+05  0.1329730E+05  0.1353191E+05  0.1394080E+05  0.1442224E+05  0.1471411E+05  0.1519089E+05  0.1557532E+05  0.1600836E+05  0.1657319E+05  0.1711771E+05  0.1776748E+05  0.1850633E+05  0.1889539E+05  0.1961259E+05  0.2037447E+05  0.2092574E+05  0.2169655E+05  0.2246601E+05  0.2296916E+05  0.2373554E+05  0.2460213E+05  0.2512031E+05  0.2603654E+05  0.2703215E+05  0.2800383E+05  0.2875998E+05  0.2915229E+05  0.3066311E+05  0.3126252E+05  0.3277663E+05  0.3375890E+05  0.3510033E+05  0.3736114E+05  0.3855726E+05  0.4054191E+05  0.4192260E+05  0.4368877E+05  0.4556599E+05  0.4726545E+05  0.4935784E+05  0.5054732E+05  0.5195561E+05  0.5410556E+05  0.5653624E+05  0.5857532E+05  0.6094244E+05  0.6165831E+05  0.6542518E+05  0.6832255E+05  0.7259931E+05  0.7758496E+05  0.8153977E+05  0.8765090E+05  0.9377817E+05  0.1028315E+06  0.1138150E+06  0.1208716E+06  0.1363051E+06  0.1488342E+06  0.1527297E+06  0.1594841E+06  0.1640342E+06  0.1706583E+06  0.1702289E+06
PP-EXCL-BF       0.1274545E+03  0.1461340E+03  0.1545052E+03  0.1673378E+03  0.2411776E+03  0.2712839E+03  0.2985855E+03  0.3431037E+03  0.3843925E+03  0.4437439E+03  0.5015651E+03  0.5705930E+03  0.6516760E+03  0.7525310E+03  0.8219250E+03  0.9104900E+03  0.1002392E+04  0.1119845E+04  0.1273968E+04  0.1394017E+04  0.1503657E+04  0.1629373E+04  0.1870962E+04  0.1926042E+04  0.2166359E+04  0.2373543E+04  0.2572572E+04  0.2557665E+04  0.2450478E+04  0.2810262E+04  0.3270327E+04  0.3502221E+04  0.3891740E+04  0.4308930E+04  0.4730190E+04  0.5334430E+04  0.6002610E+04  0.6809840E+04  0.6976100E+04  0.7540060E+04  0.8042087E+04  0.8994979E+04  0.9657042E+04  0.1046660E+05  0.1093006E+05  0.1244346E+05  0.1316294E+05  0.1366379E+05  0.1404513E+05  0.1551328E+05  0.1705306E+05  0.1733360E+05  0.1768185E+05  0.1860255E+05  0.2000977E+05  0.1999399E+05  0.2103963E+05  0.2306685E+05  0.2403147E+05  0.2789537E+05  0.2948898E+05  0.2998853E+05  0.3378476E+05  0.3291900E+05  0.3567679E+05  0.3536149E+05
PP-BF            0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.9712300E+02  0.1384700E+03  0.1916900E+03  0.2786000E+03  0.3681700E+03  0.4602000E+03  0.5551000E+03  0.6526500E+03  0.8193790E+03  0.1051429E+04  0.1343421E+04  0.1681874E+04  0.2020028E+04  0.2356134E+04  0.2663139E+04  0.2923744E+04  0.3044039E+04
IND-EXCL-BF      0.5217640E+03  0.5863930E+03  0.6279910E+03  0.6407540E+03  0.7138520E+03  0.8076390E+03  0.9254920E+03  0.1034410E+04  0.1106002E+04  0.1213825E+04  0.1370205E+04  0.1460910E+04  0.1573389E+04  0.1728138E+04  0.1751338E+04  0.1906547E+04  0.2129358E+04  0.2144028E+04  0.2258053E+04  0.2447525E+04  0.2474647E+04  0.2606297E+04  0.2865446E+04  0.2919480E+04  0.3107736E+04  0.3395731E+04  0.3601327E+04  0.3761494E+04  0.3647962E+04  0.3700369E+04  0.3578626E+04  0.3953603E+04  0.4891900E+04  0.5086296E+04  0.5743010E+04  0.6302530E+04  0.7630710E+04  0.7472420E+04  0.7874300E+04  0.8426760E+04  0.8523920E+04  0.8409840E+04  0.8295010E+04  0.8458970E+04  0.9114120E+04  0.8786730E+04  0.9189370E+04  0.1002850E+05  0.1072228E+05  0.1164091E+05  0.1240682E+05  0.1586404E+05  0.1950076E+05  0.2153979E+05  0.2490414E+05  0.2983293E+05  0.3586285E+05  0.4264284E+05  0.4569998E+05  0.5312243E+05  0.6133820E+05  0.6385335E+05  0.6420843E+05  0.6910466E+05  0.7125703E+05  0.6914633E+05
