REASv3.2 SECTOR IND AP CO2 [kt/year]
                          1950           1951           1952           1953           1954           1955           1956           1957           1958           1959           1960           1961           1962           1963           1964           1965           1966           1967           1968           1969           1970           1971           1972           1973           1974           1975           1976           1977           1978           1979           1980           1981           1982           1983           1984           1985           1986           1987           1988           1989           1990           1991           1992           1993           1994           1995           1996           1997           1998           1999           2000           2001           2002           2003           2004           2005           2006           2007           2008           2009           2010           2011           2012           2013           2014           2015
PP               0.3222448E+03  0.3694736E+03  0.3906303E+03  0.4230431E+03  0.6096801E+03  0.6857921E+03  0.7550151E+03  0.8675761E+03  0.9719470E+03  0.1121594E+04  0.1267494E+04  0.1443645E+04  0.1648724E+04  0.1903496E+04  0.2078321E+04  0.2302726E+04  0.2540127E+04  0.2843327E+04  0.3233055E+04  0.3536961E+04  0.3823555E+04  0.4142196E+04  0.4691233E+04  0.4859258E+04  0.5701140E+04  0.6316477E+04  0.7061818E+04  0.6910080E+04  0.6298104E+04  0.7347700E+04  0.8823780E+04  0.9835800E+04  0.1095712E+05  0.1229191E+05  0.1312370E+05  0.1490803E+05  0.1684172E+05  0.1928155E+05  0.2018581E+05  0.2275176E+05  0.2447359E+05  0.2726155E+05  0.2928774E+05  0.3214203E+05  0.3352145E+05  0.3863273E+05  0.4092926E+05  0.4225263E+05  0.4387790E+05  0.4752051E+05  0.5080575E+05  0.5203557E+05  0.5344835E+05  0.5628139E+05  0.6149085E+05  0.6315411E+05  0.6687415E+05  0.7364150E+05  0.7676233E+05  0.8523263E+05  0.8911223E+05  0.9321638E+05  0.1008032E+06  0.9930569E+05  0.1094213E+06  0.1104057E+06
IND              0.7076083E+04  0.7446114E+04  0.7655538E+04  0.7622726E+04  0.8102749E+04  0.8215187E+04  0.8567807E+04  0.8730987E+04  0.9205079E+04  0.1090238E+05  0.1283605E+05  0.1436652E+05  0.1610165E+05  0.1766482E+05  0.1786351E+05  0.1883059E+05  0.1944832E+05  0.1923813E+05  0.1978468E+05  0.2049362E+05  0.2010573E+05  0.2025610E+05  0.2104433E+05  0.2029361E+05  0.2135403E+05  0.2345440E+05  0.2503628E+05  0.2525966E+05  0.2520092E+05  0.2535255E+05  0.2524931E+05  0.2670815E+05  0.2743585E+05  0.2774784E+05  0.2894742E+05  0.2997933E+05  0.3296461E+05  0.3276246E+05  0.3369542E+05  0.3479329E+05  0.3549392E+05  0.3715910E+05  0.3812918E+05  0.3802774E+05  0.3931085E+05  0.3972191E+05  0.4038523E+05  0.4337776E+05  0.4459625E+05  0.4757525E+05  0.4924579E+05  0.4973357E+05  0.5178738E+05  0.5021898E+05  0.5112949E+05  0.5451701E+05  0.5680895E+05  0.6172086E+05  0.6373766E+05  0.7084469E+05  0.7433625E+05  0.7868778E+05  0.8479299E+05  0.9025677E+05  0.9151423E+05  0.9198668E+05
ROAD             0.1069144E+03  0.2050823E+03  0.3059519E+03  0.3227685E+03  0.3395761E+03  0.3563836E+03  0.2891393E+03  0.3089227E+03  0.3287093E+03  0.3484888E+03  0.3758210E+03  0.4041505E+03  0.4452599E+03  0.4955577E+03  0.5202660E+03  0.5614020E+03  0.6017740E+03  0.6252620E+03  0.6790120E+03  0.7191600E+03  0.7823830E+03  0.8449870E+03  0.9123010E+03  0.9801460E+03  0.1141860E+04  0.1208300E+04  0.1258639E+04  0.1348837E+04  0.1472334E+04  0.1661689E+04  0.1758402E+04  0.1845596E+04  0.1363439E+04  0.1458460E+04  0.1580350E+04  0.1730500E+04  0.1886100E+04  0.2084050E+04  0.2282960E+04  0.2665750E+04  0.2731310E+04  0.2909030E+04  0.3078730E+04  0.3279580E+04  0.3529400E+04  0.4011430E+04  0.4294400E+04  0.4428870E+04  0.4602740E+04  0.4862350E+04  0.4960080E+04  0.4923880E+04  0.5100530E+04  0.5203820E+04  0.5942640E+04  0.6115440E+04  0.6634260E+04  0.8331940E+04  0.1011790E+05  0.1240080E+05  0.1338330E+05  0.1460840E+05  0.1665340E+05  0.1624260E+05  0.1628720E+05  0.1724950E+05
OTRA             0.1905028E+04  0.1907283E+04  0.1916014E+04  0.1923335E+04  0.1940042E+04  0.1941763E+04  0.1942197E+04  0.1950283E+04  0.1961048E+04  0.1968479E+04  0.1978610E+04  0.1983031E+04  0.1993473E+04  0.2000271E+04  0.2024187E+04  0.2051548E+04  0.2051982E+04  0.2061146E+04  0.2084629E+04  0.2088939E+04  0.2083985E+04  0.2093682E+04  0.2039998E+04  0.1883203E+04  0.1917015E+04  0.1955651E+04  0.1834751E+04  0.1816284E+04  0.1716957E+04  0.1655526E+04  0.1698736E+04  0.1650302E+04  0.1667198E+04  0.1662305E+04  0.1521760E+04  0.1560394E+04  0.1414008E+04  0.1362532E+04  0.1273536E+04  0.1164576E+04  0.1090307E+04  0.1081473E+04  0.9657788E+03  0.6667441E+03  0.4696163E+03  0.4185063E+03  0.4236296E+03  0.3879984E+03  0.3861406E+03  0.3824126E+03  0.3999960E+03  0.4446840E+03  0.4574026E+03  0.4475668E+03  0.4491420E+03  0.5081615E+03  0.5017110E+03  0.5473470E+03  0.5810500E+03  0.6050290E+03  0.6313488E+03  0.7062597E+03  0.7422007E+03  0.7610468E+03  0.7689951E+03  0.7852342E+03
RESI             0.1563165E+05  0.1593383E+05  0.1623345E+05  0.1652217E+05  0.1684110E+05  0.1725357E+05  0.1758463E+05  0.1792374E+05  0.1823921E+05  0.1855225E+05  0.1890335E+05  0.1935060E+05  0.1982139E+05  0.2031073E+05  0.2074443E+05  0.2122561E+05  0.2174436E+05  0.2226342E+05  0.2278134E+05  0.2327098E+05  0.2372132E+05  0.2435491E+05  0.2488780E+05  0.2541724E+05  0.2587025E+05  0.2651461E+05  0.2723263E+05  0.2791480E+05  0.2857796E+05  0.2919918E+05  0.2972239E+05  0.3026936E+05  0.3083024E+05  0.3133277E+05  0.3183567E+05  0.3233108E+05  0.3287631E+05  0.3354784E+05  0.3412180E+05  0.3472263E+05  0.3523473E+05  0.3549294E+05  0.3573246E+05  0.3585362E+05  0.3604974E+05  0.3632675E+05  0.3652709E+05  0.3697726E+05  0.3746546E+05  0.3776406E+05  0.3854929E+05  0.3865375E+05  0.3917858E+05  0.3966394E+05  0.4036240E+05  0.4097340E+05  0.4165800E+05  0.4226282E+05  0.4293206E+05  0.4383673E+05  0.4466773E+05  0.4537735E+05  0.4578573E+05  0.4650745E+05  0.4745761E+05  0.4818743E+05
ODOM             0.1227829E+04  0.1273889E+04  0.1315900E+04  0.1324988E+04  0.1358493E+04  0.1421378E+04  0.1460033E+04  0.1544076E+04  0.1589459E+04  0.1632775E+04  0.1726630E+04  0.1801489E+04  0.1907956E+04  0.2013608E+04  0.1994620E+04  0.2100333E+04  0.2159075E+04  0.2211109E+04  0.2300226E+04  0.2401855E+04  0.2403222E+04  0.2418588E+04  0.2398738E+04  0.2517774E+04  0.2511280E+04  0.2495673E+04  0.2616285E+04  0.2689275E+04  0.2793627E+04  0.3361270E+04  0.3062818E+04  0.3580105E+04  0.3543161E+04  0.3863385E+04  0.4679281E+04  0.4032449E+04  0.3419788E+04  0.3405221E+04  0.4048292E+04  0.3896091E+04  0.4704915E+04  0.5262566E+04  0.5218077E+04  0.5069653E+04  0.5547014E+04  0.5807917E+04  0.6057542E+04  0.6497581E+04  0.5127336E+04  0.5772145E+04  0.5649958E+04  0.5800206E+04  0.6084044E+04  0.6491943E+04  0.6583539E+04  0.6622134E+04  0.6631905E+04  0.6654961E+04  0.7736881E+04  0.9698227E+04  0.8965069E+04  0.7673234E+04  0.8769806E+04  0.8377150E+04  0.8914040E+04  0.9032194E+04
TOTAL            0.2626975E+05  0.2713567E+05  0.2781748E+05  0.2813903E+05  0.2919164E+05  0.2987407E+05  0.3059882E+05  0.3132558E+05  0.3229545E+05  0.3452597E+05  0.3708795E+05  0.3934944E+05  0.4191845E+05  0.4438848E+05  0.4522533E+05  0.4707221E+05  0.4854564E+05  0.4924239E+05  0.5086294E+05  0.5251151E+05  0.5292019E+05  0.5411046E+05  0.5597440E+05  0.5595123E+05  0.5849557E+05  0.6194511E+05  0.6504040E+05  0.6593894E+05  0.6605990E+05  0.6857791E+05  0.7031544E+05  0.7388931E+05  0.7579701E+05  0.7835667E+05  0.8168818E+05  0.8454178E+05  0.8940254E+05  0.9244365E+05  0.9560782E+05  0.9999410E+05  0.1037288E+06  0.1091667E+06  0.1124120E+06  0.1150394E+06  0.1184281E+06  0.1249192E+06  0.1286172E+06  0.1339221E+06  0.1360558E+06  0.1438767E+06  0.1496109E+06  0.1515917E+06  0.1560563E+06  0.1583076E+06  0.1659581E+06  0.1718903E+06  0.1791090E+06  0.1931594E+06  0.2018679E+06  0.2226181E+06  0.2310959E+06  0.2402694E+06  0.2575473E+06  0.2614507E+06  0.2743634E+06  0.2776467E+06
PP-EXCL-BF       0.3222448E+03  0.3694736E+03  0.3906303E+03  0.4230431E+03  0.6096801E+03  0.6857921E+03  0.7550151E+03  0.8675761E+03  0.9719470E+03  0.1121594E+04  0.1267494E+04  0.1443645E+04  0.1648724E+04  0.1903496E+04  0.2078321E+04  0.2302726E+04  0.2540127E+04  0.2843327E+04  0.3233055E+04  0.3536961E+04  0.3823555E+04  0.4142196E+04  0.4691233E+04  0.4859258E+04  0.5701140E+04  0.6316477E+04  0.7061818E+04  0.6910080E+04  0.6298104E+04  0.7347700E+04  0.8823780E+04  0.9835800E+04  0.1095712E+05  0.1229191E+05  0.1312370E+05  0.1490803E+05  0.1684172E+05  0.1928155E+05  0.2018581E+05  0.2275176E+05  0.2447359E+05  0.2726155E+05  0.2928774E+05  0.3214203E+05  0.3352145E+05  0.3863273E+05  0.4092926E+05  0.4225263E+05  0.4387790E+05  0.4734626E+05  0.5056070E+05  0.5170086E+05  0.5296825E+05  0.5565509E+05  0.6071787E+05  0.6223329E+05  0.6580465E+05  0.7227513E+05  0.7503493E+05  0.8305454E+05  0.8642262E+05  0.8999096E+05  0.9704845E+05  0.9506711E+05  0.1047716E+06  0.1055647E+06
PP-BF            0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1742500E+03  0.2450500E+03  0.3347100E+03  0.4801000E+03  0.6263000E+03  0.7729800E+03  0.9208200E+03  0.1069500E+04  0.1366367E+04  0.1727398E+04  0.2178095E+04  0.2689613E+04  0.3225420E+04  0.3754750E+04  0.4238580E+04  0.4649710E+04  0.4841040E+04
IND-EXCL-BF      0.3439983E+04  0.3741794E+04  0.3883088E+04  0.3782056E+04  0.4193949E+04  0.4238167E+04  0.4522557E+04  0.4617617E+04  0.5023489E+04  0.6652660E+04  0.8518110E+04  0.9951240E+04  0.1158894E+05  0.1305467E+05  0.1315603E+05  0.1402567E+05  0.1454607E+05  0.1423844E+05  0.1468756E+05  0.1529916E+05  0.1481384E+05  0.1483436E+05  0.1549860E+05  0.1462203E+05  0.1555321E+05  0.1752044E+05  0.1896612E+05  0.1905016E+05  0.1884908E+05  0.1885561E+05  0.1866233E+05  0.2002978E+05  0.2066448E+05  0.2088218E+05  0.2198617E+05  0.2292149E+05  0.2580888E+05  0.2550723E+05  0.2633965E+05  0.2733543E+05  0.2793307E+05  0.2947093E+05  0.3031198E+05  0.3014207E+05  0.3135650E+05  0.3165374E+05  0.3221392E+05  0.3508154E+05  0.3616844E+05  0.3889993E+05  0.4039514E+05  0.4073776E+05  0.4264886E+05  0.4092792E+05  0.4169106E+05  0.4492884E+05  0.4704648E+05  0.5178417E+05  0.5362783E+05  0.6056352E+05  0.6388582E+05  0.6809950E+05  0.7406902E+05  0.7940037E+05  0.8052540E+05  0.8086552E+05
