fuel,sector
diesel_oil,1A3b_Road
heavy_oil,1A1a_Electricity-public
heavy_oil,1A1a_Electricity-autoproducer
heavy_oil,1A1a_Heat-production
heavy_oil,1A1bc_Other-transformation
heavy_oil,1A2a_Ind-Comb-Iron-steel
heavy_oil,1A2b_Ind-Comb-Non-ferrous-metals
heavy_oil,1A2c_Ind-Comb-Chemicals
heavy_oil,1A2d_Ind-Comb-Pulp-paper
heavy_oil,1A2e_Ind-Comb-Food-tobacco
heavy_oil,1A2f_Ind-Comb-Non-metalic-minerals
heavy_oil,1A2g_Ind-Comb-Construction
heavy_oil,1A2g_Ind-Comb-transpequip
heavy_oil,1A2g_Ind-Comb-machinery
heavy_oil,1A2g_Ind-Comb-mining-quarying
heavy_oil,1A2g_Ind-Comb-wood-products
heavy_oil,1A2g_Ind-Comb-textile-leather
heavy_oil,1A2g_Ind-Comb-other
heavy_oil,1A3ai_International-aviation
heavy_oil,1A3aii_Domestic-aviation
heavy_oil,1A3b_Road
heavy_oil,1A3c_Rail
heavy_oil,1A3di_International-shipping
heavy_oil,1A3dii_Domestic-navigation
heavy_oil,1A3eii_Other-transp
heavy_oil,1A4a_Commercial-institutional
heavy_oil,1A4b_Residential
heavy_oil,1A4c_Agriculture-forestry-fishing
heavy_oil,1A5_Other-unspecified
heavy_oil,1B1_Fugitive-solid-fuels
heavy_oil,1B2_Fugitive-petr-and-gas
heavy_oil,1B2d_Fugitive-other-energy
heavy_oil,2A1_Cement-production
heavy_oil,2A2_Lime-production
heavy_oil,2A6_Other-minerals
heavy_oil,2B_Chemical-industry
heavy_oil,2C_Metal-production
heavy_oil,2D_Degreasing-Cleaning
heavy_oil,2D3_Other-product-use
heavy_oil,2D_Paint-application
heavy_oil,2D3_Chemical-products-manufacture-processing
heavy_oil,2H_Pulp-and-paper-food-beverage-wood
heavy_oil,2L_Other-process-emissions
heavy_oil,3B_Manure-management
heavy_oil,3D_Soil-emissions
heavy_oil,3I_Agriculture-other
heavy_oil,3D_Rice-Cultivation
heavy_oil,3E_Enteric-fermentation
heavy_oil,3F_Agricultural-residue-burning-on-fields
heavy_oil,5A_Solid-waste-disposal
heavy_oil,5E_Other-waste-handling
heavy_oil,5C_Waste-incineration
heavy_oil,6A_Other-in-total
heavy_oil,5D_Wastewater-handling
heavy_oil,6B_Other-not-in-total
heavy_oil,7A_Fossil-fuel-fires
heavy_oil,11A_Volcanoes
heavy_oil,11B_Forest-fires
heavy_oil,11C_Other-natural
