,edgar_sector,scaling_sector,ceds_sector
1,1A1a,1A1a_heat_elec,1A1a_Electricity-public
2,1A1a,1A1a_heat_elec,1A1a_Electricity-autoproducer
3,1A1a,1A1a_heat_elec,1A1a_Heat-production
4,1A1bc,1A1bc_Other-transformation,1A1bc_Other-transformation
5,1A2,1A2_ind_comb,1A2a_Ind-Comb-Iron-steel
6,1A2,1A2_ind_comb,1A2b_Ind-Comb-Non-ferrous-metals
7,1A2,1A2_ind_comb,1A2c_Ind-Comb-Chemicals
8,1A2,1A2_ind_comb,1A2d_Ind-Comb-Pulp-paper
9,1A2,1A2_ind_comb,1A2e_Ind-Comb-Food-tobacco
10,1A2,1A2_ind_comb,1A2f_Ind-Comb-Non-metalic-minerals
11,1A2,1A2_ind_comb,1A2g_Ind-Comb-Construction
12,1A2,1A2_ind_comb,1A2g_Ind-Comb-transpequip
13,1A2,1A2_ind_comb,1A2g_Ind-Comb-machinery
14,1A2,1A2_ind_comb,1A2g_Ind-Comb-mining-quarying
15,1A2,1A2_ind_comb,1A2g_Ind-Comb-wood-products
16,1A2,1A2_ind_comb,1A2g_Ind-Comb-textile-leather
17,1A2,1A2_ind_comb,1A2g_Ind-Comb-other
18,1A3a,1A3a_domestic_aviation,1A3aii_Domestic-aviation
19,1A3b,1A3b_road,1A3b_Road
20,1A3b_noRES,1A3b_road,1A3b_Road
21,1A3b_RES,1A3b_road,1A3b_Road
22,1A3c,1A3c_rail,1A3c_Rail
23,1A3d,1A3d_domestic_navigation,1A3dii_Domestic-navigation
24,1A3e,1A3e_other_trasp,1A3eii_Other-transp
25,1A4,1A4_RCO,1A4a_Commercial-institutional
26,1A4,1A4_RCO,1A4b_Residential
27,1A4,1A4_RCO,1A4c_Agriculture-forestry-fishing
28,1A5,1A5_other,1A5_Other-unspecified
29,1B1,1B1_Fugitive-solid-fuels,1B1_Fugitive-solid-fuels
30,1B1x,1B1_Fugitive-solid-fuels,1B1_Fugitive-solid-fuels
31,1B2,1B2_Fugitive-petr-and-gas,1B2_Fugitive-petr
32,1B2,1B2_Fugitive-petr-and-gas,1B2b_Fugitive-NG-prod
33,1B2,1B2_Fugitive-petr-and-gas,1B2b_Fugitive-NG-distr
34,1B2x,1B2_Fugitive-petr-and-gas,1B2_Fugitive-petr-and-gas
35,1B2x,1B2_Fugitive-petr-and-gas,1B2_Fugitive-petr-and-gas
36,1C1,,1A3ai_International-aviation
37,1C2,,1A3di_International-shipping
38,NA,1B2d_Fugitive-other-energy,1B2d_Fugitive-other-energy
39,2A1,2A1_Cement-production,2A1_Cement-production
40,2A2,2A2_Lime-production,2A2_Lime-production
41,2A3,2A6_Other-minerals,2A6_Other-minerals
42,2A4,2A6_Other-minerals,2A6_Other-minerals
43,2A7,2A6_Other-minerals,2A6_Other-minerals
44,2B,2B_Chemical-industry,2B_Chemical-industry
45,2C,2C_Metal-production,2C_Metal-production
46,2D,2H_Pulp-and-paper-food-beverage-wood,2H_Pulp-and-paper-food-beverage-wood
47,3A,2D_Paint-application,2D_Paint-application
48,3B,2D_Degreasing-Cleaning,2D_Degreasing-Cleaning
49,3C,2D3_Chemical-products-manufacture-processing,2D3_Chemical-products-manufacture-processing
50,3D,2D3_Other-product-use,2D3_Other-product-use
51,NA,2L_Other-process-emissions,2L_Other-process-emissions
52,4B,3B_Manure-management,3B_Manure-management
53,4D1,3D_Soil-emissions,3D_Soil-emissions
54,4D2,3B_D,3B_Manure-management
55,4D4,3B_D,3D_Soil-emissions
56,NA,3I_Agriculture-other,3I_Agriculture-other
57,4C,3D_Rice-Cultivation,3D_Rice-Cultivation
58,4A,3E_Enteric-fermentation,3E_Enteric-fermentation
59,4F,,3F_Agricultural-residue-burning-on-fields
60,6A,5A_Solid-waste-disposal,5A_Solid-waste-disposal
61,6D,5E_Other-waste-handling,5E_Other-waste-handling
62,6C,5C_Waste-incineration,5C_Waste-incineration
63,NA,6A_Other-in-total,6A_Other-in-total
64,6B,5D_Wastewater-handling,5D_Wastewater-handling
65,2G,6B_Other-not-in-total,6B_Other-not-in-total
66,7A,7A_Fossil-fuel-fires,7A_Fossil-fuel-fires
67,NA,11A_Volcanoes,11A_Volcanoes
68,NA,11C_Other-natural,11C_Other-natural
69,4D3,3B_D,
70,7B,7BC,7BC_Indirect-N2O-non-agricultural-N
71,7C,7BC,7BC_Indirect-N2O-non-agricultural-N
72,,,1A1bc_Other-feedstocks
73,,,1A3di_Oil_Tanker_Loading
74,,,11B_Forest-fires
75,5A,,
