emf_sector,ceds_sector,ceds_fuel
AACID,process_SAcidProduction,process
CEMENT,,
CHEM,,
CHEMBULK,,
CUSM,process_Smelting,process
End_Use_Industry_Bio_Trad,industry_comb,biomass
End_Use_Industry_Coal,industry_comb,hard_coal
End_Use_Industry_Coal,industry_comb,brown_coal
End_Use_Industry_HLF,industry_comb,diesel_oil
End_Use_Industry_HLF,industry_comb,heavy_oil
End_Use_Industry_LLF,industry_comb,light_oil
End_Use_Industry_NatGas,industry_comb,natural_gas
End_Use_Residential_Bio_Mod,rescom_buildings,biomass
End_Use_Residential_Bio_Trad,rescom_buildings,biomass
End_Use_Residential_Coal,rescom_buildings,hard_coal
End_Use_Residential_Coal,rescom_buildings,brown_coal
End_Use_Residential_HLF,rescom_buildings,diesel_oil
End_Use_Residential_HLF,rescom_buildings,heavy_oil
End_Use_Residential_LLF,rescom_buildings,light_oil
End_Use_Residential_NatGas,rescom_buildings,natural_gas
End_Use_Services_Bio_Trad,rescom_buildings,biomass
End_Use_Services_Coal,rescom_buildings,hard_coal
End_Use_Services_Coal,rescom_buildings,brown_coal
End_Use_Transport_Coal,transp_rail,hard_coal
End_Use_Transport_Coal,transp_rail,brown_coal
End_Use_Transport_HLF,transp_road,heavy_oil
End_Use_Transport_HLF,transp_road,diesel_oil
End_Use_Transport_LLF,transp_road,light_oil
End_Use_Transport_NatGas,transp_road,natural_gas
Losses_Coal,,hard_coal
Losses_Coal,,brown_coal
Losses_Distribution_Use,,
Losses_Vent_Flare,,
NACID,,
PAPER,process_PulpPaper,
Power_Gen_Bio_Trad,energytrans_electricity_gen,biomass
Power_Gen_Coal,energytrans_electricity_gen,hard_coal
Power_Gen_Coal,energytrans_electricity_gen,brown_coal
Power_Gen_HLF,energytrans_electricity_gen,heavy_oil
Power_Gen_HLF,energytrans_electricity_gen,heavy_oil
Power_Gen_LLF,energytrans_electricity_gen,light_oil
Power_Gen_NatGas,energytrans_electricity_gen,natural_gas
STEEL,,
Transformations_Coal,energytrans_coke_ovens,hard_coal
Transformations_Coal,energytrans_coke_ovens,brown_coal
Transformations_HLF,,heavy_oil
Transformations_HLF_Refinery,energytrans_petr_refin,process
Transformations_LLF,,light_oil
Transformations_NatGas,,natural_gas
Unattributed,,
Sum,,
NA,,
Total,,
