detailed_sectors,working_sectors_v1,working_sectors_v2,aggregate_sectors,FSU_extension,Figure_sector
1A1a_Electricity-public,1A1a_Electricity-public,1A1a_Electricity-public,1A1_Energy-transformation,Power,Energy Transf/Ext
1A1a_Electricity-autoproducer,1A1a_Electricity-autoproducer,1A1a_Electricity-autoproducer,1A1_Energy-transformation,Industry,Energy Transf/Ext
1A1a_Heat-production,1A1a_Heat-production,1A1a_Heat-production,1A1_Energy-transformation,Power,Energy Transf/Ext
1A1b_Pet-refining-comb,1A1bc_Other-transformation,1A1bc_Other-transformation,1A1_Energy-transformation,Power,Energy Transf/Ext
1A1c_Coke-ovens,1A1bc_Other-transformation,1A1bc_Other-transformation,1A1_Energy-transformation,Power,Energy Transf/Ext
1A1c_Coal-liquefaction,1A1bc_Other-transformation,1A1bc_Other-transformation,1A1_Energy-transformation,Power,Energy Transf/Ext
1A1g_Other-energy-transf,1A1bc_Other-transformation,1A1bc_Other-transformation,1A1_Energy-transformation,Power,Energy Transf/Ext
1A1bc_Other-feedstocks,1A1bc_Other-feedstocks,1A1bc_Other-feedstocks,1A1bc_Other-feedstocks,1A1bc_Other-feedstocks,
1A2a_Ind-Comb-Iron-steel,1A2a_Ind-Comb-Iron-steel,1A2a_Ind-Comb-Iron-steel,1A2_Industry-combustion,Industry,Industry
1A2b_Ind-Comb-Non-ferrous-metals,1A2b_Ind-Comb-Non-ferrous-metals,1A2b_Ind-Comb-Non-ferrous-metals,1A2_Industry-combustion,Industry,Industry
1A2c_Ind-Comb-Chemicals,1A2c_Ind-Comb-Chemicals,1A2c_Ind-Comb-Chemicals,1A2_Industry-combustion,Industry,Industry
1A2d_Ind-Comb-Pulp-paper,1A2d_Ind-Comb-Pulp-paper,1A2d_Ind-Comb-Pulp-paper,1A2_Industry-combustion,Industry,Industry
1A2e_Ind-Comb-Food-tobacco,1A2e_Ind-Comb-Food-tobacco,1A2e_Ind-Comb-Food-tobacco,1A2_Industry-combustion,Industry,Industry
1A2f_Ind-Comb-Non-metalic-minerals,1A2f_Ind-Comb-Non-metalic-minerals,1A2f_Ind-Comb-Non-metalic-minerals,1A2_Industry-combustion,Industry,Industry
1A2g_Ind-Comb-Construction,1A2g_Ind-Comb-Construction,1A2g_Ind-Comb-Construction,1A2_Industry-combustion,Industry,Industry
1A2g_Ind-Comb-transpequip,1A2g_Ind-Comb-transpequip,1A2g_Ind-Comb-transpequip,1A2_Industry-combustion,Industry,Industry
1A2g_Ind-Comb-machinery,1A2g_Ind-Comb-machinery,1A2g_Ind-Comb-machinery,1A2_Industry-combustion,Industry,Industry
1A2g_Ind-Comb-mining-quarying,1A2g_Ind-Comb-mining-quarying,1A2g_Ind-Comb-mining-quarying,1A2_Industry-combustion,Industry,Industry
1A2g_Ind-Comb-wood-products,1A2g_Ind-Comb-wood-products,1A2g_Ind-Comb-wood-products,1A2_Industry-combustion,Industry,Industry
1A2g_Ind-Comb-textile-leather,1A2g_Ind-Comb-textile-leather,1A2g_Ind-Comb-textile-leather,1A2_Industry-combustion,Industry,Industry
1A2g_Ind-Comb-other,1A2g_Ind-Comb-other,1A2g_Ind-Comb-other,1A2_Industry-combustion,Industry,Industry
1A3ai_International-aviation-LTO,1A3ai_International-aviation,1A3ai_International-aviation,1A3_Aviation,Transportation,Air
1A3ai_International-aviation-cruise,1A3ai_International-aviation,1A3ai_International-aviation,1A3_Aviation,Transportation,Air
1A3aii_Domestic-aviation-LTO,1A3aii_Domestic-aviation,1A3aii_Domestic-aviation,1A3_Aviation,Transportation,Air
1A3aii_Domestic-aviation-cruise,1A3aii_Domestic-aviation,1A3aii_Domestic-aviation,1A3_Aviation,Transportation,Air
1A3bii_Road-LDV,1A3b_Road,1A3b_Road,1A3_Transportation,Transportation,Transportation
1A3biii_Road-truck-bus,1A3b_Road,1A3b_Road,1A3_Transportation,Transportation,Transportation
1A3biv_Road-mopeds-motorcycles,1A3b_Road,1A3b_Road,1A3_Transportation,Transportation,Transportation
1A3b_Road-noncomb,1A3b_Road,1A3b_Road,1A3_Transportation,Transportation,Transportation
1A3c_Rail,1A3c_Rail,1A3c_Rail,1A3_Transportation,Transportation,Transportation
1A3di_Oil_Tanker_Loading,1A3di_Oil_Tanker_Loading,1A3di_Oil_Tanker_Loading,1A3_International-shipping,,Shipping
1A3di_International-shipping,1A3di_International-shipping,1A3di_International-shipping,1A3_International-shipping,Transportation,Shipping
1A3dii_Domestic-navigation,1A3dii_Domestic-navigation,1A3dii_Domestic-navigation,1A3_Transportation,Transportation,Transportation
1A3ei_Pipelines,1A3eii_Other-transp,1A3eii_Other-transp,1A3_Transportation,Transportation,Transportation
1A3eii_Other-unspecified-transp,1A3eii_Other-transp,1A3eii_Other-transp,1A3_Transportation,Transportation,Transportation
1A4ai_Commercial-institutional-stationary,1A4a_Commercial-institutional,1A4a_Commercial-institutional,1A4_Stationary_RCO,Residential,RCO
1A4aii_Commercial-institutional-mobile,1A4a_Commercial-institutional,1A4a_Commercial-institutional,1A4_Stationary_RCO,Residential,RCO
1A4bi_Residential-stationary,1A4b_Residential,1A4b_Residential,1A4_Stationary_RCO,Residential,RCO
1A4bii_Residential-mobile,1A4b_Residential,1A4b_Residential,1A4_Stationary_RCO,Residential,RCO
1A4c_Agriculture-forestry-fishing,1A4c_Agriculture-forestry-fishing,1A4c_Agriculture-forestry-fishing,1A4_Stationary_RCO,Agriculture,RCO
1A4c_Fishing,1A4c_Agriculture-forestry-fishing,1A4c_Agriculture-forestry-fishing,1A4_Stationary_RCO,Agriculture,RCO
1A5_Other-unspecified,1A5_Other-unspecified,1A5_Other-unspecified,1A4_Stationary_RCO,Other,RCO
1B1a_Fugitive-coal-mining,1B1_Fugitive-solid-fuels,1B1_Fugitive-solid-fuels,1B_Fugitive,,Energy Transf/Ext
1B1_Fugitive-coal-otherSolid,1B1_Fugitive-solid-fuels,1B1_Fugitive-solid-fuels,1B_Fugitive,,Energy Transf/Ext
1B2ai_Fugitive-petr-prod,1B2_Fugitive-petr-and-gas,1B2ai_Fugitive-petr-prod,1B_Fugitive,,Energy Transf/Ext
1B2aiv_Fugitive-petr-refining,1B2_Fugitive-petr-and-gas,1B2aiv_Fugitive-petr-refining,1B_Fugitive,,Energy Transf/Ext
1B2av_Fugitive-petr-distr,1B2_Fugitive-petr-and-gas,1B2av_Fugitive-petr-distr,1B_Fugitive,,Energy Transf/Ext
