iso,country,region,priority,proxy,note,hasData,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013
dza,Algeria,Africa,3,zaf,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,
gin,Guinea,Africa,0,,zeroed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,
ken,Kenya,Africa,0,,zeroed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,
mar,Morocco,Africa,3,kor,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,
mdg,Madagascar,Africa,0,,zeroed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
mus,Mauritius,Africa,3,zaf,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,
reu,Reunion,Africa,3,zaf,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9,,,,,,,,,
tun,Tunisia,Africa,3,zaf,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5,,,,,
zaf,South Africa,Africa,2,cze,proxied-est base,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,50,50,52,54,55,57,57,57,57,57,,
ago,Angola,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
bdi,Burundi,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
ben,Benin,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
bfa,Burkina Faso,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
bwa,Botswana,Africa,1,,assume base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
