emf_name,iso
1 Canada,can
10 South Africa,zaf
11 Western Europe,aut
11 Western Europe,bel
11 Western Europe,che
11 Western Europe,deu
11 Western Europe,dnk
11 Western Europe,dza
11 Western Europe,esp
11 Western Europe,fin
11 Western Europe,flk
11 Western Europe,fra
11 Western Europe,gbr
11 Western Europe,gib
11 Western Europe,grc
11 Western Europe,hti
11 Western Europe,irl
11 Western Europe,isl
11 Western Europe,ita
11 Western Europe,lie
11 Western Europe,lux
11 Western Europe,mda
11 Western Europe,nld
11 Western Europe,nor
11 Western Europe,prt
11 Western Europe,sur
11 Western Europe,swe
11 Western Europe,wsm
12 Central Europe,alb
12 Central Europe,bgr
12 Central Europe,bih
12 Central Europe,cyp
12 Central Europe,cze
12 Central Europe,est
12 Central Europe,hrv
12 Central Europe,hun
12 Central Europe,ltu
12 Central Europe,lva
12 Central Europe,mkd
12 Central Europe,mlt
12 Central Europe,pol
12 Central Europe,rou
12 Central Europe,svk
12 Central Europe,svn
12 Central Europe,yem
13 Turkey,tur
14 Ukraine+,blr
14 Ukraine+,mda
14 Ukraine+,ukr
15 Asia-Stan,kaz
15 Asia-Stan,tjk
15 Asia-Stan,tkm
15 Asia-Stan,uzb
16 Russia+,arm
16 Russia+,aze
16 Russia+,geo
16 Russia+,rus
17 Middle East,are
17 Middle East,bhr
17 Middle East,idn
17 Middle East,irq
17 Middle East,isr
17 Middle East,jor
17 Middle East,kwt
17 Middle East,lbn
17 Middle East,omn
17 Middle East,qat
17 Middle East,sau
17 Middle East,syr
17 Middle East,yem
18 India,ind
19 Korea,kir
19 Korea,kir
2 USA,lca
2 USA,usa
20 China+,chn
20 China+,hnd
20 China+,mac
20 China+,mng
20 China+,syr
21 Southeastern Asia,brn
21 Southeastern Asia,kgz
21 Southeastern Asia,khm
21 Southeastern Asia,moz
21 Southeastern Asia,mys
21 Southeastern Asia,phl
21 Southeastern Asia,sgp
21 Southeastern Asia,tha
21 Southeastern Asia,ven
22 Indonesia+,dom
22 Indonesia+,idn
22 Indonesia+,png
23 Japan,jpn
24 Oceania,aus
24 Oceania,cog
24 Oceania,dza
24 Oceania,fji
24 Oceania,glp
24 Oceania,guf
24 Oceania,hti
24 Oceania,kir
24 Oceania,mex
24 Oceania,mlt
24 Oceania,nam
24 Oceania,ncl
24 Oceania,nga
24 Oceania,nzl
24 Oceania,phl
24 Oceania,plw
24 Oceania,slb
24 Oceania,tca
24 Oceania,tgo
24 Oceania,twn
24 Oceania,vnm
24 Oceania,vut
24 Oceania,wsm
25 Rest South Asia,afg
25 Rest South Asia,bgd
25 Rest South Asia,bra
25 Rest South Asia,btn
25 Rest South Asia,lka
25 Rest South Asia,mdv
25 Rest South Asia,npl
25 Rest South Asia,pak
3 Mexico,mex
4 Rest Central America,abw
4 Rest Central America,ago
4 Rest Central America,ant
4 Rest Central America,atg
4 Rest Central America,bhs
4 Rest Central America,blz
4 Rest Central America,bmu
4 Rest Central America,brb
4 Rest Central America,cri
4 Rest Central America,cub
4 Rest Central America,cym
4 Rest Central America,dma
4 Rest Central America,dom
4 Rest Central America,glp
4 Rest Central America,grd
4 Rest Central America,gtm
4 Rest Central America,hnd
4 Rest Central America,hti
4 Rest Central America,jam
4 Rest Central America,kna
4 Rest Central America,lca
4 Rest Central America,mlt
4 Rest Central America,msr
4 Rest Central America,nic
4 Rest Central America,pan
4 Rest Central America,pri
4 Rest Central America,slv
4 Rest Central America,tca
4 Rest Central America,tto
4 Rest Central America,vct
4 Rest Central America,vnm
5 Brazil,bra
6 Rest South America,arg
6 Rest South America,bol
6 Rest South America,bwa
6 Rest South America,chl
6 Rest South America,col
6 Rest South America,ecu
6 Rest South America,flk
6 Rest South America,guf
6 Rest South America,guy
6 Rest South America,per
6 Rest South America,pry
6 Rest South America,sur
6 Rest South America,ury
6 Rest South America,ven
6 Rest South America,zaf
7 Northern Africa,dza
7 Northern Africa,egy
7 Northern Africa,esh
7 Northern Africa,lby
7 Northern Africa,mar
7 Northern Africa,tun
8 Western Africa,ben
8 Western Africa,bfa
8 Western Africa,caf
8 Western Africa,cmr
8 Western Africa,cog
8 Western Africa,cpv
8 Western Africa,cri
8 Western Africa,gab
8 Western Africa,gha
8 Western Africa,gin
8 Western Africa,gmb
8 Western Africa,gnb
8 Western Africa,gnq
8 Western Africa,lbr
8 Western Africa,mli
8 Western Africa,mrt
8 Western Africa,ner
8 Western Africa,nga
8 Western Africa,rwa
8 Western Africa,sen
8 Western Africa,sle
8 Western Africa,stp
8 Western Africa,tcd
8 Western Africa,tgo
Rest Southern Africa,bwa
Rest Southern Africa,lso
Rest Southern Africa,moz
Rest Southern Africa,mwi
Rest Southern Africa,nam
Rest Southern Africa,swz
Rest Southern Africa,tza
Rest Southern Africa,zmb
Rest Southern Africa,zwe
Eastern Africa,bdi
Eastern Africa,com
Eastern Africa,dji
Eastern Africa,eri
Eastern Africa,eth
Eastern Africa,ken
Eastern Africa,mdg
Eastern Africa,mus
Eastern Africa,mus
Eastern Africa,reu
Eastern Africa,rwa
Eastern Africa,sdn
Eastern Africa,som
Eastern Africa,syc
Eastern Africa,uga
