Bond_sector,ceds_sector,activity
Elec,1A1a_Electricity-public,Energy_Combustion
Elec,1A1a_Electricity-autoproducer,Energy_Combustion
Elec,1A1a_Heat-production,Energy_Combustion
OtherTransf,1A1bc_Other-transformation,Energy_Combustion
Industry,1A2a_Ind-Comb-Iron-steel,Energy_Combustion
Industry,1A2b_Ind-Comb-Non-ferrous-metals,Energy_Combustion
Industry,1A2c_Ind-Comb-Chemicals,Energy_Combustion
Industry,1A2d_Ind-Comb-Pulp-paper,Energy_Combustion
Industry,1A2e_Ind-Comb-Food-tobacco,Energy_Combustion
Industry,1A2f_Ind-Comb-Non-metalic-minerals,Energy_Combustion
Industry,1A2g_Ind-Comb-Construction,Energy_Combustion
Industry,1A2g_Ind-Comb-transpequip,Energy_Combustion
Industry,1A2g_Ind-Comb-machinery,Energy_Combustion
Industry,1A2g_Ind-Comb-mining-quarying,Energy_Combustion
Industry,1A2g_Ind-Comb-wood-products,Energy_Combustion
Industry,1A2g_Ind-Comb-textile-leather,Energy_Combustion
Industry,1A2g_Ind-Comb-other,Energy_Combustion
AirTransport,1A3ai_International-aviation,Energy_Combustion
AirTransport,1A3aii_Domestic-aviation,Energy_Combustion
RoadTransport,1A3b_Road,Energy_Combustion
RailTransport,1A3c_Rail,Energy_Combustion
OtherTransport,1A3eii_Other-transp,Energy_Combustion
ShipTransport,1A3di_International-shipping,Energy_Combustion
ShipTransport,1A3dii_Domestic-naviation,Energy_Combustion
InterBunkers,1A3di_International-shipping,Energy_Combustion
CommBuildings,1A4a_Commercial-institutional,Energy_Combustion
Residential,1A4b_Residential,Energy_Combustion
UrbanBurn,1A4c_Agriculture-forestry-fishing,Energy_Combustion
RuralBurn,1A4c_Agriculture-forestry-fishing,Energy_Combustion
SavannaBurn,11C_Other-natural,Energy_Combustion
ForestBurn,11B_Forest-fires,Energy_Combustion
AgResidueBurn,3F_Agricultural-residue-burning-on-fields,Energy_Combustion
