edgar_sector,edgar_descr,scaling_sector,ceds_sector,type,units,Note: Current ceds_sectors are working sectors v1,,,,,ceds_sector
1A1a,Public electricity and heat production,1A1a,1A1a_Electricity-public,comb,kt,,,,,,
,,1A1a,1A1a_Electricity-autoproducer,comb,kt,,,,,,
,,1A1a,1A1a_Heat-production,comb,kt,,,,,,
1A1bc,Other Energy Industries,1A1bc,1A1bc_Other-transformation,NC,kt,,,,,,
1A2,Manufacturing Industries and Construction,1A2,1A2a_Ind-Comb-Iron-steel,comb,kt,,,,,,
,,1A2,1A2b_Ind-Comb-Non-ferrous-metals,comb,kt,,,,,,
,,1A2,1A2c_Ind-Comb-Chemicals,comb,kt,,,,,,
,,1A2,1A2d_Ind-Comb-Pulp-paper,comb,kt,,,,,,
,,1A2,1A2e_Ind-Comb-Food-tobacco,comb,kt,,,,,,
,,1A2,1A2f_Ind-Comb-Non-metalic-minerals,comb,kt,,,,,,
,,1A2,1A2g_Ind-Comb-Construction,comb,kt,,,,,,
,,1A2,1A2g_Ind-Comb-transpequip,comb,kt,,,,,,
,,1A2,1A2g_Ind-Comb-machinery,comb,kt,,,,,,
,,1A2,1A2g_Ind-Comb-mining-quarying,comb,kt,,,,,,
,,1A2,1A2g_Ind-Comb-wood-products,comb,kt,,,,,,
,,1A2,1A2g_Ind-Comb-textile-leather,comb,kt,,,,,,
,,1A2,1A2g_Ind-Comb-other,comb,kt,,,,,,
1A3a,Domestic aviation,1A3a,1A3aii_Domestic-aviation,comb,kt,,,,,,
1A3b,Road transportation,1A3b,1A3b_Road,comb,kt,,,,,,
1A3c,Rail transportation,1A3c,1A3c_Rail,comb,kt,,,,,,
1A3d,Inland navigation,1A3d,1A3dii_Domestic-navigation,comb,kt,,,,,,
1A3e,Other transportation,1A3e,1A3eii_Other-transp,comb,kt,,,,,,
1A4,Residential and other sectors,1A4,1A4a_Commercial-institutional,comb,kt,,,,,,
,,1A4,1A4b_Residential,comb,kt,,,,,,
,,1A4,1A4c_Agriculture-forestry-fishing,comb,kt,,,,,,
1A5,Other Energy Industries,1A5,,comb,kt,,,,,,
1B1,Fugitive emissions from solid fuels,1B1,1B1_Fugitive-solid-fuels,NC,kt,,,,,,
1B2,Fugitive emissions from oil and gas,1B2,1B2_Fugitive-petr-and-gas,NC,kt,,,,,,
,,1B2,1B2d_Fugitive-other-energy,NC,kt,,,,,,
1C1,Memo: International aviation,1C1,1A3ai_International-aviation,comb,kt,,,,,,
1C2,Memo: International navigation,1C2,1A3di_International-shipping,comb,kt,,,,,,
2A1,Cement production,2A1,2A1_Cement-production,NC,kt,,,,,,
2A2,Lime production,2A2,2A2_Lime-production,NC,kt,,,,,,
2A4,Use of other minerals,2A6,2A6_Other-minerals,NC,kt,,,,,,
2A7,Production of other minerals,2A6,2A6_Other-minerals,NC,kt,,,,,,
2B,Production of chemicals,2B,2B_Chemical-industry,comb,kt,,,,,,
2C,Production of metals,2C,2C_Metal-production,comb,kt,,,,,,
2D,Production of pulp/paper/food/drink,2D,2H_Pulp-and-paper-food-beverage-wood,comb,kt,,,,,,
2E,Production of halocarbons and SF6,,,comb,kt,,,,,,
2F1,Refrigeration and Air Conditioning,,,comb,kt,,,,,,
2F2,Foam Blowing,,,comb,kt,,,,,,
2F3,Fire Extinguishers,,,comb,kt,,,,,,
2F4,Aerosols,,,comb,kt,,,,,,
2F5,F-gas as Solvent,,,comb,kt,,,,,,
2F7,Semiconductor/Electronics Manufacture,,,comb,kt,,,,,,
2F8,Electrical Equipment,,,comb,kt,,,,,,
2F9,Other F-gas use,,,comb,kt,,,,,,
2G,Non-energy use of lubricants/waxes (CO2),,,comb,kt,,,,,,
3A,Solvent and other product use: paint,2E,2D_Paint-application,NC,kt,,,,,,
3B,Solvent and other product use: degrease,2F,2D_Degreasing-Cleaning,NC,kt,,,,,,
3C,Solvent and other product use: chemicals,2G,2D3_Chemical-products-manufacture-processing,NC,kt,,,,,,
3D,Solvent and other product use: other,2G,2D3_Other-product-use,NC,kt,,,,,,
4A,Enteric fermentation,3A,3E_Enteric-fermentation,NC,kt,,,,,,
4B,Manure management,3B,3B_Manure-management,NC,kt,,,,,,
4C,Rice cultivation,3C,3D_Rice-Cultivation,NC,kt,,,,,,
4D1,Direct soil emissions,3D,3D_Soil-emissions,NC,kt,,,,,,
4D2,Manure in pasture/range/paddock,,3B_Manure-management,NC,kt,,,,,,
4D3,Indirect N2O from agriculture,,,EMFeedback,kt,Don't include feedback emissions,,,,,
4D4,Other direct soil emissions,,3D_Soil-emissions,NC,kt,,,,,,
4E,Other-in-total,4E,6A_Other-in-total,NC,kt,,,,,,
