working_sectors_v1,working_sectors_v2,EF_summary_sector
1A1a_Electricity-public,1A1a_Electricity-public,Electricity_and_Heat
1A1a_Electricity-autoproducer,1A1a_Electricity-autoproducer,Electricity_and_Heat
1A1a_Heat-production,1A1a_Heat-production,Electricity_and_Heat
1A1bc_Other-transformation,1A1bc_Other-transformation,Electricity_and_Heat
1A1bc_Other-transformation,1A1bc_Other-transformation,Electricity_and_Heat
1A1bc_Other-transformation,1A1bc_Other-transformation,Electricity_and_Heat
1A1bc_Other-transformation,1A1bc_Other-transformation,Electricity_and_Heat
1A2a_Ind-Comb-Iron-steel,1A2a_Ind-Comb-Iron-steel,Industrial_fuel_combustion
1A2b_Ind-Comb-Non-ferrous-metals,1A2b_Ind-Comb-Non-ferrous-metals,Industrial_fuel_combustion
1A2c_Ind-Comb-Chemicals,1A2c_Ind-Comb-Chemicals,Industrial_fuel_combustion
1A2d_Ind-Comb-Pulp-paper,1A2d_Ind-Comb-Pulp-paper,Industrial_fuel_combustion
1A2e_Ind-Comb-Food-tobacco,1A2e_Ind-Comb-Food-tobacco,Industrial_fuel_combustion
1A2f_Ind-Comb-Non-metalic-minerals,1A2f_Ind-Comb-Non-metalic-minerals,Industrial_fuel_combustion
1A2g_Ind-Comb-Construction,1A2g_Ind-Comb-Construction,Industrial_fuel_combustion
1A2g_Ind-Comb-transpequip,1A2g_Ind-Comb-transpequip,Industrial_fuel_combustion
1A2g_Ind-Comb-machinery,1A2g_Ind-Comb-machinery,Industrial_fuel_combustion
1A2g_Ind-Comb-mining-quarying,1A2g_Ind-Comb-mining-quarying,Industrial_fuel_combustion
1A2g_Ind-Comb-wood-products,1A2g_Ind-Comb-wood-products,Industrial_fuel_combustion
1A2g_Ind-Comb-textile-leather,1A2g_Ind-Comb-textile-leather,Industrial_fuel_combustion
1A2g_Ind-Comb-other,1A2g_Ind-Comb-other,Industrial_fuel_combustion
1A3ai_International-aviation,1A3ai_International-aviation,Rail_and_shipping
1A3ai_International-aviation,1A3ai_International-aviation,Rail_and_shipping
1A3aii_Domestic-aviation,1A3aii_Domestic-aviation,Rail_and_shipping
1A3aii_Domestic-aviation,1A3aii_Domestic-aviation,Rail_and_shipping
1A3b_Road,1A3b_Road,Road
1A3b_Road,1A3b_Road,Road
1A3b_Road,1A3b_Road,Road
1A3b_Road,1A3b_Road,Road
1A3c_Rail,1A3c_Rail,Rail_and_shipping
1A3di_International-shipping,1A3di_International-shipping,Rail_and_shipping
1A3dii_Domestic-navigation,1A3dii_Domestic-navigation,Rail_and_shipping
1A3eii_Other-transp,1A3eii_Other-transp,Rail_and_shipping
1A3eii_Other-transp,1A3eii_Other-transp,Rail_and_shipping
1A4a_Commercial-institutional,1A4a_Commercial-institutional,1A4a_Commercial-institutional
1A4a_Commercial-institutional,1A4a_Commercial-institutional,1A4a_Commercial-institutional
1A4b_Residential,1A4b_Residential,1A4b_Residential
1A4b_Residential,1A4b_Residential,1A4b_Residential
1A4c_Agriculture-forestry-fishing,1A4c_Agriculture-forestry-fishing,1A4a_Commercial-institutional
1A4c_Agriculture-forestry-fishing,1A4c_Agriculture-forestry-fishing,1A4a_Commercial-institutional
1A5_Other-unspecified,1A5_Other-unspecified,1A4a_Commercial-institutional
1B1_Fugitive-solid-fuels,1B1_Fugitive-solid-fuels,Electricity_and_Heat
1B1_Fugitive-solid-fuels,1B1_Fugitive-solid-fuels,Electricity_and_Heat
1B2_Fugitive-petr-and-gas,1B2ai_Fugitive-petr-prod,Electricity_and_Heat
1B2_Fugitive-petr-and-gas,1B2aiv_Fugitive-petr-refining,Electricity_and_Heat
1B2_Fugitive-petr-and-gas,1B2av_Fugitive-petr-distr,Electricity_and_Heat
1B2_Fugitive-petr-and-gas,1B2b_Fugitive-NG-prod-distr,Electricity_and_Heat
1B2_Fugitive-petr-and-gas,1B2c_Venting-flaring-oil-gas,Electricity_and_Heat
1B2d_Fugitive-other-energy,1B2d_Fugitive-other-energy,Electricity_and_Heat
