inv_sector,description,scaling_sector,ceds_sector
1,Energy,,
2,industrial processes,industry,
2.1,,,
3,,,
4,,,
7,,,
1.A,fuel combustion,,
1.A.1,energy indistries,,
1.A.3,Transport,domestic_transport,
1.A.4,Other Sectors,energy,energytrans_heat_gen
1.A.5,Non Specified,energy,energytrans_electricity_gen
1.AA.1.A,main activity electric and heat,energy,energytrans_petr_refin
,,,
1.AA.1.B,petroleum refining,energy,
1.AA.1.C,manufacture of solid fuels and other energy industries,energy,coal_production
1.AA.2.A,iron and steal,industry,industry_minerals
1.AA.2.B,non ferrous metal,industry,industry_comb
1.AA.2.D,pulp paper and print,industry,industry_agriculture
1.AA.2.E,food processing,industry,industry_agriculture
1.AA.2.F,non metallic minerals,industry,
1.AA.3.A,civil aviation,industry,
1.AA.3.B,road transportation,domestic_transport,transp_international_ship
1.AA.3.C,railways,domestic_transport,transp_international_air
1.AA.3.D,waterbourne navigation,domestic_transport,transp_domestic_ship
1.AA.3.E,other transportation,domestic_transport,transp_domestic_air
1.AA.4.A,comercial_institutional,buildings,rescom_buildings
1.AA.4.B,residential,buildings,
1.AA.4.C,agriculture/forestry,industry,
1.AA.5.B,mobile,industry,
1.B,Fugitive Emissions from Fuels,energy,
1.B.1.A,coal mining and handling,,
1.B.1.B,uncontrolled combustion and burning coal dumps,,
1.B.1.C,solid fuel transformation,,
1.B.2,oil and nat gas,,
1.B.2.A,fugitive emissions - oil,,
1.B.2.B,fugitive emissions - natural gas,,
1.B.2.C,venting and flaring,,
1.B.2.C.1,venting and flaring,,
1.B.2.C.2,venting and flaring,,
1.B.2.D,other fugitive,,
2.A.1,Cement,,
2.A.6,road paving asphalt,,
2.A.7,quarrying and mining not coal,,
2.A.7.1,quarrying and mining not coal,,
2.B.1,ammonia production,,
2.B.4,"Caprolactam, Glyoxal and Glyoxylic Acid ",,
2.B.5,carbide production,,
2.C,metal industry,,
2.C.1,iron and steel,,
2.C.2,ferroalloys production,,
2.C.3,aluminum,,
2.C.5,lead,,
2.D,non energy products from fuels and solvent,,
2.D.1,lubricant,,
2.G,other product manufacturing,,
4.D,wastewater treatment and discharge,,
6.C,other,,
6.D,other,,
Aviation,,domestic_transport,transp_road
International Bunkers,,,
Marine,,domestic_transport,transp_rail
Memo Items,,,
Multilateral Operations,,,
,,domestic_transport,transp_unspecified
,,industry,process_Smelting
,,industry,process_SAcidProduction
,,industry,process_PulpPaper
,,industry,process_Other
,,industry,process_Al
