edgar_sector,edgar_descr,ceds_sector,units,Not-included-in-CEDS-CMIP6
1A1bc,Other Energy Industries,1A1bc_Other-transformation,kt,
1B1,Fugitive emissions from solid fuels,1B1_Fugitive-solid-fuels,kt,
1B2,Fugitive emissions from oil and gas,1B2_Fugitive-petr-and-gas,kt,
,,1B2d_Fugitive-other-energy,kt,
2A1,Production of cement,2A1_Cement-production,kt,
2A2,Production of lime,2A2_Lime-production,kt,
2A4,Production of other minerals,2A6_Other-minerals,kt,
2A7,Production of other minerals,2A6_Other-minerals,kt,
2B,Production of chemicals,2B_Chemical-industry,kt,
2C,Production of metals,2C_Metal-production,kt,
2D,Production of pulp/paper/food/drink,2H_Pulp-and-paper-food-beverage-wood,kt,
3A,Solvent and other product use: paint,2D_Paint-application,kt,
3B,Solvent and other product use: degrease,2D_Degreasing-Cleaning,kt,
3C,Solvent and other product use: chemicals,2D3_Chemical-products-manufacture-processing,kt,
3D,Solvent and other product use: other,2D3_Other-product-use,kt,
,,2L_Other-process-emissions,kt,
4B,Manure management,3B_Manure-management,kt,
4D1,Direct soil emissions,3D_Soil-emissions,kt,
4D2,Manure management,3B_Manure-management,kt,
4D4,Other direct soil emissions,3D_Soil-emissions,kt,
,,3I_Agriculture-other,kt,
4C,Rice cultivation,3D_Rice-Cultivation,kt,
4A,Enteric fermentation,3E_Enteric-fermentation,kt,
4F,Agricultural waste burning,,kt,3F_Agricultural-residue-burning-on-fields
6A,Solid waste disposal on land,5A_Solid-waste-disposal,kt,
6D,Other waste handling,5E_Other-waste-handling,kt,
6C,Waste incineration,5C_Waste-incineration,kt,
,,6A_Other-in-total,kt,
6B,Wastewater handling,5D_Wastewater-handling,kt,
,,6B_Other-not-in-total,kt,
7A,Fossil fuel fires,7A_Fossil-fuel-fires,kt,
,,11A_Volcanoes,kt,
5A,Forest fires,,kt,11B_Forest-fires
,,11C_Other-natural,kt,
