Region,master_region
AFRI_WEST,Africa
AFRI_EAST,Africa
AFRI_NORT,Africa
ASIA_STAN,FSU
BRAZ_WHOL,Latin America
CANA_WHOL,OtherOECD90
CEAM_REST,Latin America
CENT_EURO,Eastern Europe
CHIN_PLUS,Asia
INDI_WHOL,Asia
JAPA_WHOL,OtherOECD90
INDO_PLUS,Asia
KORE_AALL,Asia
LAME_REST,Latin America
MEXI_WHOL,Latin America
MIDD_EAST,Middle East
OCEA_WHOL,OtherOECD90
SOEA_ASIA,Asia
RUSS_PLUS,FSU
SAFR_WHOL,Africa
SOUA_REST,Asia
USAM_WHOL,OtherOECD90
UKRA_PLUS,FSU
TURK_WHOL,Western Europe
WEST_EURO,Western Europe
