"ipcc-1996 Activity sector description","ipcc-1996","CEDS-Working-Sector-Name"
"Energy industries (coal)","1.A.1","1A1a_Electricity-public"
"Energy industries (coal)","1.A.1","1A1a_Electricity-autoproducer"
"Energy industries (coal)","1.A.1","1A1a_Heat-production"
"Energy industries (coal)","1.A.1","1A1bc_Other-transformation"
"Manufacturing industry, Iron and steel industry","1A2a","1A2a_Ind-Comb-Iron-steel"
"Manufacturing industry, Non-ferrous metals (combustion)","1A2b","1A2b_Ind-Comb-Non-ferrous-metals"
"Manufacturing industry, Chemical industry (combustion)","1A2c","1A2c_Ind-Comb-Chemicals"
"Manufacturing industry, Paper, pulp and print (combustion)","1A2d","1A2d_Ind-Comb-Pulp-paper"
"Manufacturing industry, Food and tobacco (combustion)","1A2e","1A2e_Ind-Comb-Food-tobacco"
"Manufacturing industry, Non-metallic minerals (combustion)","1A2b","1A2f_Ind-Comb-Non-metalic-minerals"
"Manufacturing industry, Construction (combustion)","1A2f","1A2g_Ind-Comb-Construction"
"Manufacturing industry, Transport equipment (combustion)","1A2f","1A2g_Ind-Comb-transpequip"
"Manufacturing industry, Machinery (combustion)","1A2f","1A2g_Ind-Comb-machinery"
"Manufacturing industry, Mining (combustion)","1A2f","1A2g_Ind-Comb-mining-quarying"
"Manufacturing industry, Wood and wood products (combustion)","1A2f","1A2g_Ind-Comb-wood-products"
"Manufacturing industry, Textiles (combustion)","1A2f","1A2g_Ind-Comb-textile-leather"
"Manufacturing industry, Non-specified industry (combustion)","1A2f","1A2g_Ind-Comb-other"
"International aviation","1A3a1","1A3ai_International-aviation"
"Domestic aviation","1A3a2","1A3aii_Domestic-aviation"
"Road transport","1A3b","1A3b_Road"
"Rail transport","1A3c","1A3c_Rail"
"International shipping","1A3d1","1A3di_International-shipping"
"Inland waterways","1A3d2","1A3dii_Domestic-navigation (shipping)"
"Other non-road transport","1A3e","1A3eii_Other-transp"
"Small combustion","1A4","1A4a_Commercial-institutional"
"Small combustion","1A4","1A4b_Residential"
"Production of oil","1B2","1B2ai_Fugitive-petr-prod"
"Fuel combustion in petroleum refineries","1B2a4","1B2aiv_Fugitive-petr-refining"
"Production of oil","1B2","1B2av_Fugitive-petr-distr"
"Production of oil","1B2","1B2b_Fugitive-NG-prod-distr"
"Production of oil","1B2","1B2c_Venting-flaring-oil-gas"
"Production of oil","1B2","1B2d_Fugitive-other-energy"
"Production of non-metallic minerals, Cement production","2A1","2A1_Cement-production"
"Production of non-metallic minerals, Lime production","2A2","2A2_Lime-production"
"Production of non-metallic minerals, Other non-metallic minerals","2A7","2A6_Other-minerals"
"Crude steel production","2.C.1","2C_Iron-steel-alloy-prod"
"Production of non-ferrous metals, Aluminium production","2C3","2C3_Aluminum-production"
"Solvents in industrial degreasing","3","2D_Degreasing-Cleaning"
"Other solvents use","3D","2D3_Other-product-use"
"Solvents in paint","3","2D_Paint-application"
"Solvents in chemical industry","3","2D3_Chemical-products-manufacture-processing"
"Pulp and paper production","2D1","2H_Pulp-and-paper-food-beverage-wood"
"Production and use of other products","2G","2L_Other-process-emissions"
"Manure management","4B","3B_Manure-management"
"Rice cultivation","4C","3D_Rice-Cultivation"
"Enteric fermentation of ruminants","4A1","3E_Enteric-fermentation"
"Agricultural waste burning","4F","3F_Agricultural-residue-burning-on-fields"
"Solid waste disposal: composting, landfills, hazardous, other","6A","5A_Solid-waste-disposal"
"Solid waste disposal: incineration","6C","5C_Waste-incineration"
"Waste Water Treatment","6B","5D_Wastewater-handling"
"Waste Water Treatment","6B","5E_Other-waste-handling"
"Fossil fuel fires: gas and oil fires","7","7A_Fossil-fuel-fires"
