iso,last_inv_year
afg,2008
alb,2009
arg,2011
arm,2007
aus,2012
aut,2013
aze,2013
bel,2013
bgd,2008
bgr,2013
blr,2012
brn,2008
btn,2008
can,2013
che,2013
chn,2012
cyp,2013
cze,2013
deu,2013
dnk,2013
esp,2013
est,2013
fin,2013
fra,2013
gbr,2013
geo,2013
grc,2013
hrv,2013
hun,2013
idn,2008
ind,2008
irl,2013
isl,2013
ita,2013
jpn,2012
kgz,2012
khm,2008
kor,2008
lao,2008
lie,2012
lka,2008
ltu,2013
lux,2013
lva,2013
mda,2013
mdv,2008
mkd,2013
mlt,2013
mmr,2008
mne,2012
mng,2008
mys,2008
nld,2013
nor,2013
npl,2008
nzl,2012
pak,2008
phl,2008
pol,2013
prk,2008
prt,2013
rou,2013
rus,2013
sgp,2008
srb,2013
svk,2013
svn,2013
swe,2013
tha,2008
tjk,2008
tkm,2008
tur,2013
twn,2008
ukr,2013
usa,2014
uzb,2008
vnm,2008
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
