# This file is a central repository for domain names and their paths (from the Input directory),
#,
Domain,PathToDomain
#,
# Folder names,
#,
MAPPINGS,../input/mappings
EN_MAPPINGS,../input/mappings/energy
SCALE_MAPPINGS,../input/mappings/scaling
GAINS_MAPPINGS,../input/mappings/GAINS
GEN_IN,../input/general
ENERGY_IN,../input/energy
ACTIVITY_IN,../input/activity
DEFAULT_EF_IN,../input/default_emissions_data
DEFAULT_EF_PARAM,../input/default_emissions_data/EF_parameters
EM_INV,../input/emissions-inventories
PARAM,../code/parameters
LOGS,../code/logs
TEST_FILES,../Test/
MED_OUT,../intermediate-output
FIN_OUT,../final-emissions
DIAG_OUT,../diagnostic-output
DOCUMENTATION,../documentation
UNFCCC_IN,../input/emissions-inventories/UNFCCC
GRIDDING,../input/gridding
