file,activity
GDP.xlsx,GDP
Wood_Pulp_Consumption.xlsx,Pulp_Paper_Production
Smelter-Feedstock-Sulfur.xlsx,Metal_S_Content
A.NC_activity_energy.csv,coal_production
A.NC_activity_energy.csv,natural_gas_production
A.NC_activity_energy.csv,oil_production
